Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   5.68 I: 104.06 D:  26.00 Tensão:6.65 V Temperatura ambiente:     21.48ºC
2,00 ; 299,97 ;   7,884336 ;   45,40
4,00 ; 299,96 ;   7,728305 ;   44,78
6,00 ; 299,96 ;   7,901431 ;   45,99
8,00 ; 299,96 ;   7,904622 ;   45,41
10,00 ; 299,98 ;   7,902172 ;   45,42
12,01 ; 300,12 ;   7,549044 ;   43,56
14,01 ; 299,99 ;   5,972246 ;   34,72
16,01 ; 299,97 ;   9,459263 ;   54,45
18,01 ; 300,01 ;   8,260775 ;   47,10
20,01 ; 300,04 ;   7,386021 ;   42,26
22,01 ; 300,05 ;   7,364355 ;   42,66
24,01 ; 300,02 ;   7,563035 ;   43,71
26,01 ; 299,99 ;   8,245420 ;   47,97
28,01 ; 299,90 ;   8,067838 ;   46,95
30,02 ; 300,01 ;   9,117972 ;   52,69
32,02 ; 300,05 ;   6,512036 ;   37,07
34,02 ; 300,01 ;   7,202410 ;   41,41
36,02 ; 299,99 ;   8,417998 ;   48,59
38,02 ; 300,08 ;   8,081374 ;   46,38
40,02 ; 299,95 ;   6,664596 ;   38,39
42,02 ; 299,96 ;   9,656650 ;   55,29
44,02 ; 300,01 ;   7,721223 ;   44,25
46,02 ; 300,01 ;   7,202105 ;   41,68
48,02 ; 300,01 ;   7,878573 ;   45,14
50,03 ; 300,04 ;   7,905828 ;   45,14
52,03 ; 300,05 ;   7,367442 ;   42,65
54,03 ; 300,05 ;   7,541373 ;   43,71
56,03 ; 299,98 ;   7,724382 ;   44,85
58,03 ; 300,02 ;   8,775686 ;   50,44
60,03 ; 299,98 ;   7,383349 ;   42,77
62,03 ; 300,03 ;   8,239899 ;   47,56
64,03 ; 300,01 ;   7,182021 ;   41,52
66,03 ; 300,01 ;   8,061685 ;   46,85
68,03 ; 299,98 ;   7,897863 ;   45,12
70,04 ; 299,97 ;   8,081837 ;   46,98
72,04 ; 300,08 ;   8,057617 ;   46,50
74,04 ; 299,99 ;   6,328909 ;   36,64
76,04 ; 299,96 ;   8,939537 ;   51,54
78,04 ; 300,02 ;   8,240470 ;   47,69
80,04 ; 299,98 ;   7,205598 ;   41,04
82,04 ; 300,02 ;   8,241821 ;   47,56
84,04 ; 300,04 ;   7,363941 ;   42,77
86,04 ; 300,05 ;   7,544186 ;   43,21
88,04 ; 300,01 ;   7,561406 ;   43,69
90,05 ; 300,02 ;   8,419038 ;   48,57
92,05 ; 300,04 ;   7,726785 ;   44,48
94,05 ; 300,01 ;   7,541475 ;   43,19
96,05 ; 300,02 ;   8,257889 ;   47,40
98,05 ; 300,01 ;   7,726415 ;   44,48
100,05 ; 299,97 ;   7,899964 ;   45,67
102,05 ; 300,09 ;   8,416787 ;   48,20
104,05 ; 300,01 ;   6,150818 ;   36,00
106,05 ; 300,02 ;   8,775893 ;   50,85
108,05 ; 300,06 ;   7,724508 ;   44,47
110,06 ; 300,03 ;   7,185239 ;   41,31
112,06 ; 300,03 ;   8,241838 ;   47,25
114,06 ; 300,02 ;   7,721106 ;   44,94
116,06 ; 299,99 ;   8,083233 ;   46,18
118,06 ; 299,98 ;   8,065442 ;   46,89
120,06 ; 300,02 ;   7,880790 ;   45,78
122,06 ; 299,95 ;   7,384717 ;   42,72
124,06 ; 299,97 ;   8,776148 ;   50,62
126,06 ; 299,98 ;   7,541149 ;   43,57
128,06 ; 299,98 ;   7,727918 ;   44,06
130,07 ; 299,95 ;   7,900545 ;   45,22
132,07 ; 300,01 ;   8,420679 ;   48,33
134,07 ; 300,03 ;   7,029095 ;   40,48
136,07 ; 299,97 ;   7,562432 ;   43,22
138,07 ; 300,04 ;   8,577889 ;   49,92
140,07 ; 300,01 ;   6,848313 ;   39,72
142,07 ; 300,04 ;   8,262467 ;   47,39
144,07 ; 300,03 ;   7,389014 ;   42,60
146,07 ; 300,01 ;   7,898580 ;   45,52
148,08 ; 300,03 ;   8,084225 ;   46,81
150,08 ; 300,09 ;   7,544110 ;   43,21
152,08 ; 300,03 ;   7,026103 ;   40,58
154,08 ; 299,97 ;   8,419451 ;   48,96
156,08 ; 300,08 ;   8,597750 ;   49,90
158,08 ; 299,96 ;   6,330917 ;   36,58
160,08 ; 300,01 ;   9,298352 ;   53,97
162,08 ; 300,02 ;   7,188360 ;   41,60
