Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   5.68 I: 104.06 D:  26.00 Tensão:6.65 V Temperatura ambiente:     20.09ºC
2,00 ; 300,15 ;   7,895466 ;   45,93
4,00 ; 300,09 ;   8,063287 ;   46,44
6,00 ; 300,12 ;   8,935225 ;   51,98
8,00 ; 300,04 ;   7,718816 ;   44,87
10,00 ; 300,09 ;   9,293208 ;   53,38
12,01 ; 300,12 ;   7,542878 ;   43,88
14,01 ; 300,17 ;   7,719360 ;   44,84
16,01 ; 300,09 ;   7,365167 ;   42,78
18,01 ; 300,14 ;   9,292611 ;   53,64
20,01 ; 300,02 ;   7,364839 ;   42,94
22,01 ; 300,06 ;   9,831268 ;   56,91
24,01 ; 300,06 ;   7,541367 ;   43,95
26,01 ; 300,03 ;   8,238508 ;   47,40
28,01 ; 300,03 ;   8,576303 ;   49,88
30,01 ; 300,03 ;   8,238463 ;   47,57
32,02 ; 300,03 ;   8,238868 ;   47,57
34,02 ; 300,04 ;   8,237071 ;   47,56
36,02 ; 300,09 ;   8,060635 ;   46,94
38,02 ; 300,05 ;   7,541774 ;   43,78
40,02 ; 300,01 ;   8,589695 ;   49,72
42,02 ; 300,02 ;   8,953915 ;   51,14
44,02 ; 300,01 ;   8,237260 ;   47,05
46,02 ; 300,09 ;   8,414916 ;   48,25
48,02 ; 299,98 ;   7,201561 ;   41,45
50,02 ; 300,02 ;   9,650901 ;   55,30
52,02 ; 299,98 ;   7,878094 ;   45,31
54,03 ; 300,04 ;   8,772888 ;   50,10
56,03 ; 300,02 ;   7,539502 ;   43,45
58,03 ; 299,97 ;   8,597884 ;   49,35
60,03 ; 300,03 ;   8,952159 ;   51,35
62,03 ; 300,02 ;   7,363401 ;   42,91
64,03 ; 300,08 ;   8,417303 ;   48,77
66,03 ; 300,05 ;   7,360908 ;   42,64
68,03 ; 300,09 ;   8,597566 ;   49,11
70,03 ; 300,14 ;   7,716668 ;   44,88
72,03 ; 300,01 ;   7,382934 ;   42,83
74,04 ; 300,16 ;   9,989140 ;   57,42
76,04 ; 300,09 ;   6,145368 ;   35,18
78,04 ; 300,12 ;   9,115623 ;   52,91
80,04 ; 300,15 ;   7,703408 ;   44,65
82,04 ; 300,13 ;   7,723618 ;   44,46
84,04 ; 300,09 ;   8,414546 ;   48,61
86,04 ; 300,12 ;   8,578287 ;   49,98
88,04 ; 300,06 ;   7,718625 ;   44,60
90,04 ; 300,10 ;   8,953106 ;   51,25
92,04 ; 300,01 ;   7,723003 ;   44,09
94,04 ; 300,06 ;   9,470570 ;   54,43
96,05 ; 300,01 ;   7,542580 ;   43,15
98,05 ; 300,03 ;   8,934286 ;   51,54
100,05 ; 300,02 ;   7,879307 ;   45,63
102,05 ; 300,05 ;   8,419348 ;   48,60
104,05 ; 300,04 ;   7,719465 ;   44,34
106,05 ; 300,08 ;   8,415241 ;   48,46
108,05 ; 300,02 ;   7,723434 ;   44,19
110,05 ; 300,03 ;   9,111797 ;   52,04
112,05 ; 300,04 ;   8,060692 ;   46,18
114,05 ; 300,10 ;   8,059492 ;   46,71
116,06 ; 300,06 ;   7,361062 ;   42,31
118,06 ; 300,09 ;   8,775488 ;   50,02
120,06 ; 300,05 ;   7,901502 ;   45,27
122,06 ; 300,06 ;   8,594777 ;   49,47
124,06 ; 300,04 ;   8,073458 ;   46,54
126,06 ; 300,09 ;   8,418540 ;   48,97
128,06 ; 300,02 ;   7,540976 ;   43,51
130,06 ; 300,10 ;   9,112744 ;   52,56
132,06 ; 300,03 ;   7,023454 ;   40,53
134,06 ; 300,13 ;   9,131701 ;   52,45
136,06 ; 300,04 ;   6,842720 ;   39,79
138,07 ; 300,12 ;   9,294917 ;   53,54
140,07 ; 300,09 ;   7,025108 ;   40,98
142,07 ; 300,10 ;   8,597731 ;   49,22
144,07 ; 300,12 ;   7,900164 ;   45,66
146,07 ; 300,03 ;   7,895771 ;   45,56
148,07 ; 300,09 ;   9,292736 ;   53,54
