Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   5.40 I: 120.00 D:  30.00 Tensão:6.669 V Temperatura ambiente:     24.22ºC
2,00 ; 250,08 ;   6,867276 ;   39,20
4,00 ; 250,00 ;   4,409397 ;   25,24
6,00 ; 250,02 ;   7,385567 ;   42,10
8,00 ; 250,02 ;   6,005965 ;   34,43
10,01 ; 249,97 ;   6,163379 ;   35,02
12,01 ; 249,95 ;   7,026317 ;   40,38
14,01 ; 249,97 ;   6,505552 ;   37,30
16,01 ; 250,00 ;   5,988510 ;   34,69
18,01 ; 249,91 ;   5,808457 ;   33,26
20,01 ; 249,95 ;   7,567267 ;   43,22
22,01 ; 249,95 ;   5,805437 ;   33,56
24,02 ; 250,05 ;   6,171416 ;   35,42
26,02 ; 250,09 ;   4,767162 ;   27,96
28,02 ; 249,99 ;   5,645986 ;   32,17
30,02 ; 250,02 ;   7,567826 ;   43,42
32,02 ; 250,08 ;   5,810951 ;   33,81
34,02 ; 249,99 ;   5,286927 ;   30,30
36,02 ; 249,89 ;   7,407775 ;   42,78
38,02 ; 249,98 ;   7,745418 ;   44,60
40,03 ; 249,95 ;   4,949195 ;   28,97
42,03 ; 250,00 ;   6,525054 ;   37,95
44,03 ; 249,98 ;   5,649205 ;   32,01
46,03 ; 250,06 ;   6,526569 ;   37,83
48,03 ; 250,06 ;   4,930636 ;   28,50
50,03 ; 249,95 ;   6,168190 ;   35,45
52,03 ; 249,98 ;   7,743407 ;   44,90
54,03 ; 250,02 ;   6,008233 ;   34,03
56,04 ; 250,02 ;   5,452490 ;   31,87
58,04 ; 249,91 ;   6,151657 ;   35,67
60,04 ; 250,02 ;   7,924659 ;   45,12
62,04 ; 250,02 ;   4,771308 ;   27,49
64,04 ; 250,00 ;   6,165781 ;   35,71
66,04 ; 250,02 ;   6,507893 ;   37,06
68,04 ; 249,95 ;   5,809486 ;   33,77
70,05 ; 250,02 ;   7,208801 ;   41,74
72,05 ; 250,02 ;   5,111531 ;   29,98
74,05 ; 249,98 ;   6,348891 ;   36,34
76,05 ; 250,00 ;   6,865825 ;   39,09
78,05 ; 249,95 ;   5,830092 ;   33,90
80,05 ; 249,98 ;   7,045926 ;   40,52
82,05 ; 250,02 ;   5,830414 ;   33,40
84,05 ; 250,04 ;   5,468944 ;   31,88
86,06 ; 250,08 ;   5,986549 ;   34,32
88,06 ; 250,00 ;   5,651515 ;   32,21
90,06 ; 250,02 ;   7,409071 ;   42,12
92,06 ; 249,98 ;   5,988657 ;   34,44
94,06 ; 250,00 ;   6,869026 ;   39,08
96,06 ; 249,95 ;   5,811514 ;   33,90
98,06 ; 250,04 ;   7,050983 ;   40,52
100,07 ; 249,95 ;   4,767470 ;   28,00
102,07 ; 249,97 ;   7,587289 ;   43,01
104,07 ; 249,98 ;   5,991463 ;   34,71
106,07 ; 249,98 ;   6,169435 ;   35,30
108,07 ; 250,10 ;   6,169834 ;   35,93
110,07 ; 250,06 ;   4,410516 ;   25,13
112,07 ; 250,00 ;   6,691579 ;   38,62
114,07 ; 250,10 ;   7,047953 ;   40,85
116,08 ; 250,04 ;   4,773953 ;   27,01
118,08 ; 249,97 ;   7,051106 ;   40,63
120,08 ; 249,99 ;   7,228412 ;   41,64
122,08 ; 249,95 ;   5,810963 ;   33,93
124,08 ; 250,02 ;   6,870393 ;   39,20
126,08 ; 250,00 ;   5,131413 ;   29,97
128,08 ; 250,05 ;   6,525442 ;   37,68
130,08 ; 249,95 ;   5,453967 ;   31,73
132,09 ; 250,05 ;   7,566708 ;   43,63
134,09 ; 250,05 ;   4,772253 ;   27,94
136,09 ; 250,08 ;   6,152830 ;   35,52
138,09 ; 250,02 ;   5,653465 ;   32,82
140,09 ; 250,04 ;   7,050208 ;   40,74
142,09 ; 250,10 ;   5,809599 ;   33,66
144,09 ; 250,06 ;   5,292503 ;   30,15
146,10 ; 250,02 ;   6,690990 ;   38,57
148,10 ; 249,98 ;   6,866131 ;   39,46
150,10 ; 249,98 ;   6,869906 ;   39,04
152,10 ; 249,97 ;   6,170579 ;   35,88
154,10 ; 249,98 ;   6,350789 ;   36,56
156,10 ; 249,98 ;   6,167510 ;   35,25
158,10 ; 249,95 ;   6,151165 ;   35,89
160,10 ; 249,91 ;   6,529782 ;   37,91
162,11 ; 249,98 ;   6,867354 ;   39,40
164,11 ; 249,91 ;   5,273465 ;   30,84
166,11 ; 249,97 ;   7,224522 ;   41,31
168,11 ; 249,99 ;   5,469872 ;   31,53
170,11 ; 250,00 ;   5,828811 ;   33,93
172,11 ; 250,00 ;   6,169652 ;   35,15
174,11 ; 249,91 ;   6,167563 ;   35,78
176,12 ; 250,00 ;   7,566783 ;   43,21
178,12 ; 250,08 ;   4,949379 ;   28,84
180,12 ; 249,95 ;   5,111320 ;   29,04
182,12 ; 250,08 ;   8,102851 ;   46,16
184,12 ; 250,05 ;   4,412452 ;   25,25
186,12 ; 250,06 ;   6,689742 ;   38,06
188,12 ; 250,00 ;   5,991549 ;   34,17
190,12 ; 249,99 ;   7,046081 ;   40,83
192,13 ; 250,05 ;   6,353381 ;   36,45
194,13 ; 249,98 ;   5,470782 ;   31,09
196,13 ; 250,00 ;   7,230764 ;   41,59
198,13 ; 249,99 ;   5,827906 ;   33,87
200,13 ; 250,04 ;   6,328019 ;   36,45
202,13 ; 250,06 ;   5,470643 ;   31,76
204,13 ; 249,97 ;   5,827806 ;   33,53
206,13 ; 250,00 ;   7,563488 ;   43,52
