Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   5.40 I: 120.00 D:  30.00 Tensão:6.397 V Temperatura ambiente:     26.27ºC
2,00 ; 250,02 ;   4,818297 ;   30,73
4,00 ; 249,99 ;   6,888661 ;   43,71
6,00 ; 250,08 ;   6,580063 ;   41,35
8,01 ; 249,97 ;   4,981247 ;   31,40
10,01 ; 250,02 ;   7,544373 ;   47,80
12,01 ; 250,00 ;   5,471693 ;   34,22
14,01 ; 249,97 ;   6,414738 ;   40,67
16,01 ; 250,02 ;   6,583897 ;   41,48
18,01 ; 249,91 ;   5,455476 ;   34,90
20,01 ; 249,93 ;   7,547431 ;   47,47
22,02 ; 249,91 ;   5,943360 ;   37,91
24,02 ; 249,97 ;   6,414716 ;   40,53
26,02 ; 250,00 ;   5,469899 ;   34,55
28,02 ; 249,95 ;   5,779128 ;   36,27
30,02 ; 250,09 ;   6,911699 ;   43,53
32,02 ; 250,10 ;   4,181374 ;   26,96
34,03 ; 250,05 ;   5,783295 ;   36,98
36,03 ; 250,04 ;   6,750764 ;   42,96
38,03 ; 250,08 ;   6,254696 ;   39,20
40,03 ; 249,99 ;   5,619979 ;   35,19
42,03 ; 249,98 ;   7,221139 ;   45,78
44,03 ; 250,08 ;   6,441242 ;   40,17
46,03 ; 250,02 ;   4,821070 ;   30,13
48,04 ; 249,99 ;   6,909034 ;   43,75
50,04 ; 250,00 ;   6,423986 ;   40,71
52,04 ; 250,02 ;   6,115081 ;   38,14
54,04 ; 249,95 ;   5,940848 ;   37,42
56,04 ; 250,02 ;   7,090969 ;   44,76
58,04 ; 249,89 ;   5,163501 ;   33,00
60,04 ; 249,93 ;   7,892574 ;   49,49
62,05 ; 250,02 ;   5,794160 ;   36,01
64,05 ; 249,89 ;   4,987057 ;   31,07
66,05 ; 250,02 ;   8,017177 ;   50,13
68,05 ; 249,99 ;   4,355851 ;   27,92
70,05 ; 249,95 ;   6,554808 ;   41,37
72,05 ; 249,97 ;   6,712168 ;   42,21
74,05 ; 250,00 ;   5,909465 ;   37,71
76,06 ; 250,05 ;   5,749761 ;   36,27
78,06 ; 250,00 ;   5,443976 ;   34,75
80,06 ; 250,05 ;   6,707155 ;   42,59
82,06 ; 250,04 ;   5,422502 ;   34,75
84,06 ; 249,99 ;   6,241133 ;   39,21
86,06 ; 249,99 ;   6,705227 ;   42,63
88,06 ; 250,08 ;   6,073832 ;   38,83
90,07 ; 250,02 ;   4,953606 ;   31,41
92,07 ; 250,00 ;   6,849920 ;   43,08
94,07 ; 250,00 ;   6,380316 ;   40,68
96,07 ; 250,04 ;   6,052757 ;   38,78
98,07 ; 250,09 ;   5,602625 ;   35,41
100,07 ; 250,04 ;   5,439706 ;   34,51
102,07 ; 250,06 ;   6,690528 ;   42,35
104,08 ; 249,99 ;   5,746131 ;   36,53
106,08 ; 249,99 ;   7,029727 ;   44,49
108,08 ; 249,98 ;   6,073829 ;   38,81
110,08 ; 250,02 ;   6,380522 ;   40,16
112,08 ; 250,00 ;   5,584919 ;   35,52
114,08 ; 249,95 ;   6,378478 ;   40,03
116,09 ; 249,99 ;   6,694939 ;   42,81
118,09 ; 249,97 ;   5,577148 ;   35,65
120,09 ; 249,95 ;   6,376775 ;   40,84
122,09 ; 249,91 ;   6,371415 ;   40,29
124,09 ; 249,87 ;   6,706128 ;   42,41
126,09 ; 249,95 ;   6,851045 ;   43,31
128,09 ; 249,95 ;   5,101867 ;   32,77
130,10 ; 250,02 ;   6,063392 ;   38,43
132,10 ; 250,00 ;   5,278892 ;   33,66
134,10 ; 250,02 ;   6,410576 ;   40,07
136,10 ; 249,91 ;   5,870210 ;   36,78
138,10 ; 249,89 ;   7,838221 ;   48,13
140,10 ; 249,99 ;   6,691148 ;   41,31
142,10 ; 250,08 ;   4,836786 ;   30,64
144,11 ; 250,04 ;   4,950415 ;   31,43
146,11 ; 249,97 ;   6,530582 ;   41,76
148,11 ; 249,99 ;   6,989839 ;   44,67
150,11 ; 250,06 ;   5,726254 ;   36,96
152,11 ; 249,98 ;   5,099580 ;   32,78
154,11 ; 250,00 ;   7,150390 ;   45,89
156,11 ; 250,02 ;   5,728944 ;   36,91
158,12 ; 249,89 ;   5,729603 ;   36,78
160,12 ; 250,06 ;   7,943257 ;   50,15
162,12 ; 250,00 ;   3,816921 ;   24,56
164,12 ; 249,99 ;   6,830635 ;   43,87
166,12 ; 249,98 ;   6,194564 ;   39,49
168,12 ; 249,93 ;   6,361133 ;   40,21
170,13 ; 249,95 ;   6,663459 ;   42,99
172,13 ; 249,95 ;   5,889298 ;   37,86
174,13 ; 249,91 ;   6,055231 ;   38,45
176,13 ; 249,97 ;   6,845208 ;   43,14
178,13 ; 249,99 ;   5,264498 ;   33,95
180,13 ; 250,00 ;   5,734202 ;   36,99
182,13 ; 249,99 ;   6,052008 ;   38,21
184,14 ; 249,91 ;   6,211895 ;   39,52
186,14 ; 249,95 ;   7,297404 ;   46,31
188,14 ; 249,98 ;   5,559890 ;   35,31
190,14 ; 249,86 ;   5,884559 ;   37,09
192,14 ; 249,99 ;   7,777603 ;   49,12
194,14 ; 249,95 ;   4,466450 ;   28,17
196,14 ; 249,99 ;   6,658692 ;   42,29
198,15 ; 249,99 ;   5,563151 ;   35,75
200,15 ; 249,95 ;   6,048718 ;   38,92
202,15 ; 249,95 ;   6,678123 ;   42,30
204,15 ; 249,97 ;   6,216678 ;   39,14
206,15 ; 249,98 ;   5,880260 ;   37,79
208,15 ; 249,89 ;   6,061908 ;   38,38
210,15 ; 249,95 ;   7,325032 ;   46,44
212,16 ; 249,95 ;   5,412696 ;   34,77
214,16 ; 249,93 ;   6,035208 ;   38,53
216,16 ; 249,99 ;   6,519968 ;   41,19
218,16 ; 249,97 ;   5,266449 ;   33,90
220,16 ; 249,99 ;   6,366035 ;   40,98
222,16 ; 249,99 ;   5,886403 ;   37,06
224,16 ; 249,95 ;   6,062511 ;   38,96
