Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   5.40 I: 120.00 D:  30.00 Tensão:6.411 V Temperatura ambiente:     25.22ºC
2,00 ; 250,09 ;   4,645155 ;   29,86
4,00 ; 250,00 ;   5,441033 ;   34,66
6,00 ; 249,95 ;   7,216421 ;   45,87
8,01 ; 250,02 ;   6,726206 ;   42,97
10,01 ; 249,99 ;   5,297626 ;   33,78
12,01 ; 250,05 ;   6,404746 ;   40,86
14,01 ; 250,04 ;   5,439320 ;   34,24
16,01 ; 250,02 ;   6,257512 ;   39,34
18,01 ; 249,98 ;   6,417114 ;   40,73
20,01 ; 250,02 ;   6,731056 ;   42,20
22,02 ; 250,00 ;   5,626494 ;   35,67
24,02 ; 249,95 ;   6,407901 ;   40,18
26,02 ; 250,00 ;   6,737398 ;   42,97
28,02 ; 249,95 ;   5,600420 ;   35,12
30,02 ; 249,95 ;   6,723319 ;   42,97
32,02 ; 250,00 ;   6,254912 ;   39,86
34,02 ; 249,95 ;   5,436993 ;   34,50
36,03 ; 249,99 ;   6,715973 ;   42,98
38,03 ; 250,02 ;   5,594822 ;   35,81
40,03 ; 249,98 ;   5,768687 ;   36,27
42,03 ; 249,99 ;   6,699365 ;   42,85
44,03 ; 249,99 ;   5,918987 ;   37,71
46,03 ; 249,95 ;   6,060522 ;   38,98
48,03 ; 249,84 ;   6,718584 ;   42,35
50,03 ; 249,98 ;   7,676253 ;   48,65
52,04 ; 249,91 ;   4,469741 ;   28,33
54,04 ; 249,91 ;   7,021807 ;   44,49
56,04 ; 250,02 ;   6,388738 ;   40,11
58,04 ; 249,95 ;   4,796604 ;   30,04
60,04 ; 249,97 ;   7,041659 ;   44,29
62,04 ; 249,91 ;   5,930958 ;   37,88
64,04 ; 249,97 ;   7,038131 ;   44,55
66,05 ; 249,98 ;   5,458973 ;   34,10
68,05 ; 250,04 ;   6,069976 ;   38,48
70,05 ; 249,91 ;   5,290948 ;   33,72
72,05 ; 249,93 ;   7,831295 ;   49,58
74,05 ; 249,95 ;   6,088953 ;   38,12
76,05 ; 250,02 ;   5,911496 ;   37,36
78,05 ; 249,98 ;   5,286003 ;   33,86
80,06 ; 250,00 ;   6,714985 ;   42,29
82,06 ; 249,95 ;   5,923209 ;   37,11
84,06 ; 250,02 ;   6,864303 ;   43,06
86,06 ; 249,98 ;   5,268393 ;   33,19
88,06 ; 249,99 ;   6,704323 ;   42,93
90,06 ; 250,06 ;   5,918539 ;   37,79
92,06 ; 249,98 ;   5,110143 ;   32,98
94,07 ; 250,02 ;   7,359943 ;   46,09
96,07 ; 249,99 ;   5,613887 ;   35,09
98,07 ; 249,91 ;   6,556984 ;   41,58
100,07 ; 249,95 ;   7,367193 ;   46,47
102,07 ; 249,95 ;   5,603317 ;   35,48
104,07 ; 250,04 ;   6,251319 ;   39,28
106,07 ; 249,93 ;   4,969242 ;   31,85
108,08 ; 250,02 ;   7,673299 ;   48,26
110,08 ; 249,95 ;   4,961752 ;   31,98
112,08 ; 250,02 ;   7,187783 ;   45,02
114,08 ; 250,00 ;   5,122392 ;   32,58
116,08 ; 249,95 ;   6,392314 ;   40,92
118,08 ; 250,02 ;   6,867893 ;   43,75
120,08 ; 249,95 ;   5,273901 ;   33,26
122,09 ; 249,91 ;   7,034096 ;   44,35
124,09 ; 249,99 ;   6,705203 ;   42,67
126,09 ; 250,00 ;   5,127201 ;   32,76
128,09 ; 250,00 ;   6,088320 ;   38,41
130,09 ; 250,02 ;   6,237841 ;   39,04
132,09 ; 250,02 ;   5,905839 ;   37,69
134,09 ; 249,91 ;   6,089414 ;   38,96
