Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   5.40 I: 120.00 D:  30.00 Tensão:6.65 V Temperatura ambiente:     23.50ºC
2,00 ; 250,05 ;   6,039151 ;   35,92
4,00 ; 250,00 ;   7,586253 ;   44,56
6,00 ; 250,08 ;   7,234785 ;   42,29
8,01 ; 250,10 ;   5,356286 ;   31,74
10,01 ; 250,08 ;   6,218299 ;   36,03
12,01 ; 250,05 ;   6,724400 ;   39,94
14,01 ; 250,02 ;   6,905858 ;   40,74
16,01 ; 250,11 ;   6,887103 ;   40,91
18,01 ; 250,02 ;   5,182256 ;   30,27
20,01 ; 250,02 ;   7,762236 ;   45,28
22,01 ; 250,06 ;   6,548058 ;   38,32
24,01 ; 250,02 ;   5,867807 ;   34,95
26,02 ; 250,02 ;   7,080417 ;   41,48
28,02 ; 249,99 ;   6,568070 ;   38,99
30,02 ; 250,11 ;   6,904842 ;   40,38
32,02 ; 250,02 ;   4,829068 ;   28,35
34,02 ; 250,08 ;   7,764668 ;   45,26
36,02 ; 250,05 ;   5,693120 ;   33,57
38,02 ; 250,05 ;   6,903718 ;   40,69
40,02 ; 250,09 ;   6,553080 ;   38,16
42,03 ; 249,99 ;   5,866875 ;   34,78
44,03 ; 249,99 ;   7,941369 ;   46,03
46,03 ; 250,05 ;   6,550272 ;   38,45
48,03 ; 250,10 ;   5,687955 ;   33,72
50,03 ; 249,95 ;   5,707973 ;   33,42
52,03 ; 250,02 ;   8,610111 ;   50,67
54,03 ; 250,06 ;   5,691760 ;   33,25
56,03 ; 250,00 ;   5,865537 ;   34,26
58,04 ; 250,04 ;   7,410194 ;   43,45
60,04 ; 250,04 ;   6,043020 ;   35,01
62,04 ; 250,06 ;   6,549535 ;   38,17
64,04 ; 249,91 ;   6,214184 ;   36,14
66,04 ; 249,99 ;   8,801219 ;   51,54
68,04 ; 249,98 ;   5,358544 ;   31,47
70,04 ; 250,00 ;   6,726854 ;   39,78
72,04 ; 250,05 ;   6,214917 ;   36,49
74,05 ; 250,16 ;   5,868309 ;   34,34
76,05 ; 250,11 ;   4,848321 ;   28,67
