Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   5.40 I: 140.00 D:  35.00 Tensão:6.503 V Temperatura ambiente:     24.58ºC
2,00 ; 199,96 ;   4,851460 ;   28,14
4,00 ; 200,04 ;   6,063039 ;   35,94
6,00 ; 200,07 ;   3,474122 ;   20,76
8,00 ; 199,98 ;   4,339191 ;   25,01
10,01 ; 200,02 ;   6,225928 ;   36,55
12,01 ; 200,00 ;   4,160701 ;   24,52
14,01 ; 199,90 ;   5,199769 ;   30,56
16,01 ; 199,93 ;   6,578822 ;   38,49
18,01 ; 200,04 ;   4,336680 ;   25,78
20,01 ; 200,00 ;   2,962084 ;   17,81
22,01 ; 200,01 ;   5,534733 ;   32,04
24,01 ; 199,98 ;   4,693731 ;   27,57
26,02 ; 200,00 ;   5,204519 ;   30,65
28,02 ; 200,00 ;   4,513301 ;   26,88
30,02 ; 199,91 ;   4,866849 ;   28,35
32,02 ; 199,96 ;   6,220751 ;   36,94
34,02 ; 200,00 ;   4,161958 ;   24,14
36,02 ; 200,01 ;   4,160621 ;   24,67
38,02 ; 200,00 ;   4,668876 ;   27,58
40,02 ; 200,01 ;   5,027146 ;   29,10
42,02 ; 200,01 ;   4,673101 ;   27,58
44,03 ; 200,01 ;   4,846818 ;   28,32
