Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   1.96 I: 150.00 D:  37.52 Tensão:12.888 V Temperatura ambiente:     20.73ºC
2,00 ; 300,12 ;   8,486450 ;   13,54
4,00 ; 300,04 ;   5,973925 ;    9,97
6,00 ; 300,08 ;   9,807939 ;   15,29
8,00 ; 300,03 ;   6,564556 ;   10,90
10,00 ; 300,06 ;   9,143801 ;   14,15
12,01 ; 300,09 ;   7,227395 ;   11,22
14,01 ; 300,08 ;   7,217805 ;   11,46
16,01 ; 300,01 ;   7,889296 ;   12,62
18,01 ; 300,08 ;   9,803614 ;   15,05
20,01 ; 300,02 ;   5,966186 ;    9,75
22,01 ; 299,99 ;   9,145478 ;   14,75
24,01 ; 299,94 ;   8,558331 ;   13,36
26,01 ; 300,02 ;   9,141422 ;   14,62
28,01 ; 300,02 ;   5,902269 ;    9,58
30,01 ; 300,01 ;   7,886265 ;   12,45
32,02 ; 300,06 ;   7,889430 ;   12,75
34,02 ; 300,02 ;   6,570069 ;   10,35
36,02 ; 299,99 ;   9,154258 ;   14,17
38,02 ; 300,08 ;   8,541580 ;   13,36
40,02 ; 299,99 ;   5,901432 ;    9,17
42,02 ; 300,02 ;   9,816357 ;   15,65
44,02 ; 300,09 ;   7,163774 ;   11,59
46,02 ; 299,97 ;   5,906347 ;    9,72
48,02 ; 300,09 ;   10,405996 ;   16,85
50,02 ; 300,05 ;   4,651350 ;    8,00
52,02 ; 299,96 ;   8,480229 ;   13,51
54,03 ; 299,95 ;   9,873422 ;   16,00
56,03 ; 300,05 ;   8,555976 ;   13,16
58,03 ; 300,01 ;   5,313513 ;    8,35
60,03 ; 300,05 ;   9,209168 ;   14,18
62,03 ; 299,95 ;   6,564917 ;   10,64
64,03 ; 299,90 ;   10,473635 ;   16,60
66,03 ; 300,01 ;   9,146727 ;   14,40
68,03 ; 300,02 ;   5,311561 ;    8,44
70,03 ; 299,89 ;   7,822250 ;   12,16
72,03 ; 299,99 ;   11,138465 ;   17,29
74,04 ; 299,98 ;   5,239673 ;    8,76
76,04 ; 300,05 ;   7,896537 ;   12,80
78,04 ; 299,99 ;   5,905319 ;    9,79
80,04 ; 300,03 ;   9,140927 ;   14,79
82,04 ; 300,01 ;   6,573763 ;   10,98
84,04 ; 299,98 ;   8,476917 ;   13,32
86,04 ; 299,97 ;   8,568251 ;   13,37
88,04 ; 300,02 ;   8,479525 ;   13,11
90,04 ; 300,03 ;   6,631392 ;   10,73
92,04 ; 300,03 ;   7,231767 ;   11,84
94,04 ; 300,03 ;   7,885268 ;   12,42
96,05 ; 300,03 ;   7,878336 ;   12,41
98,05 ; 300,06 ;   7,883793 ;   12,41
100,05 ; 300,03 ;   7,218050 ;   11,20
102,05 ; 299,96 ;   8,480307 ;   13,56
104,05 ; 299,94 ;   9,807231 ;   15,14
106,05 ; 299,98 ;   8,471206 ;   13,46
108,05 ; 300,05 ;   6,564801 ;   10,78
110,05 ; 299,98 ;   5,899535 ;    9,78
112,05 ; 299,98 ;   9,812102 ;   15,09
114,05 ; 300,03 ;   7,819864 ;   12,51
116,05 ; 299,96 ;   6,564892 ;   10,69
118,06 ; 299,97 ;   9,803307 ;   15,14
120,06 ; 300,03 ;   7,892905 ;   12,25
122,06 ; 299,99 ;   6,570043 ;   10,12
124,06 ; 299,99 ;   8,558173 ;   13,93
126,06 ; 300,05 ;   7,880879 ;   12,49
128,06 ; 299,96 ;   6,562313 ;   10,07
130,06 ; 300,02 ;   9,820507 ;   16,00
132,06 ; 300,10 ;   6,561158 ;   10,43
134,06 ; 300,03 ;   5,901810 ;    9,12
136,06 ; 300,03 ;   9,214582 ;   14,99
138,06 ; 299,96 ;   7,878732 ;   12,41
140,07 ; 300,02 ;   9,814135 ;   15,13
142,07 ; 299,99 ;   6,562713 ;   10,43
144,07 ; 300,08 ;   8,557469 ;   13,35
146,07 ; 300,08 ;   5,900077 ;    9,16
148,07 ; 300,05 ;   7,880735 ;   12,31
150,07 ; 299,97 ;   8,480215 ;   13,22
152,07 ; 300,01 ;   9,807549 ;   15,69
154,07 ; 300,04 ;   7,214868 ;   11,02
156,07 ; 300,04 ;   7,221925 ;   11,24
158,07 ; 300,05 ;   7,890400 ;   12,39
160,08 ; 300,05 ;   7,228891 ;   11,78
162,08 ; 300,02 ;   7,827796 ;   12,35
164,08 ; 299,99 ;   8,556009 ;   13,87
166,08 ; 300,03 ;   8,556229 ;   13,34
168,08 ; 299,99 ;   6,559439 ;   10,96
170,08 ; 300,10 ;   8,557891 ;   13,91
172,08 ; 300,02 ;   5,308139 ;    8,24
174,08 ; 300,05 ;   9,820159 ;   15,59
176,08 ; 300,04 ;   6,568172 ;   10,91
178,08 ; 300,04 ;   7,821044 ;   12,95
180,08 ; 299,99 ;   7,814205 ;   12,38
182,09 ; 299,99 ;   9,216701 ;   14,19
184,09 ; 300,02 ;   7,884199 ;   12,47
186,09 ; 299,96 ;   7,217930 ;   11,56
188,09 ; 299,97 ;   9,143742 ;   14,54
190,09 ; 299,98 ;   7,901138 ;   12,23
192,09 ; 300,03 ;   7,226375 ;   11,91
194,09 ; 299,98 ;   6,572264 ;   10,67
196,09 ; 299,94 ;   9,150846 ;   14,21
198,09 ; 299,98 ;   9,141351 ;   14,30
200,09 ; 300,03 ;   6,565812 ;   10,77
202,09 ; 300,01 ;   6,567801 ;   10,67
204,10 ; 300,02 ;   8,547004 ;   13,30
206,10 ; 300,03 ;   7,822140 ;   12,14
208,10 ; 300,12 ;   7,163974 ;   11,82
210,10 ; 300,04 ;   5,897665 ;    9,07
212,10 ; 299,97 ;   9,814985 ;   15,25
214,10 ; 300,02 ;   9,805914 ;   15,10
216,10 ; 300,02 ;   6,631085 ;   10,70
218,10 ; 300,02 ;   7,879685 ;   12,42
220,10 ; 299,98 ;   7,879068 ;   12,42
222,10 ; 300,02 ;   8,480628 ;   13,63
224,10 ; 300,03 ;   7,228248 ;   11,27
226,11 ; 300,02 ;   7,160624 ;   11,82
228,11 ; 299,98 ;   7,819576 ;   12,99
230,11 ; 299,95 ;   8,486556 ;   13,63
232,11 ; 299,99 ;   8,563060 ;   13,99
234,11 ; 299,97 ;   6,561279 ;   10,74
236,11 ; 300,10 ;   8,556010 ;   13,38
238,11 ; 299,98 ;   4,644109 ;    7,37
240,11 ; 299,97 ;   10,472293 ;   16,79
242,11 ; 300,01 ;   8,556893 ;   13,09
244,11 ; 299,98 ;   7,160536 ;   11,00
246,11 ; 299,96 ;   8,479217 ;   13,34
248,12 ; 299,99 ;   8,489437 ;   13,39
250,12 ; 300,02 ;   7,228292 ;   11,32
252,12 ; 299,95 ;   7,233913 ;   11,56
254,12 ; 299,97 ;   9,805072 ;   15,15
256,12 ; 299,99 ;   7,165622 ;   11,65
258,12 ; 299,99 ;   7,223791 ;   11,61
260,12 ; 300,03 ;   7,885426 ;   12,47
262,12 ; 299,96 ;   6,561895 ;   10,96
264,12 ; 300,01 ;   9,807465 ;   15,12
266,12 ; 300,02 ;   6,567972 ;   10,72
268,12 ; 300,15 ;   7,818437 ;   12,14
270,13 ; 300,06 ;   4,574755 ;    7,28
272,13 ; 300,08 ;   9,809649 ;   15,49
274,13 ; 300,03 ;   7,228391 ;   11,72
276,13 ; 299,98 ;   9,150183 ;   14,11
278,13 ; 299,96 ;   9,215089 ;   14,20
280,13 ; 299,90 ;   8,479513 ;   13,39
282,13 ; 299,99 ;   9,137860 ;   14,95
284,13 ; 300,09 ;   5,897741 ;    9,02
286,13 ; 299,97 ;   5,237273 ;    8,83
288,13 ; 299,97 ;   10,461533 ;   16,82
290,14 ; 300,03 ;   7,824356 ;   12,51
292,14 ; 300,01 ;   6,631356 ;   10,09
294,14 ; 300,02 ;   8,482752 ;   13,30
296,14 ; 300,05 ;   7,818966 ;   12,13
298,14 ; 300,06 ;   6,567140 ;   10,90
300,14 ; 300,04 ;   7,886436 ;   12,04
302,14 ; 300,01 ;   8,548469 ;   13,23
304,14 ; 300,04 ;   8,474387 ;   13,58
306,14 ; 300,03 ;   7,227988 ;   11,22
308,14 ; 300,05 ;   7,890376 ;   12,67
310,14 ; 300,01 ;   7,227003 ;   11,47
312,15 ; 299,98 ;   9,143233 ;   14,15
314,15 ; 300,04 ;   8,488519 ;   13,33
316,15 ; 300,01 ;   6,563019 ;   10,35
318,15 ; 300,03 ;   8,554743 ;   13,57
320,15 ; 300,08 ;   7,215576 ;   11,52
322,15 ; 300,03 ;   6,564543 ;   10,56
324,15 ; 300,12 ;   9,154256 ;   14,10
326,15 ; 300,01 ;   5,900613 ;    9,05
328,15 ; 300,03 ;   10,457166 ;   16,44
330,15 ; 300,03 ;   7,228618 ;   11,51
332,15 ; 300,03 ;   7,825999 ;   12,37
334,16 ; 300,03 ;   7,891261 ;   12,37
336,16 ; 300,05 ;   7,894903 ;   12,37
338,16 ; 300,03 ;   7,230741 ;   11,46
340,16 ; 299,99 ;   8,559233 ;   13,23
342,16 ; 300,05 ;   8,541233 ;   13,88
344,16 ; 300,01 ;   6,570800 ;   10,02
346,16 ; 300,01 ;   9,145311 ;   14,13
348,16 ; 300,01 ;   7,891474 ;   12,41
350,16 ; 300,02 ;   7,895090 ;   12,41
352,16 ; 300,08 ;   7,882919 ;   12,11
354,16 ; 300,13 ;   5,901285 ;    9,97
356,17 ; 300,14 ;   6,567081 ;   10,45
358,17 ; 300,08 ;   7,231438 ;   11,57
360,17 ; 300,02 ;   9,220223 ;   14,56
362,17 ; 300,02 ;   9,155764 ;   14,68
364,17 ; 300,02 ;   7,884403 ;   12,38
366,17 ; 300,05 ;   7,821516 ;   12,38
368,17 ; 299,98 ;   6,628721 ;   10,87
370,17 ; 299,99 ;   9,815934 ;   15,03
