Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   9.00 I:  94.00 D:  23.50 Tensão:12.888 V Temperatura ambiente:     21.38ºC
2,00 ; 299,92 ;   5,278638 ;    8,20
4,00 ; 300,08 ;   8,543899 ;   13,17
6,00 ; 300,04 ;   00000,00 ;    0,00
8,00 ; 300,09 ;   10,552481 ;   16,22
10,00 ; 300,08 ;   3,951189 ;    6,70
12,01 ; 300,08 ;   7,957114 ;   12,53
14,01 ; 300,20 ;   7,284616 ;   11,69
16,01 ; 300,04 ;   00000,00 ;    0,00
18,01 ; 300,09 ;   15,771388 ;   25,00
20,01 ; 300,04 ;   4,009532 ;    6,61
22,01 ; 299,91 ;   10,566992 ;   16,93
24,01 ; 299,92 ;   15,760984 ;   25,00
26,01 ; 299,85 ;   7,945288 ;   12,24
28,01 ; 299,90 ;   13,822785 ;   21,15
30,02 ; 299,90 ;   5,274595 ;    8,37
32,02 ; 299,96 ;   8,540198 ;   13,34
34,02 ; 299,96 ;   4,012112 ;    6,18
36,02 ; 300,01 ;   7,892440 ;   12,79
38,02 ; 300,02 ;   4,614027 ;    7,41
40,02 ; 300,04 ;   7,287792 ;   11,47
42,02 ; 299,97 ;   5,943692 ;    9,60
44,02 ; 300,05 ;   13,157786 ;   20,15
46,02 ; 299,99 ;   1,335565 ;    2,85
48,02 ; 300,05 ;   12,501569 ;   19,10
50,03 ; 300,09 ;   3,350620 ;    5,32
52,03 ; 300,01 ;   5,281918 ;    8,32
54,03 ; 300,02 ;   13,165117 ;   20,58
56,03 ; 299,95 ;   7,276567 ;   11,43
58,03 ; 299,92 ;   13,150186 ;   20,33
60,03 ; 299,96 ;   9,886733 ;   15,60
62,03 ; 299,95 ;   5,279203 ;    8,65
64,03 ; 299,95 ;   9,280802 ;   14,58
66,03 ; 299,95 ;   7,880436 ;   12,94
68,03 ; 299,99 ;   7,886208 ;   12,95
70,04 ; 300,04 ;   4,671731 ;    7,58
72,04 ; 300,05 ;   4,686024 ;    7,15
74,04 ; 299,99 ;   6,617838 ;   10,30
76,04 ; 300,08 ;   12,557993 ;   19,12
78,04 ; 300,08 ;   1,337331 ;    2,64
80,04 ; 300,04 ;   7,290282 ;   11,71
82,04 ; 300,08 ;   10,490245 ;   16,18
84,04 ; 299,98 ;   4,603700 ;    7,56
86,04 ; 299,88 ;   14,499879 ;   22,44
88,05 ; 299,92 ;   15,829986 ;   25,00
90,05 ; 299,80 ;   5,338767 ;    8,18
