Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   5.30 I: 104.05 D:  26.00 Tensão:7.0 V Temperatura ambiente:     19.78ºC
2,00 ; 299,98 ;   7,035848 ;   37,74
4,00 ; 299,95 ;   7,984297 ;   42,09
6,00 ; 300,04 ;   8,375819 ;   44,45
8,00 ; 299,99 ;   6,474514 ;   34,80
10,00 ; 299,91 ;   8,378637 ;   44,74
12,01 ; 300,01 ;   8,935792 ;   47,31
14,01 ; 300,05 ;   6,476009 ;   34,98
16,01 ; 299,89 ;   7,040522 ;   37,95
18,01 ; 299,91 ;   10,079524 ;   53,36
20,01 ; 299,92 ;   7,616521 ;   40,33
22,01 ; 299,99 ;   7,789574 ;   41,38
24,01 ; 300,05 ;   6,862076 ;   36,70
26,01 ; 299,97 ;   6,838974 ;   36,90
28,01 ; 300,01 ;   8,934416 ;   47,58
30,01 ; 299,95 ;   7,250735 ;   38,77
32,01 ; 299,98 ;   8,745557 ;   46,10
34,02 ; 299,98 ;   7,232663 ;   38,90
36,02 ; 299,99 ;   7,796655 ;   41,59
38,02 ; 299,99 ;   7,791610 ;   41,01
40,02 ; 300,06 ;   7,810147 ;   41,55
42,02 ; 299,92 ;   6,841867 ;   36,33
44,02 ; 299,92 ;   9,712852 ;   51,61
46,02 ; 300,06 ;   7,790992 ;   41,93
48,02 ; 299,99 ;   5,917608 ;   31,50
50,02 ; 299,96 ;   8,760315 ;   46,40
52,02 ; 299,97 ;   8,181211 ;   43,87
54,02 ; 299,95 ;   7,789657 ;   41,15
56,03 ; 299,99 ;   8,176959 ;   43,43
58,03 ; 300,03 ;   7,232246 ;   38,34
60,03 ; 300,02 ;   7,230082 ;   38,67
62,03 ; 299,97 ;   8,005856 ;   42,51
64,03 ; 299,94 ;   8,358209 ;   44,92
66,03 ; 299,98 ;   8,371915 ;   44,01
68,03 ; 299,92 ;   7,231698 ;   38,39
70,03 ; 299,97 ;   8,740440 ;   46,26
72,03 ; 300,01 ;   7,230718 ;   38,48
74,03 ; 299,95 ;   7,229032 ;   38,81
76,03 ; 299,99 ;   8,744736 ;   46,14
78,03 ; 299,97 ;   7,228598 ;   38,36
80,04 ; 299,99 ;   8,182171 ;   43,33
82,04 ; 300,04 ;   7,424930 ;   39,98
84,04 ; 299,91 ;   7,228829 ;   38,11
86,04 ; 300,04 ;   9,517529 ;   50,62
