Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:  12.50 I: 100.00 D:  23.80 Tensão:5.233 V
2,03 ; 299,94 ;   8,901473 ;   90,68
4,07 ; 300,02 ;   9,102445 ;   92,52
6,10 ; 299,96 ;   7,120724 ;   72,10
8,13 ; 300,02 ;   9,096929 ;   92,23
10,17 ; 299,98 ;   7,424951 ;   75,54
12,20 ; 300,03 ;   8,705843 ;   88,51
14,23 ; 299,88 ;   7,522598 ;   76,48
16,27 ; 300,01 ;   10,685587 ;  108,18
18,30 ; 299,97 ;   6,342203 ;   64,22
20,33 ; 299,96 ;   8,802756 ;   89,88
22,37 ; 299,98 ;   8,415301 ;   85,41
24,40 ; 300,01 ;   7,917374 ;   80,55
26,43 ; 300,03 ;   7,921083 ;   80,26
28,46 ; 300,01 ;   7,826262 ;   79,96
30,50 ; 300,08 ;   8,612911 ;   87,11
32,53 ; 299,99 ;   7,137270 ;   72,49
34,56 ; 300,04 ;   9,502337 ;   96,42
36,60 ; 300,08 ;   7,535659 ;   76,40
38,63 ; 300,08 ;   7,623051 ;   77,04
40,66 ; 300,03 ;   8,114086 ;   82,73
42,70 ; 300,09 ;   8,904577 ;   90,17
44,73 ; 300,03 ;   7,334307 ;   74,60
46,76 ; 300,01 ;   8,998327 ;   91,28
48,80 ; 300,01 ;   8,519178 ;   87,00
50,83 ; 300,01 ;   8,217387 ;   83,57
52,86 ; 299,98 ;   8,224551 ;   83,57
54,90 ; 300,09 ;   8,621233 ;   87,29
56,93 ; 300,04 ;   6,642421 ;   67,72
58,96 ; 300,09 ;   8,911275 ;   90,01
61,00 ; 300,14 ;   7,436912 ;   75,68
63,03 ; 300,10 ;   7,227259 ;   73,82
65,06 ; 300,05 ;   8,706486 ;   88,00
67,10 ; 300,05 ;   8,818628 ;   89,71
69,13 ; 300,09 ;   8,119434 ;   82,84
71,16 ; 300,02 ;   7,621133 ;   77,85
73,20 ; 300,06 ;   9,204899 ;   93,59
75,23 ; 300,03 ;   7,432043 ;   75,84
77,26 ; 299,91 ;   8,609035 ;   87,66
79,29 ; 299,94 ;   10,001559 ;  101,71
81,33 ; 299,98 ;   7,934254 ;   80,86
83,36 ; 300,04 ;   7,528884 ;   76,85
85,39 ; 299,92 ;   7,432732 ;   75,02
