Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:  12.50 I: 100.00 D:  23.80 Tensão:5.233 V
2,03 ; 300,05 ;   6,861017 ;   70,97
4,07 ; 300,09 ;   8,132070 ;   83,53
6,10 ; 300,03 ;   7,644675 ;   78,54
8,13 ; 300,03 ;   8,926302 ;   91,79
10,17 ; 300,04 ;   8,137944 ;   83,78
12,20 ; 300,05 ;   8,047650 ;   82,53
14,23 ; 300,04 ;   7,948726 ;   81,18
16,27 ; 300,02 ;   8,333853 ;   85,94
18,30 ; 299,98 ;   8,540205 ;   87,37
20,33 ; 299,99 ;   8,638341 ;   88,91
22,37 ; 299,98 ;   8,142391 ;   83,10
24,40 ; 300,02 ;   8,340173 ;   85,48
26,43 ; 299,99 ;   7,749513 ;   79,38
28,47 ; 300,05 ;   8,534848 ;   87,67
30,50 ; 299,98 ;   7,268058 ;   74,31
32,53 ; 299,94 ;   9,226155 ;   94,62
34,57 ; 299,98 ;   8,929708 ;   91,79
36,60 ; 300,05 ;   7,560948 ;   77,49
38,63 ; 299,99 ;   7,168602 ;   73,17
40,67 ; 300,05 ;   9,136074 ;   93,39
42,70 ; 300,12 ;   7,272453 ;   74,30
44,73 ; 300,09 ;   7,172411 ;   73,49
46,77 ; 300,09 ;   8,543061 ;   87,58
48,80 ; 300,13 ;   8,054179 ;   82,98
50,83 ; 300,10 ;   7,451294 ;   76,75
52,87 ; 300,05 ;   8,438549 ;   86,16
54,90 ; 300,06 ;   8,827699 ;   90,16
56,93 ; 300,02 ;   8,050542 ;   82,04
58,97 ; 300,05 ;   8,831100 ;   90,63
61,00 ; 299,97 ;   7,555507 ;   77,55
63,03 ; 300,16 ;   9,418924 ;   96,92
65,07 ; 299,97 ;   5,202836 ;   53,28
67,10 ; 299,98 ;   10,988957 ;  112,90
69,13 ; 300,06 ;   7,952113 ;   81,84
71,17 ; 300,04 ;   6,975983 ;   71,70
73,20 ; 300,06 ;   8,443117 ;   86,84
75,23 ; 299,99 ;   7,761656 ;   79,68
77,27 ; 300,03 ;   9,236909 ;   94,28
