Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:  10.70 I: 118.00 D:  29.50 Tensão:4.793 V Temperatura ambiente:     24.81 ºC
2,00 ; 249,97 ;   7,077100 ;   83,99
4,00 ; 250,00 ;   6,573899 ;   77,92
6,00 ; 250,00 ;   6,056762 ;   71,42
8,00 ; 250,00 ;   6,486678 ;   76,35
10,01 ; 250,00 ;   6,485121 ;   76,35
12,01 ; 249,98 ;   6,484993 ;   76,35
14,01 ; 249,95 ;   6,834852 ;   80,31
16,01 ; 249,98 ;   6,823959 ;   80,57
18,01 ; 250,10 ;   6,145386 ;   72,93
20,01 ; 250,02 ;   4,692987 ;   55,55
22,01 ; 249,98 ;   7,600632 ;   89,74
24,01 ; 249,97 ;   7,000482 ;   82,76
26,02 ; 250,04 ;   6,572652 ;   77,93
28,02 ; 250,04 ;   5,463195 ;   64,84
30,02 ; 250,08 ;   6,397229 ;   75,93
32,02 ; 250,02 ;   5,894399 ;   69,33
34,02 ; 250,02 ;   7,160970 ;   84,70
36,02 ; 250,02 ;   6,572635 ;   77,39
38,02 ; 250,00 ;   6,483181 ;   76,15
40,02 ; 250,00 ;   6,658978 ;   78,79
42,03 ; 250,00 ;   6,485438 ;   76,32
44,03 ; 249,95 ;   6,484358 ;   76,32
46,03 ; 250,02 ;   7,252159 ;   85,55
48,03 ; 250,00 ;   5,553244 ;   65,07
50,03 ; 249,95 ;   6,651269 ;   78,79
52,03 ; 249,99 ;   7,252091 ;   85,55
54,03 ; 250,08 ;   5,884173 ;   69,03
56,03 ; 250,09 ;   5,214946 ;   61,94
58,04 ; 250,05 ;   6,313674 ;   74,16
60,04 ; 250,11 ;   6,912698 ;   81,96
62,04 ; 250,04 ;   5,544776 ;   65,25
64,04 ; 250,00 ;   7,338642 ;   86,94
66,04 ; 250,06 ;   6,991718 ;   82,44
68,04 ; 249,98 ;   5,554556 ;   65,73
70,04 ; 250,04 ;   7,680088 ;   90,07
72,04 ; 250,06 ;   5,544887 ;   65,98
74,05 ; 250,08 ;   6,057035 ;   71,88
76,05 ; 249,93 ;   6,145758 ;   72,94
78,05 ; 250,06 ;   8,534275 ;  100,42
80,05 ; 249,98 ;   4,605159 ;   54,62
82,05 ; 250,05 ;   7,677550 ;   90,05
84,05 ; 250,02 ;   5,468374 ;   64,65
86,05 ; 250,08 ;   6,835337 ;   80,99
88,05 ; 250,08 ;   5,544039 ;   65,52
90,05 ; 250,06 ;   6,396066 ;   75,37
92,06 ; 250,00 ;   6,575499 ;   77,99
94,06 ; 250,08 ;   7,339423 ;   86,05
96,06 ; 250,00 ;   5,381374 ;   63,02
98,06 ; 249,99 ;   7,504198 ;   88,50
100,06 ; 249,95 ;   6,572349 ;   77,49
102,06 ; 250,05 ;   7,174957 ;   84,16
104,06 ; 249,99 ;   5,030600 ;   59,66
106,06 ; 250,00 ;   7,175554 ;   84,89
108,07 ; 250,02 ;   6,309511 ;   74,95
110,07 ; 250,02 ;   6,146827 ;   72,23
112,07 ; 249,95 ;   6,399911 ;   75,92
114,07 ; 250,00 ;   7,428255 ;   87,77
116,07 ; 250,05 ;   5,807189 ;   68,79
118,07 ; 250,02 ;   5,798756 ;   68,28
120,07 ; 250,04 ;   6,737196 ;   79,61
122,07 ; 250,05 ;   6,223174 ;   73,28
124,08 ; 250,11 ;   6,321935 ;   74,42
126,08 ; 250,13 ;   5,545976 ;   65,10
128,08 ; 250,04 ;   6,146328 ;   72,31
130,08 ; 250,04 ;   7,591430 ;   89,23
132,08 ; 250,04 ;   6,400389 ;   75,68
134,08 ; 249,99 ;   6,399074 ;   75,67
136,08 ; 250,02 ;   7,077958 ;   83,56
138,08 ; 250,09 ;   6,146353 ;   72,22
140,08 ; 250,05 ;   5,467666 ;   64,07
142,09 ; 250,08 ;   6,914268 ;   81,72
144,09 ; 249,98 ;   5,971322 ;   70,28
146,09 ; 250,02 ;   7,845153 ;   92,32
148,09 ; 249,93 ;   5,883973 ;   69,72
150,09 ; 250,04 ;   7,678067 ;   90,38
152,09 ; 250,02 ;   4,953566 ;   58,38
154,09 ; 250,08 ;   6,738620 ;   79,58
156,09 ; 250,09 ;   5,546253 ;   65,34
158,10 ; 250,04 ;   6,228245 ;   73,87
160,10 ; 249,99 ;   7,000027 ;   82,99
162,10 ; 250,00 ;   7,085478 ;   83,49
164,10 ; 250,00 ;   6,310002 ;   74,78
166,10 ; 250,06 ;   6,493147 ;   76,02
168,10 ; 250,06 ;   5,553848 ;   65,48
170,10 ; 250,02 ;   6,399547 ;   75,33
172,10 ; 250,08 ;   7,077728 ;   83,22
174,11 ; 250,10 ;   5,554900 ;   65,29
176,11 ; 250,02 ;   6,060183 ;   71,18
178,11 ; 250,10 ;   7,601437 ;   89,35
180,11 ; 250,04 ;   5,215438 ;   61,30
182,11 ; 250,04 ;   7,261014 ;   85,37
184,11 ; 250,00 ;   6,400394 ;   75,51
186,11 ; 250,08 ;   6,992262 ;   82,09
188,11 ; 250,10 ;   5,293222 ;   62,76
190,11 ; 250,06 ;   6,060965 ;   71,11
192,12 ; 249,97 ;   6,911662 ;   81,38
194,12 ; 250,02 ;   7,769524 ;   91,00
196,12 ; 250,00 ;   5,729632 ;   67,00
198,12 ; 249,98 ;   6,738524 ;   79,58
200,12 ; 250,08 ;   6,739136 ;   79,83
202,12 ; 250,02 ;   5,030954 ;   59,02
204,12 ; 250,05 ;   7,263517 ;   85,56
206,12 ; 250,04 ;   5,972025 ;   70,43
208,13 ; 250,06 ;   6,489949 ;   76,67
210,13 ; 250,04 ;   6,058945 ;   71,48
212,13 ; 250,05 ;   6,740002 ;   79,12
214,13 ; 250,10 ;   6,324001 ;   74,09
216,13 ; 250,02 ;   5,634747 ;   66,09
218,13 ; 250,08 ;   7,602926 ;   89,19
220,13 ; 250,13 ;   5,547192 ;   65,10
222,13 ; 250,04 ;   5,557014 ;   65,72
224,14 ; 250,08 ;   7,689087 ;   90,13
226,14 ; 249,98 ;   5,809523 ;   68,75
228,14 ; 250,08 ;   7,856670 ;   92,02
230,14 ; 250,09 ;   4,956690 ;   58,88
232,14 ; 250,06 ;   6,238303 ;   73,57
234,14 ; 249,97 ;   6,661016 ;   78,74
236,14 ; 250,11 ;   7,684238 ;   90,83
238,14 ; 250,06 ;   4,441789 ;   52,34
240,14 ; 250,09 ;   6,993281 ;   82,41
242,15 ; 249,98 ;   6,061239 ;   71,05
244,15 ; 250,13 ;   7,941447 ;   93,18
246,15 ; 250,09 ;   4,275248 ;   50,90
248,15 ; 250,06 ;   6,837941 ;   80,87
250,15 ; 249,99 ;   6,661251 ;   78,65
252,15 ; 249,95 ;   7,342159 ;   86,80
254,15 ; 249,98 ;   7,001880 ;   82,30
256,15 ; 250,02 ;   6,149007 ;   72,19
258,16 ; 250,02 ;   5,723022 ;   67,99
260,16 ; 250,04 ;   6,488455 ;   76,69
262,16 ; 249,98 ;   6,062671 ;   71,51
264,16 ; 250,04 ;   7,253174 ;   85,74
266,16 ; 249,98 ;   5,555999 ;   65,34
268,16 ; 249,98 ;   7,255232 ;   85,73
270,16 ; 249,97 ;   6,411102 ;   75,88
272,16 ; 250,02 ;   6,576649 ;   77,20
274,17 ; 249,91 ;   5,634103 ;   66,75
276,17 ; 250,02 ;   7,933199 ;   93,81
278,17 ; 250,02 ;   4,955256 ;   58,14
280,17 ; 250,04 ;   6,401494 ;   75,39
282,17 ; 250,04 ;   6,149331 ;   72,75
284,17 ; 250,04 ;   6,400907 ;   75,20
286,17 ; 250,02 ;   6,407549 ;   75,20
288,17 ; 250,06 ;   6,751349 ;   79,14
290,17 ; 250,00 ;   5,723807 ;   67,54
292,18 ; 250,10 ;   7,254770 ;   85,46
294,18 ; 249,98 ;   4,955211 ;   58,47
296,18 ; 250,02 ;   8,106233 ;   95,56
298,18 ; 250,06 ;   5,730573 ;   67,94
300,18 ; 250,02 ;   5,809891 ;   68,74
302,18 ; 250,04 ;   6,914478 ;   81,48
304,18 ; 250,02 ;   6,148848 ;   72,68
306,18 ; 250,08 ;   6,577567 ;   77,77
308,19 ; 250,09 ;   5,635045 ;   66,08
310,19 ; 250,06 ;   6,237993 ;   73,37
312,19 ; 250,00 ;   6,660602 ;   78,54
314,19 ; 250,05 ;   7,256605 ;   85,38
316,19 ; 250,09 ;   5,730735 ;   67,61
318,19 ; 250,02 ;   5,809364 ;   68,41
320,19 ; 250,11 ;   7,343223 ;   86,41
322,19 ; 250,05 ;   5,041058 ;   59,51
324,20 ; 250,09 ;   7,167153 ;   84,81
326,20 ; 250,08 ;   5,810695 ;   68,36
328,20 ; 250,11 ;   6,410647 ;   75,83
330,20 ; 249,98 ;   5,897108 ;   69,31
332,20 ; 250,06 ;   8,195434 ;   96,61
334,20 ; 250,00 ;   5,218750 ;   61,18
336,20 ; 250,02 ;   7,255285 ;   85,27
338,20 ; 250,00 ;   6,059946 ;   71,45
340,20 ; 250,02 ;   6,750512 ;   79,09
342,21 ; 249,97 ;   6,072057 ;   71,45
344,21 ; 249,98 ;   7,165607 ;   84,36
346,21 ; 250,02 ;   6,315474 ;   74,42
348,21 ; 250,05 ;   5,721399 ;   67,75
350,21 ; 249,89 ;   6,062171 ;   71,19
352,21 ; 249,98 ;   8,620932 ;  101,23
354,21 ; 249,98 ;   5,303173 ;   62,12
356,21 ; 250,02 ;   6,402694 ;   75,67
358,22 ; 250,02 ;   5,720652 ;   67,77
360,22 ; 249,91 ;   6,491356 ;   76,48
362,22 ; 250,08 ;   7,854265 ;   92,37
364,22 ; 250,05 ;   4,102660 ;   48,70
366,22 ; 249,99 ;   6,750603 ;   79,83
368,22 ; 250,02 ;   7,178206 ;   84,12
370,22 ; 250,09 ;   5,973816 ;   70,22
372,22 ; 250,04 ;   5,460717 ;   64,61
374,23 ; 250,04 ;   7,000567 ;   82,36
376,23 ; 250,08 ;   6,325671 ;   74,95
378,23 ; 250,05 ;   5,801014 ;   68,36
380,23 ; 250,05 ;   6,739477 ;   79,77
382,23 ; 250,11 ;   6,316220 ;   74,84
384,23 ; 250,10 ;   5,467909 ;   64,29
386,23 ; 250,06 ;   6,401831 ;   75,45
388,23 ; 250,02 ;   6,827040 ;   80,78
390,23 ; 250,05 ;   6,916498 ;   81,20
392,24 ; 250,02 ;   6,060575 ;   71,08
394,24 ; 249,93 ;   6,664130 ;   78,72
396,24 ; 250,00 ;   7,681280 ;   90,83
398,24 ; 249,99 ;   5,470728 ;   64,19
400,24 ; 249,98 ;   6,488695 ;   76,60
402,24 ; 250,02 ;   6,664943 ;   78,01
