Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:  12.50 I: 100.00 D:  23.80 Tensão:5.233 V
2,03 ; 299,94 ;   9,980998 ;  102,93
4,07 ; 299,98 ;   8,027089 ;   82,08
6,10 ; 299,95 ;   7,637409 ;   78,07
8,13 ; 300,02 ;   8,916366 ;   91,14
10,17 ; 299,98 ;   7,252667 ;   74,26
12,20 ; 299,95 ;   8,730771 ;   89,51
14,23 ; 300,01 ;   8,932678 ;   91,15
16,27 ; 299,97 ;   7,358772 ;   75,51
18,30 ; 300,03 ;   8,831435 ;   90,87
20,33 ; 299,98 ;   7,336763 ;   75,22
22,37 ; 299,99 ;   8,911427 ;   91,81
24,40 ; 300,04 ;   8,138312 ;   83,72
26,43 ; 300,01 ;   7,548488 ;   77,41
28,47 ; 300,14 ;   8,716892 ;   89,23
30,50 ; 300,08 ;   6,165629 ;   63,53
32,53 ; 300,06 ;   8,998374 ;   92,86
34,57 ; 299,97 ;   8,412026 ;   86,18
36,60 ; 300,10 ;   9,586031 ;   98,80
38,63 ; 299,99 ;   6,158211 ;   63,97
40,67 ; 299,99 ;   9,760437 ;  100,77
42,70 ; 300,04 ;   8,198741 ;   84,76
44,73 ; 300,09 ;   7,508505 ;   77,31
46,77 ; 299,97 ;   7,418356 ;   76,70
48,80 ; 300,04 ;   9,950333 ;  102,17
50,83 ; 299,97 ;   7,130140 ;   73,85
52,87 ; 300,08 ;   9,284896 ;   95,32
54,90 ; 300,06 ;   6,556949 ;   67,64
56,93 ; 300,03 ;   8,425315 ;   86,11
58,97 ; 300,03 ;   8,616917 ;   88,78
61,00 ; 299,99 ;   8,231291 ;   84,20
63,03 ; 300,03 ;   8,817162 ;   90,40
65,07 ; 299,95 ;   7,643005 ;   78,47
67,10 ; 300,01 ;   9,495707 ;   97,85
69,13 ; 299,94 ;   7,348841 ;   75,34
71,17 ; 299,94 ;   9,306447 ;   95,67
73,20 ; 299,97 ;   8,329550 ;   85,41
75,23 ; 300,05 ;   7,834206 ;   80,45
77,27 ; 300,03 ;   6,946343 ;   71,37
79,30 ; 299,96 ;   8,518231 ;   87,65
81,33 ; 299,99 ;   9,286732 ;   95,40
83,37 ; 300,08 ;   7,815758 ;   80,15
85,40 ; 300,02 ;   6,925978 ;   71,05
87,43 ; 299,95 ;   9,086962 ;   93,55
89,46 ; 300,02 ;   9,274246 ;   95,58
91,50 ; 300,01 ;   7,224834 ;   74,12
93,53 ; 299,96 ;   8,304639 ;   85,65
95,56 ; 300,03 ;   8,878315 ;   91,96
97,60 ; 299,99 ;   7,132853 ;   73,93
99,63 ; 300,02 ;   8,779218 ;   90,42
101,66 ; 300,05 ;   7,790405 ;   80,98
103,70 ; 300,05 ;   7,615445 ;   78,19
105,73 ; 300,04 ;   8,112791 ;   83,90
107,76 ; 300,09 ;   8,408384 ;   86,37
109,80 ; 300,15 ;   7,438137 ;   76,61
111,83 ; 300,04 ;   7,143117 ;   73,51
113,86 ; 300,08 ;   9,778725 ;  100,01
115,90 ; 300,01 ;   7,547039 ;   77,79
117,93 ; 299,90 ;   9,198816 ;   94,66
119,96 ; 299,99 ;   9,892873 ;  101,78
122,00 ; 299,97 ;   6,864959 ;   70,88
124,03 ; 299,97 ;   8,624957 ;   88,33
126,06 ; 299,94 ;   8,241426 ;   84,91
128,10 ; 299,97 ;   8,730282 ;   89,89
130,13 ; 299,99 ;   7,852065 ;   80,37
