Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:  12.50 I: 100.00 D:  23.80 Tensão:5.233 V
2,03 ; 300,04 ;   8,381340 ;   85,36
4,07 ; 300,05 ;   8,875038 ;   90,50
6,10 ; 300,05 ;   7,985653 ;   81,15
8,13 ; 299,96 ;   8,189829 ;   83,42
10,17 ; 300,06 ;   9,669945 ;   98,32
12,20 ; 300,04 ;   6,710376 ;   68,46
14,23 ; 299,97 ;   8,580744 ;   87,03
16,27 ; 300,04 ;   9,276708 ;   94,77
18,30 ; 300,01 ;   7,207740 ;   73,31
20,33 ; 300,03 ;   8,687789 ;   88,56
22,37 ; 300,05 ;   7,905419 ;   80,26
24,40 ; 300,04 ;   7,806944 ;   79,95
26,43 ; 300,14 ;   8,395282 ;   85,85
28,47 ; 300,06 ;   6,619678 ;   67,40
30,50 ; 300,16 ;   9,283543 ;   94,65
32,53 ; 300,02 ;   6,619784 ;   67,04
34,57 ; 300,12 ;   10,365666 ;  105,47
36,60 ; 300,13 ;   6,626878 ;   67,61
38,63 ; 300,09 ;   8,004868 ;   81,19
40,67 ; 300,03 ;   8,694820 ;   88,51
42,70 ; 300,08 ;   8,993107 ;   91,48
44,73 ; 300,09 ;   7,508556 ;   76,01
46,77 ; 300,04 ;   7,990783 ;   81,61
48,80 ; 300,06 ;   8,879031 ;   90,18
50,83 ; 300,05 ;   7,802377 ;   79,59
52,87 ; 300,15 ;   8,295348 ;   84,24
54,90 ; 300,03 ;   6,719383 ;   68,16
56,93 ; 299,99 ;   9,878207 ;  100,49
58,97 ; 300,10 ;   8,798374 ;   89,55
61,00 ; 300,13 ;   6,528011 ;   66,43
63,03 ; 300,09 ;   7,707987 ;   78,69
65,07 ; 299,99 ;   8,705078 ;   88,30
67,10 ; 300,12 ;   9,586001 ;   97,48
69,13 ; 300,01 ;   6,229124 ;   63,88
71,17 ; 300,13 ;   9,784112 ;   99,53
73,20 ; 300,05 ;   6,327849 ;   64,89
75,23 ; 300,13 ;   9,188734 ;   93,19
77,27 ; 300,02 ;   7,017280 ;   71,71
79,30 ; 300,06 ;   9,765489 ;   99,37
81,33 ; 300,10 ;   7,395144 ;   75,90
83,37 ; 300,04 ;   7,497891 ;   76,52
85,40 ; 300,04 ;   9,079999 ;   92,16
87,43 ; 300,09 ;   8,096690 ;   83,00
89,47 ; 300,02 ;   7,411075 ;   75,53
91,50 ; 300,14 ;   9,179140 ;   93,56
93,53 ; 300,06 ;   6,226742 ;   63,38
95,57 ; 299,98 ;   9,283853 ;   94,07
97,60 ; 300,05 ;   9,383879 ;   95,04
99,63 ; 300,03 ;   7,111917 ;   72,43
101,67 ; 300,06 ;   8,495736 ;   86,43
103,70 ; 300,08 ;   7,715419 ;   78,02
105,73 ; 300,08 ;   7,910390 ;   80,09
107,77 ; 299,98 ;   8,111783 ;   82,36
109,80 ; 300,03 ;   9,589893 ;   97,25
111,83 ; 300,06 ;   7,518182 ;   76,09
113,87 ; 300,10 ;   7,620235 ;   77,96
115,90 ; 299,98 ;   7,518122 ;   76,31
117,93 ; 300,02 ;   9,881466 ;  100,63
119,97 ; 300,08 ;   7,713834 ;   78,52
122,00 ; 300,08 ;   7,217596 ;   73,15
124,03 ; 299,99 ;   8,105576 ;   82,27
126,07 ; 300,01 ;   9,398491 ;   95,93
128,10 ; 300,06 ;   7,915128 ;   80,87
130,13 ; 300,13 ;   7,318496 ;   74,45
132,17 ; 300,09 ;   7,118101 ;   72,49
134,20 ; 300,09 ;   8,600499 ;   87,82
136,23 ; 299,99 ;   8,108408 ;   82,09
138,27 ; 300,06 ;   9,491859 ;   96,98
140,30 ; 300,10 ;   7,118371 ;   72,08
142,33 ; 300,06 ;   7,522191 ;   76,13
144,37 ; 300,05 ;   8,701924 ;   88,04
146,40 ; 299,95 ;   8,209515 ;   83,55
148,43 ; 300,01 ;   9,794633 ;   99,79
150,47 ; 300,05 ;   7,219182 ;   73,85
152,50 ; 299,99 ;   7,419672 ;   75,55
154,53 ; 300,09 ;   9,105866 ;   92,33
156,57 ; 300,04 ;   6,730605 ;   68,27
158,60 ; 300,10 ;   8,797727 ;   89,43
160,63 ; 300,03 ;   7,111100 ;   72,61
162,66 ; 300,01 ;   9,089494 ;   92,92
164,70 ; 299,99 ;   8,496438 ;   86,35
166,73 ; 300,02 ;   8,403524 ;   85,41
168,76 ; 300,06 ;   7,809640 ;   79,40
170,80 ; 300,09 ;   7,412956 ;   75,37
172,83 ; 299,99 ;   7,709628 ;   78,48
174,86 ; 300,05 ;   9,482313 ;   96,79
176,90 ; 299,99 ;   7,214435 ;   73,15
178,93 ; 300,05 ;   9,090961 ;   92,22
180,96 ; 300,01 ;   7,212321 ;   73,13
183,00 ; 299,98 ;   8,795883 ;   89,72
185,03 ; 300,01 ;   8,493657 ;   86,59
187,06 ; 299,95 ;   7,809373 ;   79,43
189,10 ; 299,97 ;   9,094403 ;   92,80
191,13 ; 299,98 ;   7,811842 ;   79,94
193,16 ; 300,04 ;   7,911210 ;   80,89
195,20 ; 299,98 ;   7,316904 ;   74,48
197,23 ; 300,01 ;   8,997475 ;   91,18
199,26 ; 300,06 ;   7,809022 ;   79,45
201,30 ; 300,05 ;   7,314598 ;   74,18
203,33 ; 300,05 ;   8,204729 ;   83,41
205,36 ; 299,92 ;   8,102320 ;   82,25
207,40 ; 299,99 ;   10,169900 ;  103,36
209,43 ; 300,09 ;   7,122677 ;   72,76
211,46 ; 300,05 ;   6,718305 ;   68,14
213,50 ; 300,06 ;   8,504885 ;   86,81
215,53 ; 300,06 ;   7,909739 ;   80,98
