Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:  10.70 I: 118.00 D:  29.50 Tensão:4.793 V Temperatura ambiente:     24.53 ºC
2,00 ; 250,00 ;   7,149075 ;   84,13
4,00 ; 250,10 ;   6,976296 ;   82,17
6,00 ; 250,08 ;   4,860516 ;   57,64
8,00 ; 250,05 ;   6,550101 ;   77,60
10,01 ; 250,08 ;   6,721963 ;   79,16
12,01 ; 250,05 ;   5,797743 ;   68,95
14,01 ; 250,00 ;   6,723935 ;   79,13
16,01 ; 250,05 ;   6,974078 ;   82,10
18,01 ; 250,00 ;   5,623140 ;   66,80
20,01 ; 250,05 ;   6,976087 ;   82,09
22,01 ; 250,02 ;   5,624044 ;   66,80
24,01 ; 250,13 ;   6,638219 ;   78,13
26,02 ; 249,97 ;   4,683722 ;   55,98
28,02 ; 250,00 ;   8,512937 ;  100,87
30,02 ; 250,06 ;   5,873319 ;   69,74
32,02 ; 250,04 ;   5,449312 ;   64,13
34,02 ; 250,06 ;   6,557129 ;   77,93
36,02 ; 250,05 ;   5,963461 ;   70,27
38,02 ; 250,02 ;   6,469229 ;   76,59
40,02 ; 250,02 ;   6,723440 ;   79,39
42,02 ; 250,02 ;   6,221955 ;   73,14
44,03 ; 249,98 ;   6,376444 ;   75,68
46,03 ; 250,05 ;   6,896619 ;   81,04
48,03 ; 249,91 ;   5,371483 ;   63,03
50,03 ; 250,00 ;   8,176146 ;   96,50
52,03 ; 249,95 ;   5,196982 ;   61,07
54,03 ; 250,06 ;   6,976787 ;   82,53
