Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   5.30 I: 104.05 D:  26.00 Tensão:7.0 V Temperatura ambiente:     20.08ºC
2,00 ; 299,99 ;   8,188656 ;   43,18
4,00 ; 299,99 ;   7,989608 ;   42,10
6,00 ; 300,06 ;   7,989814 ;   42,10
8,00 ; 300,04 ;   6,866561 ;   36,88
10,00 ; 300,09 ;   8,182769 ;   43,46
12,01 ; 300,05 ;   7,234064 ;   38,36
14,01 ; 300,06 ;   8,190773 ;   43,90
16,01 ; 299,96 ;   7,794287 ;   41,16
18,01 ; 300,02 ;   9,330783 ;   49,24
20,01 ; 300,03 ;   7,235760 ;   38,18
22,01 ; 299,98 ;   7,626505 ;   40,79
24,01 ; 300,01 ;   8,550883 ;   45,34
26,01 ; 299,97 ;   7,623073 ;   40,37
28,01 ; 299,95 ;   8,375075 ;   44,89
30,01 ; 299,95 ;   8,182400 ;   43,94
32,01 ; 300,09 ;   8,009531 ;   42,33
34,02 ; 300,02 ;   5,897978 ;   31,90
36,02 ; 300,09 ;   8,745692 ;   46,79
38,02 ; 300,03 ;   6,845403 ;   36,73
40,02 ; 300,06 ;   8,555408 ;   45,62
42,02 ; 300,09 ;   7,426489 ;   39,53
44,02 ; 300,05 ;   7,426228 ;   39,94
46,02 ; 299,99 ;   8,184111 ;   43,86
48,02 ; 300,02 ;   8,767759 ;   46,35
50,02 ; 299,98 ;   7,622283 ;   40,30
52,02 ; 299,96 ;   8,379934 ;   44,24
54,02 ; 300,01 ;   8,185059 ;   43,83
56,03 ; 299,98 ;   7,233474 ;   38,74
58,03 ; 300,02 ;   8,185560 ;   43,70
60,03 ; 300,05 ;   7,426395 ;   39,77
62,03 ; 299,94 ;   7,408778 ;   39,02
64,03 ; 300,08 ;   9,505559 ;   50,41
66,03 ; 299,98 ;   5,916083 ;   31,90
68,03 ; 299,99 ;   9,139772 ;   48,54
70,03 ; 299,98 ;   7,798968 ;   41,50
72,03 ; 299,99 ;   7,989611 ;   42,62
74,03 ; 299,94 ;   7,800347 ;   41,51
76,03 ; 299,96 ;   8,766492 ;   46,11
78,04 ; 300,03 ;   7,625448 ;   40,61
80,04 ; 299,98 ;   7,041502 ;   37,00
82,04 ; 299,97 ;   8,572529 ;   45,32
84,04 ; 300,01 ;   8,181004 ;   43,26
86,04 ; 299,99 ;   7,407588 ;   39,28
88,04 ; 300,09 ;   8,183804 ;   43,13
90,04 ; 300,05 ;   6,676188 ;   35,09
92,04 ; 299,96 ;   8,166610 ;   43,86
94,04 ; 300,05 ;   9,139963 ;   48,66
96,04 ; 299,98 ;   6,653016 ;   35,25
98,04 ; 299,98 ;   8,749040 ;   46,93
100,05 ; 299,95 ;   7,991539 ;   42,09
102,05 ; 299,99 ;   8,359816 ;   44,99
104,05 ; 300,01 ;   7,237355 ;   38,82
106,05 ; 299,99 ;   7,626704 ;   40,89
108,05 ; 300,15 ;   8,185555 ;   43,13
110,05 ; 300,01 ;   5,705076 ;   30,44
112,05 ; 300,06 ;   9,700278 ;   51,63
114,05 ; 300,01 ;   7,062283 ;   37,89
116,05 ; 300,03 ;   8,569559 ;   45,71
118,05 ; 300,01 ;   7,625577 ;   40,20
120,05 ; 299,91 ;   8,182425 ;   43,56
122,06 ; 300,05 ;   9,132196 ;   48,90
124,06 ; 299,99 ;   6,110124 ;   32,02
126,06 ; 300,05 ;   8,767012 ;   46,33
128,06 ; 300,03 ;   7,045588 ;   37,39
130,06 ; 300,02 ;   8,183714 ;   43,43
132,06 ; 300,04 ;   8,010005 ;   42,97
134,06 ; 299,99 ;   7,603421 ;   40,15
136,06 ; 299,92 ;   8,574689 ;   45,24
138,06 ; 299,98 ;   8,941464 ;   47,24
140,06 ; 299,97 ;   7,041969 ;   37,76
142,06 ; 299,99 ;   8,165251 ;   43,23
144,07 ; 299,98 ;   7,627154 ;   40,41
146,07 ; 300,02 ;   7,988162 ;   42,61
148,07 ; 300,08 ;   7,431069 ;   39,75
150,07 ; 300,08 ;   7,062349 ;   37,26
152,07 ; 300,03 ;   7,795858 ;   41,56
154,07 ; 299,96 ;   8,574726 ;   45,03
156,07 ; 300,03 ;   8,944507 ;   47,02
158,07 ; 300,01 ;   6,846478 ;   36,96
160,07 ; 300,01 ;   8,185779 ;   43,54
162,07 ; 299,98 ;   7,796053 ;   41,92
164,07 ; 300,08 ;   8,184348 ;   43,67
166,08 ; 300,03 ;   6,670015 ;   35,09
168,08 ; 300,03 ;   8,553151 ;   45,02
170,08 ; 299,99 ;   7,799720 ;   41,79
172,08 ; 300,03 ;   8,363695 ;   44,69
174,08 ; 300,03 ;   7,425943 ;   39,09
176,08 ; 299,97 ;   7,800349 ;   41,78
178,08 ; 300,08 ;   8,768277 ;   46,42
180,08 ; 299,97 ;   6,286354 ;   34,00
182,08 ; 299,98 ;   9,291580 ;   49,64
184,08 ; 299,99 ;   7,603757 ;   40,95
186,08 ; 300,01 ;   7,780232 ;   41,45
188,09 ; 299,96 ;   7,607763 ;   40,83
190,09 ; 299,99 ;   8,540628 ;   45,39
192,09 ; 300,05 ;   7,396830 ;   39,84
194,09 ; 300,03 ;   7,029395 ;   37,35
196,09 ; 300,03 ;   8,177836 ;   43,39
198,09 ; 300,05 ;   7,802305 ;   41,77
200,09 ; 300,09 ;   7,593475 ;   40,03
202,09 ; 300,01 ;   7,421446 ;   39,32
204,09 ; 300,01 ;   8,949972 ;   47,26
206,09 ; 300,01 ;   7,808482 ;   41,88
208,09 ; 299,99 ;   7,791073 ;   41,88
210,10 ; 300,04 ;   8,178020 ;   43,04
212,10 ; 300,08 ;   7,227248 ;   38,49
214,10 ; 300,03 ;   7,226813 ;   38,81
216,10 ; 299,98 ;   8,372484 ;   44,97
218,10 ; 299,97 ;   8,561923 ;   45,22
220,10 ; 299,96 ;   8,178509 ;   43,16
222,10 ; 300,02 ;   7,984368 ;   42,66
224,10 ; 299,99 ;   7,228994 ;   38,07
226,10 ; 299,99 ;   8,181273 ;   43,57
228,10 ; 299,97 ;   7,791761 ;   41,96
230,10 ; 299,99 ;   8,178411 ;   43,70
232,11 ; 300,02 ;   7,620978 ;   40,35
234,11 ; 299,95 ;   7,615181 ;   40,22
236,11 ; 299,99 ;   8,935533 ;   47,06
238,11 ; 299,96 ;   7,229655 ;   38,74
240,11 ; 300,02 ;   8,351243 ;   44,29
242,11 ; 300,02 ;   7,228874 ;   38,08
244,11 ; 300,02 ;   7,788844 ;   41,84
246,11 ; 299,97 ;   7,812240 ;   41,84
248,11 ; 299,96 ;   8,550546 ;   45,32
250,11 ; 299,97 ;   7,985129 ;   42,68
252,11 ; 300,04 ;   7,791776 ;   41,56
254,11 ; 299,96 ;   6,859784 ;   36,88
256,12 ; 300,01 ;   8,934492 ;   47,52
258,12 ; 300,04 ;   7,232381 ;   38,67
260,12 ; 299,95 ;   7,425229 ;   39,57
262,12 ; 300,03 ;   9,125977 ;   48,68
264,12 ; 300,04 ;   6,668901 ;   35,85
266,12 ; 300,02 ;   7,794778 ;   41,18
268,12 ; 299,98 ;   8,182168 ;   43,46
270,12 ; 300,08 ;   8,354853 ;   44,16
272,12 ; 300,05 ;   6,670432 ;   35,05
274,12 ; 299,97 ;   8,184276 ;   43,24
276,13 ; 299,98 ;   9,130682 ;   48,00
278,13 ; 300,02 ;   7,620382 ;   40,93
280,13 ; 299,99 ;   7,426365 ;   39,68
282,13 ; 299,95 ;   8,179563 ;   43,58
284,13 ; 300,04 ;   8,547831 ;   45,44
286,13 ; 299,98 ;   6,668905 ;   35,26
288,13 ; 300,01 ;   8,570545 ;   45,77
290,13 ; 299,99 ;   7,596315 ;   40,27
292,13 ; 300,09 ;   8,161705 ;   43,04
294,13 ; 300,03 ;   6,669487 ;   35,00
296,13 ; 299,99 ;   8,551659 ;   45,51
298,14 ; 299,96 ;   8,371724 ;   44,64
300,14 ; 299,94 ;   8,376902 ;   44,27
302,14 ; 299,96 ;   8,181911 ;   43,87
304,14 ; 299,91 ;   7,596969 ;   40,52
306,14 ; 300,02 ;   8,550871 ;   45,62
308,14 ; 300,08 ;   6,474040 ;   34,86
310,14 ; 300,06 ;   7,038913 ;   37,21
