Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   5.68 I: 104.06 D:  26.00 Tensão:6.636 V Temperatura ambiente:     21.45ºC
2,00 ; 299,96 ;   7,527669 ;   43,64
4,00 ; 300,02 ;   7,862045 ;   45,99
6,00 ; 299,96 ;   7,170925 ;   41,07
8,00 ; 299,98 ;   8,560347 ;   49,46
10,00 ; 300,06 ;   7,514453 ;   43,56
12,01 ; 299,96 ;   6,818778 ;   39,07
14,01 ; 299,94 ;   9,075055 ;   52,91
16,01 ; 299,95 ;   8,202508 ;   47,29
18,01 ; 299,99 ;   7,689293 ;   44,94
20,01 ; 300,14 ;   7,155806 ;   41,80
22,01 ; 299,94 ;   5,784219 ;   33,44
24,01 ; 299,97 ;   10,481854 ;   60,55
26,01 ; 299,92 ;   7,508918 ;   43,08
28,01 ; 300,02 ;   8,563477 ;   49,12
30,02 ; 299,98 ;   6,636562 ;   38,20
32,02 ; 300,02 ;   8,222203 ;   47,61
34,02 ; 299,97 ;   7,332879 ;   42,82
36,02 ; 300,03 ;   8,379307 ;   48,85
38,02 ; 300,04 ;   6,994831 ;   40,42
40,02 ; 300,12 ;   7,688340 ;   44,41
42,02 ; 300,02 ;   6,656570 ;   38,76
44,02 ; 299,98 ;   9,076835 ;   52,60
46,02 ; 299,91 ;   8,226083 ;   47,59
48,03 ; 300,05 ;   8,740320 ;   50,88
50,03 ; 299,99 ;   5,942898 ;   34,50
52,03 ; 300,05 ;   8,555377 ;   49,85
54,03 ; 299,94 ;   6,994597 ;   40,27
56,03 ; 300,02 ;   9,430271 ;   54,20
58,03 ; 299,99 ;   6,815448 ;   39,34
60,03 ; 300,03 ;   8,041034 ;   46,97
62,03 ; 300,02 ;   7,349346 ;   42,14
64,03 ; 300,02 ;   8,045003 ;   46,26
66,03 ; 299,98 ;   7,848007 ;   45,10
68,04 ; 299,91 ;   8,223464 ;   47,59
70,04 ; 299,97 ;   8,740200 ;   50,88
72,04 ; 299,99 ;   7,154280 ;   41,35
74,04 ; 299,97 ;   7,528802 ;   43,52
76,04 ; 299,97 ;   8,204219 ;   47,12
78,04 ; 300,01 ;   7,840653 ;   45,39
80,04 ; 300,01 ;   7,345348 ;   42,29
82,04 ; 300,01 ;   7,844933 ;   45,17
84,04 ; 300,06 ;   7,859251 ;   45,17
86,05 ; 300,01 ;   6,969397 ;   40,81
88,05 ; 300,05 ;   8,546380 ;   49,20
90,05 ; 300,04 ;   7,156557 ;   41,43
92,05 ; 299,91 ;   8,012397 ;   46,13
94,05 ; 300,02 ;   9,415765 ;   54,92
96,05 ; 300,08 ;   6,468805 ;   37,62
98,05 ; 299,99 ;   6,981328 ;   40,14
100,05 ; 300,04 ;   8,887583 ;   51,58
102,05 ; 300,02 ;   7,141167 ;   41,51
104,05 ; 299,92 ;   8,015551 ;   46,83
106,06 ; 299,97 ;   9,063057 ;   52,56
108,06 ; 299,97 ;   7,144479 ;   41,92
110,06 ; 300,03 ;   7,859282 ;   45,38
112,06 ; 300,04 ;   6,968719 ;   40,41
114,06 ; 299,96 ;   7,658016 ;   44,40
116,06 ; 300,01 ;   8,904482 ;   51,19
118,06 ; 300,06 ;   7,164172 ;   41,70
120,06 ; 299,88 ;   6,982822 ;   40,80
122,06 ; 299,99 ;   10,285655 ;   59,75
124,07 ; 300,03 ;   6,292784 ;   36,60
126,07 ; 299,99 ;   7,320995 ;   42,14
128,07 ; 300,01 ;   8,369337 ;   48,13
130,07 ; 299,99 ;   7,676002 ;   44,01
132,07 ; 300,03 ;   8,016406 ;   46,40
134,07 ; 300,03 ;   7,321477 ;   42,14
136,07 ; 299,99 ;   7,858115 ;   45,02
138,07 ; 300,01 ;   8,370089 ;   48,13
140,07 ; 300,03 ;   7,674049 ;   44,00
142,07 ; 300,04 ;   7,501284 ;   43,29
144,08 ; 299,99 ;   7,680072 ;   44,39
146,08 ; 300,01 ;   8,372459 ;   48,69
148,08 ; 300,03 ;   7,501424 ;   43,99
150,08 ; 300,03 ;   7,499241 ;   43,28
152,08 ; 300,03 ;   7,858125 ;   45,01
154,08 ; 299,96 ;   7,852497 ;   45,00
156,08 ; 299,98 ;   8,708867 ;   50,59
158,08 ; 299,97 ;   7,499455 ;   43,54
160,08 ; 299,99 ;   8,013600 ;   46,52
162,09 ; 299,99 ;   7,495343 ;   43,50
164,09 ; 299,97 ;   7,857818 ;   45,24
166,09 ; 299,99 ;   8,193696 ;   47,10
168,09 ; 299,94 ;   7,497717 ;   43,51
170,09 ; 300,02 ;   8,549935 ;   49,59
172,09 ; 300,02 ;   6,790418 ;   39,35
174,09 ; 300,04 ;   7,836574 ;   45,11
176,09 ; 300,03 ;   7,501959 ;   43,24
178,09 ; 299,99 ;   7,859854 ;   45,59
180,09 ; 300,04 ;   8,370275 ;   48,12
182,10 ; 300,01 ;   7,143562 ;   41,51
184,10 ; 300,09 ;   8,193928 ;   47,45
186,10 ; 299,99 ;   6,630441 ;   38,92
188,10 ; 299,97 ;   9,067487 ;   52,14
190,10 ; 299,97 ;   8,194302 ;   47,09
192,10 ; 300,02 ;   7,851431 ;   45,36
194,10 ; 300,01 ;   7,141646 ;   41,64
196,10 ; 300,01 ;   7,858790 ;   45,71
198,10 ; 300,02 ;   7,852072 ;   45,14
200,11 ; 299,97 ;   7,660598 ;   44,51
202,11 ; 300,02 ;   8,374420 ;   48,82
204,11 ; 300,05 ;   7,143822 ;   41,63
206,11 ; 300,06 ;   7,143776 ;   41,98
208,11 ; 300,08 ;   7,679148 ;   44,24
210,11 ; 300,03 ;   7,500955 ;   43,56
212,11 ; 300,05 ;   8,374516 ;   48,44
214,11 ; 300,06 ;   7,500605 ;   43,11
216,11 ; 299,99 ;   7,684213 ;   44,21
218,11 ; 299,94 ;   8,706461 ;   50,38
220,12 ; 299,94 ;   8,549689 ;   49,54
222,12 ; 299,97 ;   7,853538 ;   45,51
224,12 ; 299,97 ;   7,501859 ;   43,03
226,12 ; 299,99 ;   7,856320 ;   45,34
228,12 ; 300,14 ;   7,501341 ;   43,48
230,12 ; 299,99 ;   5,759536 ;   33,39
232,12 ; 300,03 ;   9,755190 ;   56,15
234,12 ; 299,96 ;   7,321822 ;   42,09
236,12 ; 299,95 ;   8,733937 ;   50,56
238,13 ; 299,97 ;   8,013922 ;   46,62
240,13 ; 299,98 ;   7,500575 ;   43,61
242,13 ; 299,98 ;   7,679714 ;   44,10
244,13 ; 299,95 ;   7,857829 ;   45,25
246,13 ; 299,94 ;   8,370921 ;   48,36
248,13 ; 299,95 ;   8,036610 ;   46,11
250,13 ; 299,97 ;   7,662193 ;   44,92
252,13 ; 300,06 ;   7,496402 ;   43,64
254,13 ; 299,94 ;   6,467208 ;   37,91
256,14 ; 300,02 ;   9,415107 ;   54,76
258,14 ; 300,04 ;   6,804175 ;   39,33
260,14 ; 300,08 ;   7,515363 ;   43,23
262,14 ; 300,02 ;   7,138287 ;   41,85
264,14 ; 299,99 ;   8,530046 ;   49,70
266,14 ; 300,03 ;   8,009894 ;   46,95
268,14 ; 299,98 ;   7,320357 ;   42,11
270,14 ; 300,01 ;   8,364081 ;   48,72
272,14 ; 300,01 ;   7,496207 ;   43,40
274,14 ; 299,95 ;   7,856159 ;   45,12
276,15 ; 300,02 ;   8,704753 ;   50,10
278,15 ; 300,08 ;   6,802639 ;   39,89
280,15 ; 299,95 ;   6,985767 ;   40,11
282,15 ; 299,96 ;   9,596208 ;   55,28
284,15 ; 299,97 ;   7,674646 ;   44,24
286,15 ; 300,01 ;   7,674749 ;   44,78
288,15 ; 300,03 ;   7,319159 ;   42,25
290,15 ; 299,99 ;   7,496798 ;   43,27
292,15 ; 299,99 ;   8,383421 ;   48,10
294,16 ; 299,95 ;   7,855228 ;   45,22
296,16 ; 299,90 ;   8,367817 ;   48,95
298,16 ; 299,96 ;   8,531335 ;   49,23
300,16 ; 299,97 ;   6,979370 ;   40,81
302,16 ; 299,98 ;   7,678616 ;   44,80
304,16 ; 300,02 ;   7,674711 ;   44,14
306,16 ; 300,01 ;   7,317957 ;   42,81
308,16 ; 300,06 ;   7,854891 ;   45,73
310,16 ; 300,02 ;   6,980815 ;   40,80
312,16 ; 299,94 ;   8,371394 ;   48,56
314,17 ; 300,03 ;   8,883998 ;   51,32
316,17 ; 299,97 ;   6,631717 ;   38,10
318,17 ; 299,98 ;   8,545373 ;   49,99
320,17 ; 300,03 ;   7,675376 ;   44,14
322,17 ; 299,97 ;   7,165088 ;   41,56
324,17 ; 300,02 ;   8,545636 ;   49,99
326,17 ; 299,97 ;   7,161718 ;   41,65
328,17 ; 299,95 ;   8,374078 ;   48,84
330,17 ; 300,02 ;   8,191993 ;   47,25
332,18 ; 299,98 ;   6,788819 ;   39,93
334,18 ; 299,97 ;   8,190998 ;   47,60
336,18 ; 299,98 ;   8,013185 ;   46,54
