Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   5.68 I: 104.06 D:  26.00 Tensão:6.66 V Temperatura ambiente:     21.97ºC
2,00 ; 300,02 ;   7,537622 ;   43,43
4,00 ; 300,08 ;   7,719479 ;   44,54
6,00 ; 300,02 ;   7,025729 ;   40,14
8,00 ; 300,02 ;   8,599485 ;   49,72
10,01 ; 299,98 ;   7,878493 ;   45,11
12,01 ; 300,05 ;   8,238597 ;   47,59
14,01 ; 300,02 ;   6,846508 ;   39,69
16,01 ; 299,99 ;   8,240523 ;   47,98
18,01 ; 300,09 ;   8,080439 ;   46,96
20,01 ; 300,05 ;   6,485788 ;   37,77
22,01 ; 299,99 ;   8,237549 ;   47,17
24,01 ; 299,96 ;   8,590453 ;   49,83
26,01 ; 299,96 ;   8,258043 ;   47,71
28,02 ; 299,95 ;   7,904065 ;   45,41
30,02 ; 300,01 ;   8,057489 ;   46,65
32,02 ; 299,98 ;   7,026833 ;   40,53
34,02 ; 300,04 ;   8,238436 ;   47,01
36,02 ; 299,97 ;   7,025024 ;   40,93
38,02 ; 300,03 ;   8,773336 ;   50,56
40,02 ; 300,05 ;   7,024029 ;   40,40
42,02 ; 300,02 ;   7,541440 ;   43,14
44,02 ; 300,03 ;   8,257259 ;   47,97
46,03 ; 300,01 ;   7,542523 ;   43,84
48,03 ; 300,04 ;   8,079265 ;   46,86
50,03 ; 299,96 ;   7,365313 ;   42,64
52,03 ; 300,08 ;   8,933900 ;   51,16
54,03 ; 300,01 ;   6,306556 ;   36,07
56,03 ; 300,02 ;   8,777186 ;   50,31
58,03 ; 299,98 ;   7,722147 ;   44,50
60,03 ; 299,90 ;   8,237917 ;   47,56
62,03 ; 300,04 ;   9,115532 ;   52,09
64,03 ; 299,98 ;   5,966405 ;   34,57
66,04 ; 300,01 ;   8,598045 ;   49,30
68,04 ; 299,99 ;   7,543477 ;   43,40
70,04 ; 300,05 ;   8,060409 ;   46,37
72,04 ; 300,08 ;   7,021955 ;   40,24
74,04 ; 300,06 ;   7,361853 ;   42,99
76,04 ; 300,02 ;   7,902629 ;   45,95
78,04 ; 300,01 ;   8,416720 ;   48,52
80,04 ; 300,02 ;   7,882652 ;   45,68
82,04 ; 299,99 ;   7,723009 ;   44,48
84,05 ; 299,98 ;   8,058329 ;   46,92
86,05 ; 300,01 ;   7,900478 ;   45,82
88,05 ; 299,92 ;   7,542184 ;   43,38
90,05 ; 300,02 ;   8,936514 ;   51,94
92,05 ; 299,98 ;   6,665896 ;   38,15
94,05 ; 299,97 ;   8,241021 ;   47,55
96,05 ; 299,98 ;   8,057740 ;   46,49
98,05 ; 299,99 ;   7,718202 ;   44,10
100,05 ; 300,03 ;   7,720231 ;   44,63
102,06 ; 300,03 ;   7,381558 ;   42,10
104,06 ; 299,95 ;   7,719035 ;   44,98
106,06 ; 300,02 ;   8,938121 ;   51,82
108,06 ; 300,01 ;   6,845295 ;   39,88
110,06 ; 300,04 ;   7,878084 ;   45,69
112,06 ; 299,99 ;   7,381793 ;   42,63
114,06 ; 300,01 ;   8,416143 ;   48,66
116,06 ; 300,02 ;   7,560256 ;   43,96
118,06 ; 300,03 ;   7,720456 ;   44,49
120,06 ; 299,99 ;   7,540571 ;   43,82
122,07 ; 300,01 ;   8,417939 ;   48,08
124,07 ; 299,99 ;   7,543532 ;   43,95
126,07 ; 300,01 ;   8,080502 ;   46,35
128,07 ; 299,97 ;   7,540230 ;   43,95
130,07 ; 299,98 ;   8,416580 ;   48,21
132,07 ; 300,04 ;   7,701561 ;   44,09
134,07 ; 299,98 ;   7,026521 ;   40,90
136,07 ; 300,02 ;   8,599697 ;   49,28
138,07 ; 299,99 ;   7,361201 ;   42,76
140,08 ; 299,98 ;   8,077718 ;   46,93
142,08 ; 299,98 ;   7,900931 ;   45,82
144,08 ; 300,03 ;   7,896856 ;   45,24
146,08 ; 300,03 ;   7,184366 ;   41,52
148,08 ; 299,99 ;   7,722401 ;   44,97
150,08 ; 299,96 ;   8,417662 ;   48,08
152,08 ; 300,01 ;   8,238081 ;   47,68
154,08 ; 299,99 ;   7,182717 ;   41,65
156,08 ; 299,97 ;   8,061571 ;   46,35
158,09 ; 299,92 ;   8,239466 ;   47,06
160,09 ; 299,98 ;   8,591311 ;   49,07
162,09 ; 300,02 ;   7,025875 ;   40,64
164,09 ; 299,96 ;   7,380678 ;   42,77
166,09 ; 299,94 ;   8,576838 ;   49,43
168,09 ; 299,97 ;   8,236948 ;   47,26
170,09 ; 299,99 ;   7,538634 ;   43,05
172,09 ; 300,06 ;   7,539726 ;   43,50
174,09 ; 300,10 ;   6,846872 ;   39,63
176,10 ; 299,98 ;   7,181893 ;   41,70
178,10 ; 300,03 ;   9,292744 ;   53,90
180,10 ; 300,05 ;   7,186491 ;   41,52
182,10 ; 300,03 ;   7,540691 ;   43,12
184,10 ; 300,04 ;   8,061804 ;   46,70
186,10 ; 300,02 ;   7,717584 ;   44,35
188,10 ; 299,98 ;   8,056492 ;   46,79
190,10 ; 300,05 ;   8,242017 ;   47,54
192,10 ; 299,96 ;   6,841485 ;   39,64
194,10 ; 299,96 ;   9,130695 ;   52,28
196,11 ; 299,96 ;   7,879748 ;   45,37
198,11 ; 300,04 ;   7,901311 ;   45,38
200,11 ; 300,03 ;   6,841414 ;   39,16
202,11 ; 299,98 ;   7,902253 ;   45,55
204,11 ; 300,03 ;   8,416502 ;   48,70
206,11 ; 300,02 ;   7,205167 ;   41,51
208,11 ; 299,97 ;   8,073927 ;   46,21
210,11 ; 299,98 ;   8,415869 ;   48,78
212,11 ; 300,03 ;   7,724315 ;   44,09
214,12 ; 300,08 ;   7,180766 ;   41,51
216,12 ; 300,01 ;   7,181806 ;   41,23
218,12 ; 300,04 ;   8,776492 ;   50,28
220,12 ; 300,08 ;   7,362185 ;   42,60
222,12 ; 299,95 ;   7,199197 ;   41,80
224,12 ; 300,08 ;   9,631185 ;   55,24
226,12 ; 299,95 ;   5,968859 ;   34,88
228,12 ; 300,05 ;   9,653276 ;   55,24
230,12 ; 300,02 ;   6,308214 ;   36,74
232,12 ; 299,99 ;   8,237260 ;   47,91
234,13 ; 299,96 ;   8,058255 ;   46,89
236,13 ; 300,02 ;   8,238378 ;   47,65
238,13 ; 299,99 ;   7,024542 ;   41,00
240,13 ; 300,01 ;   8,063639 ;   46,90
242,13 ; 300,02 ;   7,539879 ;   43,93
244,13 ; 299,92 ;   7,718936 ;   44,46
246,13 ; 300,03 ;   9,114584 ;   52,49
248,13 ; 299,99 ;   6,308354 ;   36,87
250,13 ; 300,04 ;   8,417710 ;   48,05
252,14 ; 300,03 ;   7,202974 ;   41,44
254,14 ; 300,04 ;   7,902358 ;   45,52
256,14 ; 300,04 ;   7,718002 ;   44,32
258,14 ; 300,03 ;   7,700731 ;   44,89
