Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   5.68 I: 104.06 D:  26.00 Tensão:6.631 V Temperatura ambiente:     21.22ºC
2,00 ; 299,96 ;   7,330852 ;   42,09
4,00 ; 300,02 ;   8,740137 ;   50,56
6,00 ; 300,02 ;   7,175653 ;   41,02
8,00 ; 300,01 ;   7,865039 ;   45,06
10,01 ; 299,98 ;   7,846178 ;   45,68
12,01 ; 300,03 ;   8,045962 ;   46,97
14,01 ; 300,08 ;   7,155071 ;   41,51
16,01 ; 299,95 ;   7,173107 ;   41,23
18,01 ; 300,03 ;   9,608400 ;   55,25
20,01 ; 299,94 ;   6,637230 ;   38,62
22,01 ; 299,99 ;   9,076306 ;   52,42
24,01 ; 299,94 ;   7,151573 ;   41,15
26,01 ; 299,99 ;   8,555170 ;   49,54
28,01 ; 300,02 ;   7,175383 ;   41,16
30,02 ; 300,04 ;   7,510305 ;   43,33
32,02 ; 299,97 ;   7,507399 ;   43,20
34,02 ; 299,99 ;   8,740500 ;   50,52
36,02 ; 300,08 ;   7,510179 ;   43,47
38,02 ; 300,03 ;   6,654872 ;   38,36
40,02 ; 300,03 ;   8,380729 ;   48,42
42,02 ; 299,99 ;   7,690267 ;   44,96
44,02 ; 300,02 ;   8,382128 ;   48,07
46,02 ; 300,09 ;   7,529171 ;   43,32
48,02 ; 300,03 ;   6,813290 ;   39,45
50,03 ; 299,99 ;   8,382685 ;   48,98
52,03 ; 300,01 ;   8,379116 ;   48,05
54,03 ; 300,05 ;   7,509836 ;   43,93
56,03 ; 300,08 ;   7,157021 ;   41,35
58,03 ; 300,01 ;   7,350018 ;   42,93
60,03 ; 300,02 ;   8,719010 ;   50,25
62,03 ; 300,02 ;   7,687053 ;   44,44
64,03 ; 299,97 ;   7,863030 ;   45,02
66,03 ; 300,01 ;   8,379083 ;   48,74
68,04 ; 299,99 ;   7,349571 ;   42,18
70,04 ; 300,02 ;   8,023674 ;   46,31
72,04 ; 299,97 ;   7,508796 ;   43,29
74,04 ; 300,01 ;   8,379942 ;   48,75
76,04 ; 299,92 ;   7,351896 ;   42,18
78,04 ; 299,99 ;   8,895725 ;   51,90
80,04 ; 299,92 ;   6,816560 ;   39,98
82,04 ; 299,98 ;   8,736503 ;   50,76
84,04 ; 299,91 ;   6,994957 ;   40,60
86,04 ; 300,05 ;   8,741085 ;   50,81
88,05 ; 300,05 ;   5,943102 ;   34,44
90,05 ; 299,99 ;   7,690909 ;   44,81
92,05 ; 300,05 ;   8,557035 ;   49,79
94,05 ; 300,03 ;   6,996002 ;   40,20
96,05 ; 299,99 ;   8,046657 ;   46,67
98,05 ; 300,01 ;   8,383468 ;   48,05
100,05 ; 300,01 ;   7,509910 ;   43,92
102,05 ; 300,04 ;   7,847470 ;   45,07
104,05 ; 300,01 ;   7,333909 ;   42,58
106,06 ; 299,97 ;   8,223616 ;   47,37
108,06 ; 299,97 ;   8,385825 ;   48,17
110,06 ; 299,92 ;   7,864493 ;   45,30
112,06 ; 300,01 ;   8,557440 ;   49,03
114,06 ; 300,01 ;   6,636601 ;   38,74
116,06 ; 299,96 ;   7,845689 ;   45,08
118,06 ; 299,98 ;   8,381468 ;   48,81
120,06 ; 300,03 ;   7,510635 ;   43,49
122,06 ; 299,97 ;   7,174994 ;   41,49
124,06 ; 299,95 ;   8,559263 ;   49,92
126,07 ; 300,03 ;   8,220463 ;   47,18
128,07 ; 300,03 ;   6,656566 ;   38,61
130,07 ; 300,03 ;   7,688158 ;   44,95
132,07 ; 299,92 ;   7,686863 ;   44,95
134,07 ; 299,98 ;   9,257453 ;   53,65
136,07 ; 299,98 ;   6,977143 ;   40,61
138,07 ; 299,99 ;   7,846708 ;   45,23
140,07 ; 300,04 ;   7,688745 ;   44,61
142,07 ; 299,97 ;   7,174422 ;   41,45
144,08 ; 299,99 ;   8,735016 ;   50,51
146,08 ; 299,97 ;   7,509506 ;   43,45
148,08 ; 300,02 ;   8,205795 ;   47,05
150,08 ; 300,05 ;   7,154011 ;   41,59
152,08 ; 300,08 ;   7,175150 ;   41,94
154,08 ; 299,95 ;   7,329465 ;   42,95
156,08 ; 300,01 ;   9,592086 ;   55,24
158,08 ; 299,97 ;   6,995955 ;   40,47
160,08 ; 300,02 ;   8,385439 ;   48,20
162,08 ; 299,99 ;   7,171642 ;   41,58
164,09 ; 300,06 ;   8,022922 ;   46,91
166,09 ; 300,06 ;   6,817460 ;   39,59
168,09 ; 299,96 ;   7,688439 ;   44,77
170,09 ; 300,03 ;   9,078000 ;   52,84
172,09 ; 299,97 ;   6,818193 ;   39,75
174,09 ; 300,01 ;   8,558884 ;   49,91
176,09 ; 299,99 ;   7,351327 ;   42,20
178,09 ; 300,03 ;   8,029336 ;   46,32
180,09 ; 299,91 ;   7,331564 ;   42,06
182,09 ; 299,98 ;   9,432236 ;   54,27
184,10 ; 299,94 ;   6,994176 ;   40,03
186,10 ; 299,96 ;   8,399270 ;   48,95
188,10 ; 300,01 ;   7,512278 ;   43,64
190,10 ; 299,99 ;   7,172922 ;   41,64
192,10 ; 300,01 ;   8,023728 ;   46,34
194,10 ; 299,91 ;   7,510270 ;   43,95
196,10 ; 299,96 ;   9,094933 ;   52,56
198,10 ; 300,01 ;   7,151375 ;   41,92
200,10 ; 300,06 ;   7,155925 ;   41,65
202,11 ; 299,97 ;   6,994064 ;   40,76
204,11 ; 300,05 ;   9,094947 ;   52,25
206,11 ; 300,01 ;   6,634693 ;   38,49
208,11 ; 300,06 ;   8,399736 ;   48,56
210,11 ; 300,01 ;   6,993594 ;   40,75
212,11 ; 299,96 ;   8,561245 ;   49,13
214,11 ; 300,05 ;   8,381480 ;   48,82
216,11 ; 300,01 ;   6,480119 ;   37,91
