Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   9.00 I: 196.00 D:   0.00 Tensão:4.793 V Temperatura ambiente:     24.58 ºC
2,00 ; 250,87 ;   5,338253 ;   63,91
4,00 ; 250,78 ;   5,423879 ;   64,04
6,00 ; 250,65 ;   5,424401 ;   64,74
8,00 ; 250,63 ;   5,506977 ;   65,88
10,01 ; 250,61 ;   5,511799 ;   65,96
12,01 ; 250,46 ;   5,597752 ;   66,11
14,01 ; 250,38 ;   5,673235 ;   67,41
16,01 ; 250,33 ;   5,761285 ;   68,15
18,01 ; 250,30 ;   5,760753 ;   68,54
20,01 ; 250,17 ;   5,758885 ;   68,72
22,01 ; 250,06 ;   5,847205 ;   69,90
24,01 ; 249,97 ;   5,933999 ;   70,88
26,01 ; 249,93 ;   6,009220 ;   71,73
28,02 ; 249,82 ;   6,098753 ;   72,08
30,02 ; 249,69 ;   6,184087 ;   73,08
32,02 ; 249,71 ;   6,272814 ;   74,31
34,02 ; 249,59 ;   6,269892 ;   74,12
36,02 ; 249,50 ;   6,357564 ;   75,29
38,02 ; 249,45 ;   6,444627 ;   76,11
40,02 ; 249,34 ;   6,442566 ;   76,58
42,02 ; 249,29 ;   6,520667 ;   77,62
44,03 ; 249,29 ;   6,608636 ;   78,18
46,03 ; 249,20 ;   6,609312 ;   78,25
48,03 ; 249,06 ;   6,691927 ;   79,09
50,03 ; 249,07 ;   6,780062 ;   80,44
52,03 ; 249,07 ;   6,781914 ;   80,46
54,03 ; 249,06 ;   6,770805 ;   80,55
56,03 ; 249,02 ;   6,771261 ;   80,70
58,03 ; 248,91 ;   6,857584 ;   81,14
60,03 ; 248,98 ;   6,945804 ;   82,30
62,04 ; 248,99 ;   6,861485 ;   81,76
64,04 ; 248,99 ;   6,868271 ;   81,71
66,04 ; 248,93 ;   6,857580 ;   81,80
68,04 ; 249,00 ;   6,946316 ;   82,47
70,04 ; 249,00 ;   6,861017 ;   81,92
72,04 ; 249,04 ;   6,942555 ;   82,02
74,04 ; 249,05 ;   6,867644 ;   81,75
76,04 ; 249,07 ;   6,858466 ;   81,77
78,04 ; 249,15 ;   6,867939 ;   81,64
80,05 ; 249,18 ;   6,856451 ;   81,02
82,05 ; 249,20 ;   6,771474 ;   80,81
84,05 ; 249,27 ;   6,771752 ;   80,75
86,05 ; 249,31 ;   6,772170 ;   80,18
88,05 ; 249,41 ;   6,695879 ;   79,82
90,05 ; 249,33 ;   6,601180 ;   78,96
92,05 ; 249,48 ;   6,685148 ;   79,80
94,05 ; 249,50 ;   6,606291 ;   78,51
96,06 ; 249,53 ;   6,609744 ;   78,35
98,06 ; 249,57 ;   6,609144 ;   78,11
100,06 ; 249,65 ;   6,521491 ;   77,79
102,06 ; 249,70 ;   6,523839 ;   77,12
104,06 ; 249,80 ;   6,434311 ;   76,73
106,06 ; 249,80 ;   6,347171 ;   75,83
108,06 ; 249,89 ;   6,357379 ;   75,78
110,06 ; 249,91 ;   6,358698 ;   75,02
112,06 ; 250,04 ;   6,261380 ;   74,82
114,07 ; 250,00 ;   6,187395 ;   73,69
116,07 ; 250,13 ;   6,270516 ;   74,04
118,07 ; 250,19 ;   6,097997 ;   72,83
120,07 ; 250,21 ;   6,098534 ;   72,32
122,07 ; 250,15 ;   6,099968 ;   72,09
124,07 ; 250,26 ;   6,095874 ;   72,64
126,07 ; 250,30 ;   6,021726 ;   71,63
128,07 ; 250,30 ;   6,010672 ;   71,25
130,07 ; 250,33 ;   6,013087 ;   71,23
132,08 ; 250,39 ;   5,925234 ;   70,92
134,08 ; 250,41 ;   5,933985 ;   70,32
136,08 ; 250,48 ;   5,936597 ;   70,07
138,08 ; 250,43 ;   5,848270 ;   69,39
140,08 ; 250,41 ;   5,847658 ;   69,84
142,08 ; 250,41 ;   5,848316 ;   69,95
144,08 ; 250,41 ;   5,848631 ;   69,98
146,08 ; 250,39 ;   5,847679 ;   69,87
148,09 ; 250,46 ;   5,925239 ;   70,05
150,09 ; 250,37 ;   5,839140 ;   69,37
152,09 ; 250,37 ;   5,926274 ;   70,18
154,09 ; 250,43 ;   5,934318 ;   70,15
156,09 ; 250,37 ;   5,849401 ;   69,54
158,09 ; 250,35 ;   5,936872 ;   70,07
160,09 ; 250,32 ;   5,933110 ;   70,18
162,09 ; 250,28 ;   5,927193 ;   70,43
164,09 ; 250,23 ;   5,936600 ;   70,76
166,10 ; 250,13 ;   6,013659 ;   71,16
168,10 ; 250,20 ;   6,097427 ;   72,13
170,10 ; 250,13 ;   6,021700 ;   71,48
172,10 ; 250,04 ;   6,100679 ;   72,03
174,10 ; 249,99 ;   6,100400 ;   72,87
176,10 ; 250,09 ;   6,185143 ;   73,29
178,10 ; 249,93 ;   6,100399 ;   72,44
180,10 ; 249,91 ;   6,185307 ;   73,86
182,10 ; 249,89 ;   6,261302 ;   74,00
184,11 ; 249,88 ;   6,273600 ;   74,23
186,11 ; 249,84 ;   6,269924 ;   74,31
188,11 ; 249,82 ;   6,271688 ;   74,67
190,11 ; 249,87 ;   6,272726 ;   74,90
192,11 ; 249,75 ;   6,261310 ;   74,49
194,11 ; 249,71 ;   6,360081 ;   75,57
196,11 ; 249,69 ;   6,351065 ;   75,95
198,11 ; 249,70 ;   6,435651 ;   76,19
200,11 ; 249,62 ;   6,435075 ;   76,14
202,12 ; 249,59 ;   6,435822 ;   76,88
204,12 ; 249,62 ;   6,520859 ;   77,13
206,12 ; 249,64 ;   6,445597 ;   76,95
208,12 ; 249,62 ;   6,445439 ;   76,78
210,12 ; 249,62 ;   6,529723 ;   77,02
212,12 ; 249,59 ;   6,523493 ;   77,06
214,12 ; 249,57 ;   6,521197 ;   77,38
216,12 ; 249,59 ;   6,521141 ;   77,56
218,13 ; 249,50 ;   6,530165 ;   77,45
220,13 ; 249,63 ;   6,610652 ;   78,27
222,13 ; 249,60 ;   6,524319 ;   77,18
224,13 ; 249,65 ;   6,520749 ;   77,43
226,13 ; 249,63 ;   6,521484 ;   77,04
228,13 ; 249,64 ;   6,530278 ;   77,29
230,13 ; 249,63 ;   6,523567 ;   77,18
232,13 ; 249,66 ;   6,520956 ;   77,35
234,13 ; 249,71 ;   6,521812 ;   77,03
236,14 ; 249,70 ;   6,435635 ;   76,64
238,14 ; 249,73 ;   6,435774 ;   76,81
240,14 ; 249,77 ;   6,436468 ;   76,55
242,14 ; 249,76 ;   6,437246 ;   76,15
244,14 ; 249,76 ;   6,436730 ;   76,31
246,14 ; 249,82 ;   6,436683 ;   76,33
248,14 ; 249,80 ;   6,348889 ;   75,79
250,14 ; 249,84 ;   6,356502 ;   75,95
252,14 ; 249,91 ;   6,359770 ;   75,68
254,15 ; 249,80 ;   6,361080 ;   75,06
256,15 ; 249,88 ;   6,349839 ;   75,99
258,15 ; 249,93 ;   6,347603 ;   75,30
260,15 ; 249,97 ;   6,275053 ;   74,88
262,15 ; 249,99 ;   6,265029 ;   74,53
264,15 ; 249,97 ;   6,271951 ;   74,32
266,15 ; 249,95 ;   6,270999 ;   74,54
268,15 ; 250,05 ;   6,273842 ;   74,75
270,16 ; 250,04 ;   6,184890 ;   73,83
272,16 ; 250,11 ;   6,185106 ;   73,90
274,16 ; 250,00 ;   6,186316 ;   73,26
276,16 ; 250,11 ;   6,269767 ;   74,24
278,16 ; 250,02 ;   6,185861 ;   73,25
280,16 ; 250,16 ;   6,274504 ;   74,02
282,16 ; 250,13 ;   6,099612 ;   72,81
284,16 ; 250,19 ;   6,185149 ;   73,08
286,16 ; 250,13 ;   6,099147 ;   72,50
288,17 ; 250,13 ;   6,096445 ;   72,98
290,17 ; 250,17 ;   6,185601 ;   73,04
292,17 ; 250,15 ;   6,100720 ;   72,60
294,17 ; 250,15 ;   6,100645 ;   72,80
296,17 ; 250,17 ;   6,109016 ;   72,78
298,17 ; 250,15 ;   6,099998 ;   72,56
300,17 ; 250,19 ;   6,099302 ;   72,75
302,17 ; 250,15 ;   6,097614 ;   72,39
304,17 ; 250,19 ;   6,108703 ;   72,72
306,18 ; 250,19 ;   6,109104 ;   72,35
308,18 ; 250,16 ;   6,100317 ;   72,34
310,18 ; 250,20 ;   6,100289 ;   72,60
312,18 ; 250,11 ;   6,097765 ;   72,23
314,18 ; 250,08 ;   6,107133 ;   73,00
316,18 ; 250,11 ;   6,185361 ;   73,27
318,18 ; 250,10 ;   6,101110 ;   72,98
320,18 ; 250,05 ;   6,185814 ;   73,04
322,19 ; 250,08 ;   6,194079 ;   73,53
324,19 ; 250,02 ;   6,186023 ;   73,24
326,19 ; 250,05 ;   6,184764 ;   73,73
328,19 ; 250,06 ;   6,186387 ;   73,52
330,19 ; 249,98 ;   6,185884 ;   73,37
332,19 ; 250,02 ;   6,271451 ;   74,15
334,19 ; 250,00 ;   6,189746 ;   73,79
336,19 ; 249,99 ;   6,186705 ;   73,93
338,19 ; 250,00 ;   6,256443 ;   74,00
340,20 ; 249,89 ;   6,174093 ;   73,93
342,20 ; 249,91 ;   6,258929 ;   74,93
344,20 ; 249,95 ;   6,253368 ;   74,80
346,20 ; 249,95 ;   6,256254 ;   74,45
348,20 ; 249,84 ;   6,259821 ;   74,38
350,20 ; 249,88 ;   6,346895 ;   75,38
352,20 ; 249,82 ;   6,349122 ;   75,04
354,20 ; 249,89 ;   6,354479 ;   75,62
356,20 ; 249,77 ;   6,259408 ;   75,00
358,21 ; 249,87 ;   6,443072 ;   76,07
360,21 ; 249,82 ;   6,358386 ;   75,24
362,21 ; 249,84 ;   6,350937 ;   75,68
364,21 ; 249,86 ;   6,355657 ;   75,55
366,21 ; 249,84 ;   6,360465 ;   75,36
368,21 ; 249,78 ;   6,352000 ;   75,51
370,21 ; 249,86 ;   6,438690 ;   76,09
372,21 ; 249,76 ;   6,349552 ;   75,40
374,22 ; 249,80 ;   6,446319 ;   76,34
376,22 ; 249,77 ;   6,447662 ;   76,01
378,22 ; 249,86 ;   6,448592 ;   76,24
380,22 ; 249,80 ;   6,352429 ;   75,48
382,22 ; 249,82 ;   6,444949 ;   76,06
384,22 ; 249,77 ;   6,362344 ;   75,87
386,22 ; 249,87 ;   6,438412 ;   76,31
388,22 ; 249,76 ;   6,351241 ;   75,48
390,22 ; 249,86 ;   6,447316 ;   76,48
392,23 ; 249,80 ;   6,364061 ;   75,58
394,23 ; 249,80 ;   6,443729 ;   76,16
396,23 ; 249,86 ;   6,444219 ;   76,18
398,23 ; 249,82 ;   6,358614 ;   75,63
400,23 ; 249,84 ;   6,442934 ;   76,00
402,23 ; 249,87 ;   6,363648 ;   75,80
404,23 ; 249,89 ;   6,361433 ;   75,60
406,23 ; 249,86 ;   6,348851 ;   75,40
408,24 ; 249,89 ;   6,359370 ;   75,70
410,24 ; 249,87 ;   6,362531 ;   75,43
412,24 ; 249,95 ;   6,350669 ;   75,65
414,24 ; 249,95 ;   6,276315 ;   74,95
416,24 ; 249,93 ;   6,264733 ;   74,96
418,24 ; 249,98 ;   6,349152 ;   75,10
420,24 ; 250,00 ;   6,270895 ;   74,68
422,24 ; 250,04 ;   6,264252 ;   74,47
424,24 ; 250,04 ;   6,273038 ;   74,12
426,25 ; 250,08 ;   6,273042 ;   74,11
428,25 ; 250,02 ;   6,185193 ;   73,76
430,25 ; 250,10 ;   6,258560 ;   74,32
432,25 ; 250,02 ;   6,173973 ;   73,53
434,25 ; 250,10 ;   6,257740 ;   74,31
436,25 ; 250,10 ;   6,180675 ;   73,52
438,25 ; 250,13 ;   6,172810 ;   73,51
440,25 ; 250,11 ;   6,171310 ;   73,22
442,26 ; 250,09 ;   6,173059 ;   73,42
444,26 ; 250,17 ;   6,169456 ;   73,62
446,26 ; 250,13 ;   6,094368 ;   72,84
448,26 ; 250,13 ;   6,174115 ;   73,25
450,26 ; 250,13 ;   6,176407 ;   73,16
452,26 ; 250,06 ;   6,175728 ;   73,15
454,26 ; 250,19 ;   6,164147 ;   73,78
456,26 ; 250,15 ;   6,076314 ;   72,64
458,26 ; 250,11 ;   6,079128 ;   72,97
460,27 ; 250,19 ;   6,166041 ;   73,32
462,27 ; 250,13 ;   6,079997 ;   72,59
464,27 ; 250,16 ;   6,174504 ;   73,15
466,27 ; 250,02 ;   6,090711 ;   72,85
468,27 ; 250,05 ;   6,253048 ;   74,11
470,27 ; 250,02 ;   6,167846 ;   73,83
472,27 ; 250,06 ;   6,254464 ;   74,04
474,27 ; 250,09 ;   6,167152 ;   73,68
476,28 ; 250,10 ;   6,166882 ;   73,46
478,28 ; 250,04 ;   6,176500 ;   73,31
480,28 ; 250,04 ;   6,181818 ;   73,87
482,28 ; 249,98 ;   6,183662 ;   73,87
484,28 ; 250,06 ;   6,272938 ;   74,43
486,28 ; 250,02 ;   6,186491 ;   73,65
488,28 ; 250,04 ;   6,270072 ;   74,07
490,28 ; 249,95 ;   6,184634 ;   73,86
492,28 ; 250,02 ;   6,264192 ;   74,64
494,29 ; 249,87 ;   6,274652 ;   74,00
496,29 ; 249,91 ;   6,348805 ;   75,42
498,29 ; 249,95 ;   6,361137 ;   75,01
500,29 ; 249,87 ;   6,265004 ;   74,66
502,29 ; 249,95 ;   6,356761 ;   75,44
504,29 ; 249,95 ;   6,250077 ;   74,75
506,29 ; 249,91 ;   6,247035 ;   74,68
508,29 ; 249,91 ;   6,338139 ;   75,11
510,30 ; 249,87 ;   6,329873 ;   75,05
512,30 ; 249,88 ;   6,338038 ;   75,48
514,30 ; 249,89 ;   6,342341 ;   75,35
516,30 ; 249,89 ;   6,338882 ;   75,29
518,30 ; 249,93 ;   6,337297 ;   75,30
520,30 ; 249,80 ;   6,239829 ;   74,96
522,30 ; 249,84 ;   6,419179 ;   76,17
524,30 ; 249,88 ;   6,328094 ;   75,83
526,30 ; 249,89 ;   6,334955 ;   75,42
528,31 ; 249,88 ;   6,337653 ;   75,36
530,31 ; 249,84 ;   6,329402 ;   75,44
532,31 ; 249,84 ;   6,339133 ;   75,88
534,31 ; 249,91 ;   6,341420 ;   75,90
536,31 ; 249,84 ;   6,340044 ;   75,20
538,31 ; 249,84 ;   6,337346 ;   75,92
540,31 ; 249,87 ;   6,326934 ;   75,86
542,31 ; 249,87 ;   6,323247 ;   75,66
544,32 ; 249,89 ;   6,328887 ;   75,68
546,32 ; 249,97 ;   6,324406 ;   75,48
548,32 ; 249,89 ;   6,249163 ;   74,78
550,32 ; 249,93 ;   6,336376 ;   75,49
552,32 ; 249,93 ;   6,336690 ;   75,14
554,32 ; 250,00 ;   6,323077 ;   75,15
556,32 ; 249,95 ;   6,251267 ;   74,52
558,32 ; 249,97 ;   6,250462 ;   74,94
560,32 ; 250,02 ;   6,254113 ;   74,81
562,33 ; 249,95 ;   6,242062 ;   74,38
564,33 ; 249,99 ;   6,325089 ;   75,02
566,33 ; 250,02 ;   6,237755 ;   74,60
568,33 ; 250,09 ;   6,229626 ;   74,39
570,33 ; 250,04 ;   6,147428 ;   73,75
572,33 ; 249,95 ;   6,236397 ;   74,16
574,33 ; 249,99 ;   6,322845 ;   75,01
576,33 ; 250,00 ;   6,237745 ;   74,59
578,34 ; 250,04 ;   6,227057 ;   74,52
580,34 ; 249,97 ;   6,238555 ;   74,17
582,34 ; 249,99 ;   6,222528 ;   74,80
584,34 ; 250,11 ;   6,236974 ;   74,59
586,34 ; 249,99 ;   6,135175 ;   73,53
588,34 ; 249,99 ;   6,219276 ;   74,58
590,34 ; 249,99 ;   6,220125 ;   74,58
592,34 ; 250,10 ;   6,225657 ;   74,58
594,34 ; 249,98 ;   6,141332 ;   73,59
596,35 ; 249,97 ;   6,221867 ;   74,72
598,35 ; 250,04 ;   6,224742 ;   74,79
600,35 ; 250,02 ;   6,226283 ;   74,15
602,35 ; 250,02 ;   6,232223 ;   74,36
604,35 ; 250,02 ;   6,230847 ;   74,29
606,35 ; 249,97 ;   6,234416 ;   74,36
608,35 ; 250,05 ;   6,242091 ;   74,78
610,35 ; 250,04 ;   6,234249 ;   74,08
612,36 ; 250,00 ;   6,249875 ;   74,14
614,36 ; 250,02 ;   6,248384 ;   74,50
616,36 ; 249,95 ;   6,242687 ;   74,28
618,36 ; 249,95 ;   6,250405 ;   74,92
620,36 ; 250,00 ;   6,253006 ;   74,99
622,36 ; 249,98 ;   6,258090 ;   74,50
624,36 ; 249,95 ;   6,262400 ;   74,72
626,36 ; 249,93 ;   6,258287 ;   74,93
628,36 ; 249,99 ;   6,346341 ;   75,15
630,37 ; 249,93 ;   6,258659 ;   74,59
632,37 ; 249,98 ;   6,336465 ;   75,16
634,37 ; 249,98 ;   6,267843 ;   74,74
636,37 ; 249,95 ;   6,265824 ;   74,74
638,37 ; 250,02 ;   6,272081 ;   74,95
640,37 ; 250,00 ;   6,269956 ;   74,32
642,37 ; 249,95 ;   6,263446 ;   74,53
644,37 ; 250,00 ;   6,275291 ;   74,96
646,38 ; 250,02 ;   6,278110 ;   74,53
648,38 ; 249,99 ;   6,266718 ;   74,39
650,38 ; 249,98 ;   6,282163 ;   74,60
652,38 ; 249,93 ;   6,275762 ;   74,75
654,38 ; 249,99 ;   6,363604 ;   75,17
656,38 ; 249,98 ;   6,287049 ;   74,61
658,38 ; 249,98 ;   6,290387 ;   74,76
660,38 ; 249,95 ;   6,279445 ;   74,76
662,39 ; 249,93 ;   6,374201 ;   75,04
664,39 ; 249,97 ;   6,374255 ;   75,19
666,39 ; 249,95 ;   6,289519 ;   74,84
668,39 ; 249,91 ;   6,279443 ;   74,99
670,39 ; 250,02 ;   6,377560 ;   75,42
672,39 ; 250,00 ;   6,291463 ;   74,43
674,39 ; 250,02 ;   6,283904 ;   74,57
676,39 ; 250,00 ;   6,289634 ;   74,36
678,39 ; 249,99 ;   6,293055 ;   74,57
680,40 ; 250,00 ;   6,280781 ;   74,64
682,40 ; 250,02 ;   6,285194 ;   74,57
684,40 ; 249,95 ;   6,276151 ;   74,43
686,40 ; 250,00 ;   6,353962 ;   75,07
688,40 ; 250,00 ;   6,289042 ;   74,57
690,40 ; 250,10 ;   6,277570 ;   74,57
692,40 ; 250,05 ;   6,204860 ;   73,65
694,40 ; 250,09 ;   6,289284 ;   74,14
696,41 ; 250,06 ;   6,204825 ;   73,78
698,41 ; 250,00 ;   6,207542 ;   73,98
700,41 ; 250,13 ;   6,289057 ;   74,55
702,41 ; 250,06 ;   6,196434 ;   73,41
704,41 ; 250,02 ;   6,206313 ;   73,97
706,41 ; 250,05 ;   6,292980 ;   74,39
708,41 ; 250,11 ;   6,293047 ;   74,10
710,41 ; 250,08 ;   6,216262 ;   73,53
712,41 ; 250,16 ;   6,208878 ;   73,80
714,42 ; 250,05 ;   6,205958 ;   73,09
716,42 ; 250,11 ;   6,296038 ;   74,07
718,42 ; 250,09 ;   6,202831 ;   73,49
720,42 ; 250,06 ;   6,198921 ;   73,70
722,42 ; 250,15 ;   6,185966 ;   73,90
724,42 ; 250,08 ;   6,189761 ;   73,12
726,42 ; 250,06 ;   6,207087 ;   73,74
728,42 ; 250,04 ;   6,205798 ;   73,88
730,43 ; 250,13 ;   6,305577 ;   74,08
732,43 ; 250,02 ;   6,221615 ;   73,30
734,43 ; 250,05 ;   6,300140 ;   74,28
736,43 ; 250,02 ;   6,223092 ;   74,00
738,43 ; 250,13 ;   6,300294 ;   74,20
740,43 ; 250,05 ;   6,218295 ;   73,28
742,43 ; 250,02 ;   6,219905 ;   73,98
744,43 ; 250,11 ;   6,307582 ;   74,26
746,43 ; 250,09 ;   6,221893 ;   73,40
748,44 ; 250,04 ;   6,218511 ;   73,61
750,44 ; 250,06 ;   6,309925 ;   74,02
752,44 ; 250,09 ;   6,221324 ;   73,81
754,44 ; 250,05 ;   6,223341 ;   73,59
756,44 ; 250,08 ;   6,224465 ;   73,94
758,44 ; 250,02 ;   6,220335 ;   73,65
760,44 ; 250,06 ;   6,312840 ;   74,21
762,44 ; 250,02 ;   6,226480 ;   73,78
764,45 ; 250,02 ;   6,303344 ;   74,13
766,45 ; 250,04 ;   6,317296 ;   74,13
768,45 ; 250,11 ;   6,225090 ;   73,98
770,45 ; 250,05 ;   6,224684 ;   73,34
772,45 ; 250,02 ;   6,226058 ;   73,90
774,45 ; 250,00 ;   6,315883 ;   74,18
776,45 ; 250,00 ;   6,300965 ;   74,32
778,45 ; 250,06 ;   6,314737 ;   74,32
780,45 ; 250,09 ;   6,224169 ;   73,75
782,46 ; 250,09 ;   6,223975 ;   73,53
784,46 ; 250,02 ;   6,223841 ;   73,53
786,46 ; 249,99 ;   6,303759 ;   74,16
788,46 ; 250,00 ;   6,312940 ;   74,37
790,46 ; 250,04 ;   6,312208 ;   74,30
792,46 ; 250,02 ;   6,234812 ;   73,94
794,46 ; 250,04 ;   6,314641 ;   74,08
796,46 ; 250,06 ;   6,226802 ;   73,94
798,47 ; 250,02 ;   6,227177 ;   73,72
800,47 ; 250,04 ;   6,303980 ;   74,07
802,47 ; 250,05 ;   6,228830 ;   73,93
804,47 ; 250,02 ;   6,226869 ;   73,85
806,47 ; 250,02 ;   6,312041 ;   74,13
808,47 ; 250,09 ;   6,315729 ;   74,13
810,47 ; 250,04 ;   6,228499 ;   73,49
812,47 ; 250,09 ;   6,220802 ;   73,91
814,47 ; 250,02 ;   6,228153 ;   73,48
816,48 ; 250,06 ;   6,314250 ;   74,04
818,48 ; 250,06 ;   6,221058 ;   73,68
820,48 ; 249,97 ;   6,230552 ;   73,67
822,48 ; 250,08 ;   6,310548 ;   74,52
824,48 ; 250,02 ;   6,224568 ;   73,53
826,48 ; 250,02 ;   6,302109 ;   74,02
828,48 ; 250,08 ;   6,314260 ;   74,02
830,48 ; 250,06 ;   6,225737 ;   73,52
832,49 ; 250,08 ;   6,224196 ;   73,65
834,49 ; 250,05 ;   6,217353 ;   73,51
836,49 ; 250,00 ;   6,225312 ;   73,78
838,49 ; 250,09 ;   6,314533 ;   74,20
840,49 ; 250,09 ;   6,224867 ;   73,42
842,49 ; 249,99 ;   6,226136 ;   73,41
844,49 ; 250,00 ;   6,301901 ;   74,26
846,49 ; 250,04 ;   6,313046 ;   74,19
848,50 ; 250,06 ;   6,216586 ;   73,83
850,50 ; 250,08 ;   6,213789 ;   73,62
852,50 ; 250,04 ;   6,213629 ;   73,47
854,50 ; 250,05 ;   6,213621 ;   73,82
856,50 ; 250,06 ;   6,220227 ;   73,74
858,50 ; 250,00 ;   6,213106 ;   73,60
860,50 ; 250,05 ;   6,298812 ;   74,16
862,50 ; 250,04 ;   6,211036 ;   73,73
864,50 ; 250,02 ;   6,213784 ;   73,80
866,51 ; 250,05 ;   6,224751 ;   73,94
868,51 ; 250,02 ;   6,224007 ;   73,72
870,51 ; 250,02 ;   6,215954 ;   73,93
