Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   9.50 I: 113.00 D:  28.50 Tensão:5.227 V
2,03 ; 249,99 ;   6,266977 ;   63,84
4,07 ; 250,06 ;   5,972035 ;   60,50
6,10 ; 250,06 ;   5,275388 ;   53,57
8,13 ; 249,97 ;   6,169706 ;   62,93
10,17 ; 250,02 ;   7,555221 ;   76,30
12,20 ; 249,97 ;   5,548065 ;   56,01
14,23 ; 249,99 ;   7,036329 ;   71,10
16,26 ; 250,02 ;   5,944985 ;   60,48
18,30 ; 249,95 ;   5,939474 ;   60,26
20,33 ; 250,05 ;   7,235974 ;   73,42
22,36 ; 249,99 ;   4,849417 ;   49,56
24,40 ; 249,95 ;   6,945010 ;   70,89
26,43 ; 249,93 ;   6,845939 ;   69,19
28,46 ; 249,88 ;   6,648480 ;   67,34
30,50 ; 250,00 ;   6,945218 ;   70,93
32,53 ; 250,04 ;   4,656966 ;   47,96
34,56 ; 249,93 ;   5,655673 ;   57,99
36,60 ; 249,95 ;   7,741884 ;   78,81
38,63 ; 250,00 ;   6,147169 ;   62,02
40,66 ; 249,95 ;   5,557152 ;   56,30
42,69 ; 249,93 ;   7,049693 ;   71,39
44,73 ; 250,05 ;   6,552993 ;   66,35
46,76 ; 250,10 ;   4,660057 ;   47,54
48,79 ; 250,02 ;   5,456531 ;   55,34
50,83 ; 250,04 ;   7,341775 ;   74,87
52,86 ; 250,02 ;   5,935239 ;   60,08
54,89 ; 249,99 ;   6,536742 ;   66,54
56,93 ; 250,06 ;   6,533218 ;   66,76
58,96 ; 250,06 ;   5,243167 ;   53,60
60,99 ; 250,02 ;   6,139644 ;   62,95
63,03 ; 250,02 ;   6,840409 ;   69,64
65,06 ; 249,99 ;   6,145420 ;   62,28
67,09 ; 249,95 ;   6,638115 ;   67,78
69,12 ; 249,91 ;   6,933635 ;   70,31
71,16 ; 249,98 ;   6,741199 ;   68,55
73,19 ; 249,98 ;   5,447071 ;   55,47
75,22 ; 250,05 ;   6,243234 ;   63,80
77,26 ; 250,02 ;   5,249345 ;   53,75
79,29 ; 249,95 ;   6,540299 ;   66,46
81,32 ; 249,91 ;   7,329551 ;   74,50
83,36 ; 249,97 ;   6,833385 ;   69,68
85,39 ; 250,02 ;   5,450236 ;   55,57
87,42 ; 250,00 ;   5,548702 ;   56,08
89,46 ; 250,04 ;   6,544316 ;   66,71
91,49 ; 249,95 ;   5,752942 ;   58,01
93,52 ; 249,97 ;   7,534281 ;   76,60
95,55 ; 250,02 ;   5,948523 ;   60,78
97,59 ; 250,05 ;   5,644826 ;   57,20
99,62 ; 249,97 ;   5,748656 ;   58,98
101,65 ; 249,97 ;   7,341496 ;   74,29
103,69 ; 250,02 ;   6,246245 ;   63,89
105,72 ; 249,98 ;   5,551181 ;   56,08
107,75 ; 249,99 ;   6,936412 ;   70,06
109,79 ; 249,93 ;   6,042939 ;   61,59
111,82 ; 250,02 ;   7,137642 ;   72,61
113,85 ; 250,02 ;   5,148028 ;   52,02
115,89 ; 250,02 ;   6,144521 ;   62,34
117,92 ; 249,93 ;   6,344952 ;   64,49
119,95 ; 249,98 ;   7,444644 ;   75,73
121,99 ; 250,02 ;   5,646736 ;   57,60
124,02 ; 249,95 ;   5,647909 ;   57,15
126,05 ; 249,91 ;   7,342468 ;   74,55
128,08 ; 249,98 ;   6,842510 ;   69,73
130,12 ; 249,91 ;   5,351253 ;   54,51
132,15 ; 249,95 ;   7,143587 ;   72,80
134,18 ; 249,95 ;   5,750105 ;   58,91
136,22 ; 250,02 ;   6,447582 ;   65,23
138,25 ; 249,98 ;   5,351189 ;   54,16
140,28 ; 249,97 ;   6,847244 ;   69,10
142,32 ; 250,00 ;   6,447694 ;   65,02
144,35 ; 249,99 ;   5,852540 ;   59,52
146,38 ; 250,00 ;   6,348080 ;   64,80
148,42 ; 250,00 ;   6,145369 ;   62,64
