Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:  10.70 I: 132.00 D:  29.50 Tensão:4.793 V Temperatura ambiente:     24.58 ºC
2,00 ; 249,78 ;   5,198924 ;   61,39
4,00 ; 249,87 ;   7,148062 ;   84,70
6,00 ; 249,73 ;   4,606744 ;   54,22
8,00 ; 249,69 ;   7,662159 ;   90,19
10,01 ; 249,80 ;   6,561223 ;   77,19
12,01 ; 249,84 ;   4,345811 ;   51,40
14,01 ; 249,82 ;   5,285232 ;   62,10
16,01 ; 249,75 ;   5,960029 ;   70,92
18,01 ; 249,80 ;   6,814382 ;   80,34
20,01 ; 249,87 ;   5,112899 ;   60,07
22,01 ; 249,77 ;   4,937088 ;   58,19
24,01 ; 249,73 ;   7,051773 ;   83,87
26,02 ; 249,84 ;   6,540441 ;   77,03
28,02 ; 249,84 ;   4,339949 ;   51,24
30,02 ; 249,77 ;   5,780150 ;   68,52
32,02 ; 249,78 ;   6,714717 ;   79,09
34,02 ; 249,75 ;   5,700728 ;   67,95
36,02 ; 249,63 ;   6,299525 ;   74,48
38,02 ; 249,64 ;   7,653158 ;   90,66
40,02 ; 249,67 ;   5,779025 ;   68,38
42,02 ; 249,59 ;   5,530028 ;   65,63
44,03 ; 249,60 ;   7,052498 ;   83,79
46,03 ; 249,59 ;   5,953492 ;   70,21
48,03 ; 249,50 ;   6,127945 ;   72,83
50,03 ; 249,51 ;   7,391617 ;   87,47
52,03 ; 249,48 ;   6,040191 ;   71,44
54,03 ; 249,45 ;   6,453378 ;   76,70
56,03 ; 249,48 ;   6,638692 ;   78,36
58,03 ; 249,44 ;   5,865710 ;   69,57
60,04 ; 249,42 ;   6,725055 ;   79,93
62,04 ; 249,42 ;   6,462810 ;   76,50
64,04 ; 249,41 ;   6,291345 ;   74,13
66,04 ; 249,45 ;   6,377083 ;   75,54
68,04 ; 249,41 ;   5,704000 ;   67,82
70,04 ; 249,44 ;   6,805858 ;   80,65
72,04 ; 249,45 ;   5,954378 ;   70,64
74,04 ; 249,38 ;   6,040082 ;   71,79
76,04 ; 249,39 ;   7,402457 ;   87,52
78,05 ; 249,40 ;   6,118098 ;   72,66
80,05 ; 249,45 ;   6,206561 ;   73,91
82,05 ; 249,40 ;   5,616791 ;   66,01
84,05 ; 249,39 ;   7,053781 ;   83,95
86,05 ; 249,51 ;   6,467544 ;   76,74
88,05 ; 249,37 ;   4,680439 ;   55,85
90,05 ; 249,41 ;   8,328286 ;   98,12
92,05 ; 249,42 ;   5,782472 ;   68,14
94,06 ; 249,40 ;   6,292749 ;   74,31
96,06 ; 249,46 ;   6,715594 ;   79,59
98,06 ; 249,50 ;   5,531577 ;   65,45
100,06 ; 249,53 ;   5,779456 ;   68,81
102,06 ; 249,48 ;   5,867018 ;   69,79
104,06 ; 249,51 ;   7,143813 ;   84,01
106,06 ; 249,52 ;   5,955137 ;   70,20
108,06 ; 249,48 ;   6,119878 ;   72,58
110,07 ; 249,59 ;   7,057826 ;   83,02
112,07 ; 249,51 ;   4,680696 ;   55,94
114,07 ; 249,52 ;   7,483191 ;   88,99
116,07 ; 249,50 ;   6,118372 ;   72,89
118,07 ; 249,50 ;   6,719105 ;   79,38
120,07 ; 249,51 ;   6,379558 ;   75,76
122,07 ; 249,53 ;   6,295103 ;   74,53
124,07 ; 249,55 ;   6,044270 ;   71,89
126,07 ; 249,52 ;   6,205729 ;   73,02
128,08 ; 249,51 ;   6,721279 ;   79,51
130,08 ; 249,48 ;   6,631025 ;   78,53
132,08 ; 249,53 ;   6,804404 ;   80,10
134,08 ; 249,48 ;   5,781312 ;   68,58
136,08 ; 249,52 ;   7,229731 ;   85,27
138,08 ; 249,48 ;   5,781648 ;   68,83
140,08 ; 249,55 ;   7,143884 ;   84,20
142,08 ; 249,63 ;   5,529962 ;   65,04
144,09 ; 249,60 ;   5,366494 ;   63,03
146,09 ; 249,62 ;   6,720687 ;   79,36
148,09 ; 249,62 ;   6,207926 ;   73,10
150,09 ; 249,66 ;   6,380888 ;   75,62
152,09 ; 249,69 ;   5,695264 ;   67,79
154,09 ; 249,59 ;   6,033769 ;   71,28
156,09 ; 249,66 ;   7,648596 ;   90,83
158,09 ; 249,62 ;   5,443845 ;   64,26
160,09 ; 249,60 ;   7,056465 ;   83,30
162,10 ; 249,67 ;   6,642281 ;   78,61
164,10 ; 249,66 ;   5,443549 ;   64,35
166,10 ; 249,64 ;   6,467319 ;   76,81
168,10 ; 249,69 ;   6,720494 ;   79,59
170,10 ; 249,73 ;   5,783133 ;   68,05
172,10 ; 249,73 ;   5,792042 ;   68,91
174,10 ; 249,70 ;   6,207680 ;   73,79
176,10 ; 249,67 ;   6,891552 ;   81,66
178,11 ; 249,73 ;   6,717945 ;   79,49
180,11 ; 249,70 ;   5,617704 ;   66,63
182,11 ; 249,77 ;   6,797984 ;   80,57
184,11 ; 249,78 ;   5,277213 ;   62,52
186,11 ; 249,75 ;   6,217796 ;   73,56
188,11 ; 249,75 ;   6,806171 ;   80,10
190,11 ; 249,73 ;   6,381451 ;   75,21
192,11 ; 249,80 ;   6,556291 ;   77,88
194,11 ; 249,76 ;   5,452702 ;   64,92
196,12 ; 249,71 ;   6,892333 ;   81,41
198,12 ; 249,71 ;   7,059809 ;   83,18
200,12 ; 249,70 ;   6,380058 ;   75,84
202,12 ; 249,75 ;   6,630928 ;   78,52
204,12 ; 249,76 ;   5,618103 ;   66,88
206,12 ; 249,73 ;   6,294490 ;   74,23
208,12 ; 249,75 ;   6,718581 ;   79,46
210,12 ; 249,78 ;   6,209914 ;   73,17
212,13 ; 249,75 ;   5,957267 ;   70,40
214,13 ; 249,77 ;   6,805731 ;   80,64
216,13 ; 249,78 ;   6,044403 ;   71,80
218,13 ; 249,84 ;   6,292208 ;   74,21
220,13 ; 249,71 ;   5,619769 ;   66,26
222,13 ; 249,80 ;   8,081715 ;   95,99
224,13 ; 249,84 ;   5,106978 ;   60,51
226,13 ; 249,87 ;   5,958821 ;   70,07
228,13 ; 249,86 ;   5,870784 ;   69,75
230,14 ; 249,87 ;   6,457274 ;   76,02
232,14 ; 249,86 ;   6,209666 ;   73,49
234,14 ; 249,86 ;   6,470342 ;   76,06
236,14 ; 249,84 ;   6,295981 ;   74,85
238,14 ; 249,86 ;   6,634390 ;   78,83
240,14 ; 249,87 ;   6,044083 ;   71,21
242,14 ; 249,86 ;   6,217570 ;   73,61
244,14 ; 249,78 ;   6,458362 ;   76,18
246,15 ; 249,84 ;   7,483050 ;   88,14
248,15 ; 249,84 ;   5,620346 ;   66,64
250,15 ; 249,98 ;   6,375211 ;   75,29
252,15 ; 249,95 ;   4,343825 ;   51,60
254,15 ; 249,91 ;   6,730551 ;   79,06
256,15 ; 249,87 ;   6,806737 ;   80,73
258,15 ; 249,84 ;   6,894280 ;   81,16
260,15 ; 249,84 ;   6,807996 ;   80,29
262,16 ; 249,86 ;   6,303758 ;   74,07
264,16 ; 249,86 ;   6,131756 ;   72,69
266,16 ; 249,91 ;   6,380944 ;   75,18
268,16 ; 249,95 ;   5,697121 ;   67,30
270,16 ; 249,91 ;   5,783174 ;   68,13
272,16 ; 249,93 ;   6,808425 ;   80,88
274,16 ; 249,84 ;   5,957570 ;   70,78
276,16 ; 249,87 ;   7,646065 ;   90,29
278,17 ; 249,88 ;   5,957595 ;   70,27
280,17 ; 249,95 ;   6,132375 ;   72,58
282,17 ; 249,95 ;   5,358985 ;   63,21
284,17 ; 249,91 ;   6,381266 ;   75,63
286,17 ; 249,95 ;   6,730434 ;   79,68
288,17 ; 249,97 ;   5,782415 ;   68,17
290,17 ; 249,95 ;   6,034535 ;   71,71
292,17 ; 249,91 ;   6,642387 ;   78,13
294,17 ; 249,97 ;   6,893408 ;   81,03
296,18 ; 249,98 ;   5,447263 ;   64,35
298,18 ; 249,95 ;   6,129029 ;   72,89
300,18 ; 249,98 ;   6,719701 ;   79,40
302,18 ; 250,02 ;   5,871688 ;   69,21
304,18 ; 249,95 ;   5,707918 ;   67,55
306,18 ; 249,89 ;   7,232616 ;   85,57
308,18 ; 249,91 ;   7,059443 ;   83,71
310,18 ; 249,87 ;   6,034900 ;   71,14
312,19 ; 249,91 ;   6,981740 ;   82,76
314,19 ; 250,00 ;   5,784625 ;   68,80
316,19 ; 250,02 ;   5,021059 ;   59,17
318,19 ; 249,91 ;   5,956932 ;   70,01
320,19 ; 249,91 ;   7,830471 ;   92,13
322,19 ; 249,98 ;   6,471401 ;   76,22
324,19 ; 249,98 ;   5,368796 ;   63,15
326,19 ; 250,02 ;   6,304423 ;   74,24
328,19 ; 249,98 ;   5,610933 ;   66,34
330,20 ; 249,98 ;   6,884724 ;   81,64
332,20 ; 249,99 ;   6,294719 ;   74,25
334,20 ; 249,86 ;   6,043524 ;   71,62
336,20 ; 250,06 ;   8,159289 ;   96,48
338,20 ; 250,00 ;   3,495171 ;   41,31
340,20 ; 249,91 ;   7,058224 ;   83,87
342,20 ; 249,95 ;   7,572353 ;   89,82
344,20 ; 249,88 ;   5,784878 ;   68,46
346,21 ; 249,98 ;   7,223531 ;   85,16
348,21 ; 249,95 ;   5,030768 ;   59,52
350,21 ; 249,95 ;   6,720063 ;   79,58
352,21 ; 249,98 ;   6,295378 ;   74,66
354,21 ; 249,88 ;   5,872573 ;   69,40
356,21 ; 249,91 ;   7,659294 ;   90,14
358,21 ; 249,95 ;   5,958736 ;   70,10
360,21 ; 249,99 ;   5,870933 ;   69,78
362,22 ; 249,97 ;   5,620775 ;   66,81
364,22 ; 249,97 ;   6,645812 ;   78,16
366,22 ; 250,06 ;   6,296886 ;   74,47
368,22 ; 249,91 ;   4,941354 ;   58,66
370,22 ; 249,95 ;   8,334161 ;   98,47
372,22 ; 249,97 ;   5,783169 ;   68,49
374,22 ; 250,02 ;   6,133286 ;   72,02
376,22 ; 249,89 ;   5,619854 ;   66,58
378,22 ; 249,95 ;   8,080230 ;   95,05
380,23 ; 250,08 ;   5,448154 ;   64,81
382,23 ; 249,99 ;   4,510297 ;   53,60
384,23 ; 249,99 ;   7,398970 ;   87,80
386,23 ; 249,98 ;   6,296361 ;   74,24
388,23 ; 250,05 ;   6,462143 ;   76,88
390,23 ; 249,99 ;   5,271996 ;   62,56
392,23 ; 249,95 ;   6,983986 ;   82,86
394,23 ; 249,97 ;   6,971476 ;   82,15
396,24 ; 250,05 ;   5,951041 ;   70,81
398,24 ; 249,95 ;   5,186013 ;   61,35
400,24 ; 249,98 ;   7,659532 ;   90,78
402,24 ; 250,04 ;   5,872981 ;   69,50
404,24 ; 249,98 ;   5,359756 ;   63,89
406,24 ; 250,02 ;   7,146464 ;   84,28
408,24 ; 250,04 ;   5,616848 ;   66,53
410,24 ; 249,97 ;   6,047836 ;   71,28
412,24 ; 249,99 ;   7,233094 ;   85,60
414,25 ; 250,02 ;   5,957364 ;   70,56
416,25 ; 250,02 ;   5,957778 ;   70,30
418,25 ; 250,06 ;   6,208142 ;   74,00
420,25 ; 250,02 ;   5,621944 ;   66,10
422,25 ; 250,06 ;   6,894723 ;   81,38
424,25 ; 249,99 ;   5,620710 ;   66,08
426,25 ; 249,91 ;   7,224021 ;   85,31
428,25 ; 249,99 ;   7,484810 ;   88,72
430,26 ; 250,00 ;   5,110220 ;   60,69
432,26 ; 249,95 ;   6,133418 ;   72,93
434,26 ; 250,02 ;   7,060299 ;   83,38
436,26 ; 249,95 ;   5,281103 ;   62,91
438,26 ; 249,95 ;   7,147118 ;   84,53
440,26 ; 250,02 ;   6,297001 ;   74,68
442,26 ; 249,93 ;   5,448338 ;   64,15
444,26 ; 249,93 ;   7,485009 ;   88,50
446,27 ; 249,95 ;   6,296102 ;   74,95
448,27 ; 250,00 ;   6,121070 ;   72,33
450,27 ; 249,88 ;   5,533829 ;   65,58
452,27 ; 250,05 ;   7,909007 ;   93,97
454,27 ; 249,97 ;   4,008689 ;   47,85
456,27 ; 249,97 ;   7,310525 ;   86,89
458,27 ; 250,02 ;   6,296608 ;   74,57
460,27 ; 250,00 ;   5,620146 ;   66,67
462,27 ; 250,02 ;   6,470084 ;   76,70
464,28 ; 250,05 ;   6,043867 ;   71,59
466,28 ; 250,04 ;   5,783488 ;   68,79
468,28 ; 249,99 ;   6,382286 ;   75,03
470,28 ; 250,02 ;   6,896027 ;   81,69
472,28 ; 249,95 ;   5,959504 ;   70,35
474,28 ; 250,02 ;   7,146951 ;   84,58
476,28 ; 249,98 ;   5,274930 ;   62,87
478,28 ; 249,97 ;   6,887958 ;   81,87
480,29 ; 249,93 ;   6,374666 ;   75,79
482,29 ; 249,95 ;   6,897903 ;   81,15
484,29 ; 249,98 ;   6,123069 ;   72,36
486,29 ; 250,02 ;   5,873713 ;   69,57
488,29 ; 249,98 ;   5,707753 ;   67,92
490,29 ; 249,93 ;   6,809430 ;   80,66
492,29 ; 249,91 ;   6,972439 ;   82,41
494,29 ; 250,05 ;   6,558854 ;   77,66
496,30 ; 250,08 ;   4,433907 ;   52,82
498,30 ; 249,97 ;   5,795660 ;   68,49
500,30 ; 249,99 ;   7,736941 ;   91,85
502,30 ; 249,98 ;   5,958636 ;   70,65
504,30 ; 249,98 ;   6,462769 ;   76,98
506,30 ; 250,05 ;   6,296284 ;   74,52
508,30 ; 250,08 ;   5,280227 ;   62,67
510,30 ; 250,02 ;   5,795850 ;   68,48
512,31 ; 250,02 ;   6,972732 ;   82,62
514,31 ; 250,00 ;   6,211776 ;   73,99
516,31 ; 250,02 ;   6,549571 ;   77,94
518,31 ; 250,02 ;   6,046214 ;   71,61
520,31 ; 250,06 ;   6,297374 ;   74,07
522,31 ; 250,00 ;   5,620701 ;   66,16
524,31 ; 250,04 ;   7,147169 ;   84,09
526,31 ; 249,91 ;   5,698422 ;   67,64
528,31 ; 249,98 ;   8,171087 ;   96,19
530,32 ; 250,00 ;   5,362208 ;   63,40
532,32 ; 249,99 ;   5,960105 ;   70,54
534,32 ; 249,89 ;   6,384129 ;   75,56
536,32 ; 249,95 ;   7,737765 ;   91,44
538,32 ; 249,98 ;   5,610873 ;   66,23
540,32 ; 249,95 ;   5,873326 ;   69,59
