Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:  10.70 I: 140.00 D:  32.00 Tensão:4.793 V Temperatura ambiente:     24.61 ºC
2,00 ; 249,82 ;   6,368497 ;   75,08
4,00 ; 249,88 ;   6,543399 ;   77,95
6,00 ; 249,80 ;   5,357060 ;   63,93
8,00 ; 249,75 ;   7,641777 ;   90,29
10,01 ; 249,78 ;   7,130935 ;   84,13
12,01 ; 249,86 ;   5,954755 ;   70,47
14,01 ; 249,87 ;   5,181979 ;   61,63
16,01 ; 249,86 ;   6,204638 ;   73,60
18,01 ; 249,86 ;   6,456068 ;   76,38
20,01 ; 249,87 ;   6,379436 ;   75,06
22,01 ; 249,80 ;   6,196189 ;   73,66
24,01 ; 249,87 ;   7,305972 ;   86,39
26,02 ; 249,87 ;   5,443171 ;   64,36
28,02 ; 249,84 ;   6,378648 ;   75,07
30,02 ; 249,89 ;   6,804513 ;   80,78
32,02 ; 249,86 ;   5,528314 ;   65,50
34,02 ; 249,91 ;   6,792821 ;   80,56
36,02 ; 249,91 ;   5,607028 ;   66,71
38,02 ; 249,87 ;   6,196575 ;   73,32
40,02 ; 249,95 ;   7,056551 ;   83,20
42,03 ; 249,95 ;   5,103336 ;   60,98
44,03 ; 249,91 ;   6,294490 ;   74,36
46,03 ; 249,95 ;   6,878276 ;   81,48
48,03 ; 249,91 ;   5,695456 ;   67,70
50,03 ; 249,91 ;   6,879697 ;   81,50
52,03 ; 249,88 ;   6,203817 ;   73,41
54,03 ; 249,86 ;   6,804162 ;   80,44
56,03 ; 249,93 ;   6,714398 ;   79,38
58,03 ; 249,98 ;   5,269946 ;   62,60
60,04 ; 249,88 ;   5,614052 ;   66,11
62,04 ; 249,87 ;   7,729021 ;   91,19
64,04 ; 249,93 ;   6,627613 ;   78,01
66,04 ; 249,87 ;   5,356123 ;   63,99
68,04 ; 249,87 ;   7,306050 ;   86,07
70,04 ; 249,95 ;   6,368229 ;   75,39
72,04 ; 249,98 ;   5,190647 ;   61,19
74,04 ; 249,95 ;   5,788633 ;   68,88
76,05 ; 249,97 ;   6,707847 ;   79,92
78,05 ; 249,95 ;   5,944278 ;   70,32
80,05 ; 249,95 ;   6,542129 ;   77,18
82,05 ; 249,99 ;   6,379604 ;   75,93
84,05 ; 249,91 ;   5,605822 ;   66,07
86,05 ; 249,91 ;   7,557869 ;   89,73
88,05 ; 249,91 ;   6,204729 ;   73,62
90,05 ; 249,99 ;   6,454541 ;   76,39
92,05 ; 249,86 ;   5,017110 ;   59,43
94,06 ; 249,98 ;   8,326392 ;   98,31
96,06 ; 249,91 ;   4,593704 ;   54,29
98,06 ; 249,97 ;   7,392547 ;   87,13
100,06 ; 250,04 ;   5,356588 ;   63,74
102,06 ; 249,95 ;   5,193298 ;   61,64
104,06 ; 249,93 ;   7,562994 ;   89,30
106,06 ; 249,95 ;   6,630744 ;   78,87
108,06 ; 249,93 ;   5,945386 ;   70,61
110,07 ; 249,98 ;   6,629855 ;   78,89
112,07 ; 249,91 ;   5,606276 ;   66,36
114,07 ; 249,95 ;   7,220928 ;   85,76
116,07 ; 249,93 ;   5,868245 ;   69,39
118,07 ; 249,93 ;   6,541137 ;   77,59
120,07 ; 250,02 ;   6,289516 ;   74,93
122,07 ; 249,95 ;   5,017834 ;   59,30
124,07 ; 249,93 ;   7,225395 ;   85,38
126,08 ; 249,98 ;   6,628389 ;   78,95
128,08 ; 249,91 ;   5,615920 ;   66,42
130,08 ; 249,91 ;   7,228247 ;   85,82
132,08 ; 249,97 ;   6,369873 ;   75,14
134,08 ; 249,95 ;   5,527025 ;   65,20
136,08 ; 249,93 ;   6,550639 ;   77,41
138,08 ; 250,02 ;   6,717648 ;   79,00
140,08 ; 249,99 ;   5,016291 ;   59,37
142,08 ; 249,95 ;   6,630670 ;   78,34
144,09 ; 249,91 ;   6,880611 ;   81,43
146,09 ; 250,00 ;   7,053091 ;   83,28
148,09 ; 250,00 ;   4,931662 ;   58,22
150,09 ; 249,95 ;   6,290902 ;   74,26
152,09 ; 249,99 ;   7,138445 ;   84,21
154,09 ; 250,02 ;   5,606453 ;   66,33
156,09 ; 249,95 ;   5,781886 ;   68,67
158,09 ; 250,02 ;   7,476558 ;   88,23
160,10 ; 250,02 ;   5,102962 ;   60,66
162,10 ; 250,06 ;   6,375989 ;   75,44
164,10 ; 249,98 ;   5,528508 ;   65,57
166,10 ; 250,05 ;   7,564503 ;   89,22
168,10 ; 250,00 ;   5,191549 ;   61,73
170,10 ; 249,97 ;   6,965847 ;   82,28
172,10 ; 250,04 ;   6,717047 ;   79,94
174,10 ; 249,93 ;   5,181250 ;   61,81
176,11 ; 249,98 ;   7,904636 ;   93,74
178,11 ; 249,93 ;   5,616460 ;   66,50
180,11 ; 250,04 ;   7,054539 ;   83,05
182,11 ; 250,00 ;   4,679017 ;   55,14
184,11 ; 250,09 ;   6,802273 ;   80,96
186,11 ; 250,02 ;   4,928722 ;   58,64
188,11 ; 249,95 ;   7,140826 ;   84,70
190,11 ; 250,02 ;   7,314803 ;   86,80
192,11 ; 250,00 ;   5,355840 ;   63,40
194,12 ; 249,95 ;   6,456223 ;   76,94
196,12 ; 250,00 ;   6,965533 ;   82,79
198,12 ; 249,95 ;   5,616542 ;   66,25
200,12 ; 249,93 ;   7,131337 ;   84,22
202,12 ; 249,98 ;   6,551654 ;   77,72
204,12 ; 250,02 ;   5,615108 ;   66,52
206,12 ; 249,93 ;   5,615944 ;   66,02
208,12 ; 249,99 ;   7,728840 ;   91,10
210,13 ; 250,00 ;   5,354567 ;   63,69
212,13 ; 250,04 ;   6,118148 ;   72,97
214,13 ; 249,95 ;   5,692558 ;   67,19
216,13 ; 249,99 ;   7,648822 ;   90,92
218,13 ; 249,99 ;   5,615834 ;   66,37
220,13 ; 250,02 ;   6,292837 ;   74,39
222,13 ; 249,95 ;   5,952740 ;   70,12
224,13 ; 250,00 ;   7,225670 ;   85,50
226,13 ; 249,99 ;   5,613722 ;   66,29
228,14 ; 250,00 ;   6,377408 ;   75,73
230,14 ; 249,99 ;   6,118114 ;   72,98
232,14 ; 250,00 ;   6,377019 ;   75,73
234,14 ; 249,97 ;   6,116611 ;   72,98
236,14 ; 250,00 ;   6,717269 ;   80,00
238,14 ; 249,99 ;   5,779951 ;   68,97
240,14 ; 249,99 ;   6,379385 ;   75,74
242,14 ; 249,97 ;   6,290824 ;   74,40
244,15 ; 249,99 ;   6,627526 ;   78,67
246,15 ; 250,05 ;   5,953971 ;   70,40
248,15 ; 249,99 ;   5,442960 ;   64,47
250,15 ; 250,04 ;   7,051448 ;   83,76
252,15 ; 249,97 ;   5,529972 ;   65,88
254,15 ; 249,91 ;   7,303563 ;   86,69
256,15 ; 249,99 ;   7,314513 ;   86,03
258,15 ; 250,02 ;   5,017186 ;   59,71
260,15 ; 249,95 ;   5,779333 ;   68,73
262,16 ; 249,95 ;   7,305167 ;   86,87
264,16 ; 249,99 ;   6,290884 ;   74,85
266,16 ; 249,99 ;   5,692106 ;   67,75
268,16 ; 249,97 ;   6,290678 ;   74,43
270,16 ; 250,04 ;   6,631263 ;   78,70
272,16 ; 250,02 ;   5,181340 ;   61,90
274,16 ; 250,02 ;   6,630184 ;   78,19
276,16 ; 249,99 ;   6,292108 ;   74,18
278,17 ; 250,02 ;   6,627611 ;   78,44
280,17 ; 250,02 ;   5,789455 ;   68,74
282,17 ; 250,06 ;   6,291066 ;   74,09
284,17 ; 250,10 ;   5,607031 ;   66,97
286,17 ; 249,95 ;   5,605700 ;   66,54
288,17 ; 250,00 ;   8,579660 ;  101,64
290,17 ; 249,88 ;   5,441144 ;   64,96
292,17 ; 249,95 ;   8,080744 ;   95,63
294,18 ; 249,88 ;   5,441422 ;   64,24
296,18 ; 249,95 ;   7,306017 ;   86,32
298,18 ; 249,95 ;   5,441122 ;   64,26
300,18 ; 249,98 ;   6,204592 ;   73,55
302,18 ; 249,95 ;   5,944230 ;   70,62
304,18 ; 250,04 ;   6,637158 ;   78,90
306,18 ; 250,04 ;   5,017041 ;   59,27
308,18 ; 249,98 ;   6,213185 ;   73,96
310,18 ; 249,99 ;   7,225894 ;   85,33
312,19 ; 249,97 ;   6,041029 ;   71,79
314,19 ; 250,02 ;   6,628429 ;   78,73
316,19 ; 250,05 ;   5,441292 ;   64,77
318,19 ; 250,06 ;   5,868599 ;   69,87
320,19 ; 250,06 ;   6,041168 ;   71,03
322,19 ; 250,00 ;   6,204866 ;   73,69
324,19 ; 249,99 ;   7,226396 ;   85,05
326,19 ; 250,06 ;   6,371462 ;   75,78
328,20 ; 250,04 ;   5,180667 ;   61,65
330,20 ; 249,95 ;   6,550412 ;   77,94
332,20 ; 249,95 ;   7,566626 ;   89,55
334,20 ; 250,02 ;   6,291039 ;   74,86
336,20 ; 249,98 ;   5,277779 ;   62,07
338,20 ; 250,00 ;   6,968400 ;   82,63
340,20 ; 249,93 ;   5,951607 ;   70,35
342,20 ; 249,99 ;   7,392688 ;   87,15
344,20 ; 250,08 ;   5,355095 ;   63,76
346,21 ; 250,05 ;   4,929764 ;   58,82
348,21 ; 250,02 ;   6,715777 ;   79,19
350,21 ; 250,02 ;   6,628199 ;   78,11
352,21 ; 250,04 ;   6,293974 ;   74,09
354,21 ; 249,95 ;   6,030061 ;   71,25
356,21 ; 250,04 ;   7,644984 ;   90,97
358,21 ; 250,06 ;   4,845926 ;   57,87
360,21 ; 249,95 ;   5,865435 ;   69,65
362,22 ; 249,99 ;   7,989573 ;   94,97
364,22 ; 249,95 ;   5,616783 ;   66,40
366,22 ; 250,00 ;   6,969158 ;   82,96
368,22 ; 250,00 ;   5,442204 ;   64,99
370,22 ; 249,93 ;   6,283748 ;   74,35
372,22 ; 250,02 ;   7,392612 ;   87,14
374,22 ; 249,98 ;   4,930932 ;   58,06
376,22 ; 250,02 ;   6,978214 ;   82,63
378,22 ; 249,99 ;   5,692549 ;   67,50
380,23 ; 250,04 ;   6,627802 ;   78,45
382,23 ; 250,05 ;   5,529327 ;   65,92
384,23 ; 250,05 ;   6,119409 ;   72,51
386,23 ; 249,99 ;   6,204294 ;   73,84
388,23 ; 249,97 ;   7,051089 ;   83,78
390,23 ; 249,98 ;   6,630874 ;   78,69
392,23 ; 249,93 ;   6,205006 ;   73,26
394,23 ; 249,91 ;   7,054091 ;   83,13
396,24 ; 250,00 ;   6,541853 ;   77,96
398,24 ; 249,98 ;   5,017737 ;   59,66
400,24 ; 250,00 ;   6,627835 ;   78,63
402,24 ; 250,08 ;   5,944808 ;   70,36
404,24 ; 249,97 ;   5,103463 ;   60,17
406,24 ; 250,00 ;   7,903376 ;   93,42
408,24 ; 250,06 ;   5,866708 ;   69,02
410,24 ; 250,02 ;   5,268847 ;   63,00
412,24 ; 250,02 ;   6,965779 ;   82,21
414,25 ; 250,09 ;   6,116709 ;   72,77
416,25 ; 250,10 ;   5,277226 ;   62,73
418,25 ; 250,00 ;   5,953570 ;   70,56
420,25 ; 249,91 ;   7,738856 ;   91,69
422,25 ; 250,13 ;   7,559074 ;   89,96
424,25 ; 250,04 ;   3,067672 ;   36,89
426,25 ; 249,95 ;   7,478944 ;   88,59
428,25 ; 250,02 ;   7,652573 ;   90,95
430,26 ; 250,08 ;   5,269331 ;   62,12
432,26 ; 249,98 ;   5,269165 ;   62,78
434,26 ; 250,02 ;   7,738189 ;   91,94
436,26 ; 250,02 ;   5,700917 ;   67,46
438,26 ; 250,02 ;   6,116824 ;   72,72
440,26 ; 249,98 ;   6,379967 ;   75,47
442,26 ; 249,93 ;   6,879610 ;   81,24
444,26 ; 250,00 ;   7,054831 ;   83,09
446,27 ; 249,99 ;   5,266315 ;   62,28
448,27 ; 249,95 ;   6,379870 ;   75,74
450,27 ; 249,97 ;   6,879436 ;   81,51
452,27 ; 249,89 ;   6,041321 ;   71,99
454,27 ; 249,93 ;   7,478626 ;   88,88
456,27 ; 249,97 ;   5,781701 ;   68,43
458,27 ; 249,99 ;   5,773166 ;   68,01
460,27 ; 250,02 ;   5,945391 ;   70,43
462,27 ; 250,00 ;   5,956356 ;   70,18
464,28 ; 249,97 ;   6,542058 ;   77,03
466,28 ; 250,02 ;   6,791798 ;   80,05
468,28 ; 250,05 ;   5,607064 ;   66,17
470,28 ; 249,99 ;   5,779581 ;   68,51
472,28 ; 250,06 ;   7,054228 ;   83,79
474,28 ; 249,95 ;   5,183190 ;   61,65
476,28 ; 250,08 ;   7,902373 ;   93,57
478,28 ; 249,93 ;   4,420985 ;   52,13
480,28 ; 250,06 ;   8,492390 ;  100,52
482,29 ; 250,13 ;   4,254783 ;   50,95
484,29 ; 250,05 ;   5,270195 ;   62,29
486,29 ; 250,05 ;   7,392085 ;   87,18
488,29 ; 250,02 ;   6,196901 ;   73,81
490,29 ; 250,11 ;   6,631051 ;   78,07
492,29 ; 250,08 ;   4,928609 ;   58,41
494,29 ; 250,06 ;   6,631909 ;   78,79
496,29 ; 250,02 ;   6,455228 ;   76,27
498,30 ; 250,08 ;   6,801572 ;   80,70
500,30 ; 250,06 ;   5,442182 ;   64,05
502,30 ; 249,99 ;   6,456187 ;   76,25
504,30 ; 250,00 ;   7,307053 ;   86,36
506,30 ; 250,09 ;   6,118873 ;   72,91
508,30 ; 250,04 ;   4,930022 ;   58,61
510,30 ; 250,02 ;   6,888141 ;   81,83
512,30 ; 250,00 ;   6,631305 ;   78,06
514,30 ; 249,97 ;   6,457495 ;   76,90
516,31 ; 250,00 ;   6,706263 ;   79,91
518,31 ; 249,95 ;   5,779232 ;   68,88
520,31 ; 249,93 ;   6,968829 ;   82,75
522,31 ; 249,99 ;   6,717725 ;   79,01
524,31 ; 250,02 ;   5,363881 ;   63,64
526,31 ; 249,98 ;   5,953402 ;   70,07
528,31 ; 250,00 ;   6,892029 ;   81,18
530,31 ; 249,95 ;   5,953135 ;   70,24
532,32 ; 250,00 ;   7,139536 ;   84,20
534,32 ; 249,99 ;   5,441708 ;   64,90
536,32 ; 249,97 ;   6,379704 ;   75,68
538,32 ; 250,02 ;   6,627799 ;   78,61
540,32 ; 249,99 ;   5,449128 ;   64,65
542,32 ; 250,05 ;   6,717597 ;   79,69
544,32 ; 249,91 ;   5,442918 ;   64,39
546,32 ; 250,09 ;   8,238885 ;   97,91
548,32 ; 250,02 ;   3,666568 ;   43,92
550,33 ; 250,02 ;   7,311259 ;   86,11
552,33 ; 249,99 ;   6,116482 ;   72,66
554,33 ; 250,06 ;   6,716689 ;   79,68
556,33 ; 249,95 ;   5,192821 ;   61,54
558,33 ; 249,99 ;   7,901712 ;   93,46
560,33 ; 250,05 ;   5,703222 ;   67,65
562,33 ; 250,05 ;   5,442699 ;   64,37
564,33 ; 250,02 ;   6,204334 ;   73,73
566,34 ; 250,02 ;   6,714725 ;   79,41
568,34 ; 250,06 ;   6,291723 ;   74,06
570,34 ; 249,95 ;   5,530172 ;   65,53
572,34 ; 250,08 ;   7,988706 ;   94,86
574,34 ; 249,91 ;   4,253702 ;   50,66
576,34 ; 249,99 ;   8,753936 ;  103,22
578,34 ; 249,89 ;   5,096125 ;   60,94
580,34 ; 249,95 ;   7,818196 ;   92,79
582,35 ; 249,97 ;   5,441328 ;   64,06
584,35 ; 249,99 ;   6,041027 ;   71,92
586,35 ; 249,93 ;   5,952888 ;   70,33
588,35 ; 249,95 ;   7,225161 ;   85,72
590,35 ; 249,99 ;   5,952978 ;   70,77
592,35 ; 250,05 ;   5,702336 ;   67,68
594,35 ; 249,99 ;   5,442424 ;   64,42
596,35 ; 250,04 ;   7,052850 ;   83,72
598,35 ; 249,99 ;   5,528229 ;   65,83
600,36 ; 250,00 ;   6,965591 ;   82,37
602,36 ; 250,05 ;   6,116927 ;   72,93
604,36 ; 250,09 ;   5,530363 ;   65,74
606,36 ; 250,11 ;   5,617100 ;   66,64
608,36 ; 249,99 ;   5,864996 ;   69,05
610,36 ; 249,95 ;   7,992136 ;   94,36
612,36 ; 249,97 ;   6,890767 ;   81,42
614,36 ; 250,00 ;   6,043710 ;   71,90
616,36 ; 250,02 ;   5,779412 ;   68,90
618,37 ; 250,10 ;   5,868389 ;   69,98
620,37 ; 249,86 ;   5,017953 ;   59,77
622,37 ; 248,63 ;   9,941440 ;  117,19
624,37 ; 246,64 ;   10,504337 ;  125,00
626,37 ; 244,47 ;   10,524420 ;  125,00
628,37 ; 242,16 ;   10,525441 ;  125,00
