Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:  10.70 I: 118.00 D:  29.50 Tensão:4.793 V Temperatura ambiente:     24.58 ºC
2,00 ; 249,91 ;   7,166324 ;   85,89
4,00 ; 249,91 ;   6,416367 ;   76,04
6,00 ; 249,93 ;   6,245973 ;   74,74
8,00 ; 249,95 ;   6,156814 ;   73,35
10,01 ; 249,98 ;   6,161426 ;   73,20
12,01 ; 250,04 ;   5,907727 ;   70,40
14,01 ; 250,00 ;   5,401340 ;   64,80
16,01 ; 250,02 ;   6,827384 ;   81,24
18,01 ; 250,00 ;   6,064899 ;   72,44
20,01 ; 249,93 ;   6,493644 ;   77,54
22,01 ; 250,02 ;   7,250999 ;   86,93
24,01 ; 250,06 ;   5,153820 ;   61,36
26,01 ; 250,00 ;   5,652884 ;   67,01
28,02 ; 249,93 ;   7,078558 ;   84,93
30,02 ; 250,04 ;   7,259890 ;   86,92
32,02 ; 249,97 ;   4,811064 ;   57,40
34,02 ; 249,98 ;   7,251715 ;   86,51
36,02 ; 249,95 ;   6,244104 ;   74,10
38,02 ; 249,89 ;   6,743891 ;   80,61
40,02 ; 250,00 ;   7,090791 ;   84,91
42,02 ; 249,99 ;   4,808579 ;   57,85
44,03 ; 249,97 ;   6,409132 ;   76,43
46,03 ; 249,99 ;   6,669536 ;   79,15
48,03 ; 249,99 ;   5,986447 ;   71,51
50,03 ; 249,93 ;   6,332810 ;   75,21
52,03 ; 249,91 ;   7,176665 ;   85,75
54,03 ; 249,98 ;   6,573052 ;   78,54
56,03 ; 249,97 ;   5,480393 ;   65,55
58,03 ; 250,08 ;   6,410353 ;   76,73
60,04 ; 249,99 ;   4,807734 ;   57,07
62,04 ; 249,98 ;   7,426806 ;   88,80
64,04 ; 249,95 ;   6,502958 ;   77,87
66,04 ; 249,99 ;   6,667986 ;   79,36
68,04 ; 249,99 ;   5,824578 ;   69,09
70,04 ; 249,97 ;   6,323911 ;   75,25
72,04 ; 250,11 ;   6,668071 ;   79,20
74,04 ; 250,05 ;   4,311453 ;   51,80
76,04 ; 249,95 ;   7,090439 ;   84,50
78,05 ; 249,98 ;   7,588350 ;   90,44
80,05 ; 249,95 ;   5,997938 ;   71,71
82,05 ; 250,02 ;   6,743581 ;   80,68
84,05 ; 250,05 ;   5,316171 ;   63,90
86,05 ; 250,08 ;   5,826022 ;   69,73
88,05 ; 249,93 ;   5,823496 ;   69,37
90,05 ; 250,00 ;   8,342984 ;   99,31
92,05 ; 250,04 ;   5,403613 ;   64,06
94,05 ; 249,97 ;   5,738452 ;   68,57
96,06 ; 250,00 ;   7,252779 ;   86,57
98,06 ; 249,95 ;   5,901589 ;   70,22
100,06 ; 249,98 ;   7,004237 ;   83,05
102,06 ; 249,88 ;   5,988437 ;   71,72
104,06 ; 250,02 ;   7,675510 ;   91,24
106,06 ; 250,00 ;   4,558615 ;   54,07
108,06 ; 250,02 ;   6,498105 ;   77,65
110,06 ; 249,95 ;   6,074882 ;   72,55
112,07 ; 249,98 ;   7,168880 ;   85,55
114,07 ; 250,00 ;   5,989054 ;   71,75
116,07 ; 250,02 ;   5,988351 ;   71,50
118,07 ; 250,00 ;   6,073855 ;   72,56
120,07 ; 249,99 ;   6,495272 ;   77,66
122,07 ; 250,04 ;   6,410868 ;   76,51
124,07 ; 250,05 ;   5,653779 ;   67,37
126,07 ; 250,00 ;   6,158946 ;   73,44
128,08 ; 250,02 ;   6,918871 ;   82,57
130,08 ; 250,00 ;   6,075338 ;   72,54
132,08 ; 250,05 ;   6,497510 ;   77,64
134,08 ; 250,11 ;   5,652434 ;   67,27
136,08 ; 250,08 ;   5,396482 ;   64,12
138,08 ; 250,13 ;   6,660245 ;   79,22
140,08 ; 250,08 ;   5,567741 ;   66,38
142,08 ; 250,10 ;   6,833090 ;   81,65
144,08 ; 250,09 ;   5,903826 ;   70,29
146,09 ; 250,06 ;   6,419506 ;   76,60
148,09 ; 250,00 ;   6,585463 ;   78,08
150,09 ; 250,06 ;   7,094258 ;   84,91
152,09 ; 250,00 ;   5,396198 ;   64,51
154,09 ; 250,04 ;   7,089995 ;   84,90
156,09 ; 250,00 ;   5,731770 ;   68,45
158,09 ; 250,00 ;   6,832215 ;   81,19
160,09 ; 250,05 ;   6,326945 ;   75,03
162,09 ; 250,02 ;   5,655352 ;   67,13
164,10 ; 250,04 ;   6,660928 ;   79,78
166,10 ; 249,99 ;   5,907052 ;   70,89
168,10 ; 250,04 ;   6,917374 ;   82,49
170,10 ; 249,95 ;   5,662523 ;   67,20
172,10 ; 250,02 ;   7,505507 ;   89,07
174,10 ; 250,00 ;   5,318513 ;   63,67
176,10 ; 249,98 ;   6,586384 ;   78,71
178,10 ; 249,91 ;   6,576327 ;   78,96
180,11 ; 250,00 ;   7,340665 ;   87,13
182,11 ; 250,04 ;   5,058630 ;   60,24
184,11 ; 249,99 ;   5,741616 ;   68,45
186,11 ; 249,98 ;   6,919075 ;   82,51
188,11 ; 250,02 ;   6,496790 ;   77,75
190,11 ; 250,00 ;   5,655821 ;   67,38
192,11 ; 250,00 ;   6,582612 ;   78,72
194,11 ; 249,98 ;   6,334978 ;   75,03
196,11 ; 249,93 ;   6,584830 ;   78,98
198,12 ; 249,99 ;   7,006538 ;   83,19
200,12 ; 249,95 ;   5,488519 ;   65,27
202,12 ; 249,95 ;   6,834359 ;   81,71
204,12 ; 250,04 ;   6,326781 ;   75,56
206,12 ; 250,04 ;   5,145350 ;   61,07
208,12 ; 250,00 ;   6,251239 ;   74,63
210,12 ; 250,02 ;   6,836343 ;   81,21
212,12 ; 250,02 ;   6,076501 ;   72,41
214,13 ; 250,02 ;   6,163603 ;   73,56
216,13 ; 250,05 ;   6,246547 ;   74,78
218,13 ; 250,02 ;   5,915439 ;   70,83
220,13 ; 249,97 ;   6,583775 ;   78,47
222,13 ; 250,11 ;   7,009593 ;   83,99
224,13 ; 250,06 ;   4,310008 ;   51,64
226,13 ; 250,09 ;   6,835241 ;   81,72
228,13 ; 250,04 ;   5,902583 ;   70,37
230,13 ; 250,09 ;   6,844139 ;   81,95
232,14 ; 250,05 ;   5,567209 ;   66,64
234,14 ; 250,02 ;   6,747398 ;   80,61
236,14 ; 250,11 ;   6,661308 ;   79,71
238,14 ; 250,09 ;   4,898181 ;   58,97
240,14 ; 249,98 ;   6,497490 ;   77,69
242,14 ; 250,06 ;   7,764704 ;   92,41
244,14 ; 250,02 ;   5,068544 ;   60,68
246,14 ; 249,97 ;   6,916892 ;   82,13
248,14 ; 250,05 ;   6,921052 ;   82,64
250,15 ; 249,89 ;   5,242121 ;   62,07
252,15 ; 249,98 ;   8,438422 ;  100,74
254,15 ; 250,00 ;   5,146028 ;   61,62
256,15 ; 249,98 ;   6,000588 ;   71,23
258,15 ; 249,98 ;   6,584455 ;   78,88
260,15 ; 249,97 ;   6,333228 ;   75,18
262,15 ; 250,04 ;   6,420958 ;   76,50
264,15 ; 250,02 ;   5,321700 ;   63,42
266,16 ; 249,97 ;   6,583023 ;   78,46
268,16 ; 249,95 ;   6,929016 ;   82,67
270,16 ; 249,93 ;   6,497235 ;   77,91
272,16 ; 250,02 ;   6,671009 ;   79,40
274,16 ; 249,99 ;   4,982543 ;   59,91
276,16 ; 250,04 ;   6,672288 ;   79,97
278,16 ; 250,05 ;   5,656521 ;   67,14
280,16 ; 249,93 ;   6,162588 ;   73,20
282,16 ; 250,08 ;   7,939762 ;   94,19
284,17 ; 250,00 ;   4,225109 ;   50,68
286,17 ; 250,08 ;   7,345172 ;   87,26
288,17 ; 250,02 ;   5,153304 ;   61,75
290,17 ; 250,10 ;   7,006133 ;   83,29
292,17 ; 250,02 ;   5,157287 ;   61,49
294,17 ; 250,04 ;   7,255616 ;   86,97
296,17 ; 250,10 ;   6,078382 ;   72,00
298,17 ; 250,04 ;   5,319777 ;   63,93
300,17 ; 250,02 ;   7,094938 ;   84,30
302,18 ; 250,09 ;   6,583510 ;   78,39
304,18 ; 250,15 ;   5,241827 ;   62,84
306,18 ; 250,02 ;   5,326791 ;   63,37
308,18 ; 250,02 ;   7,935549 ;   94,29
310,18 ; 249,99 ;   6,336620 ;   75,87
312,18 ; 250,02 ;   6,586285 ;   78,59
314,18 ; 249,98 ;   5,904665 ;   70,94
