Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   3.00 I: 118.00 D:  29.50 Tensão:9.465 V Temperatura ambiente:     23.50ºC
2,00 ; 299,97 ;   8,773323 ;   25,65
4,00 ; 299,98 ;   7,383678 ;   21,78
6,00 ; 300,04 ;   7,744734 ;   22,08
8,00 ; 300,01 ;   7,027257 ;   20,18
10,01 ; 299,99 ;   8,420220 ;   24,08
12,01 ; 299,99 ;   8,096488 ;   23,43
14,01 ; 300,01 ;   7,696477 ;   22,74
16,01 ; 299,92 ;   7,742796 ;   22,01
18,01 ; 299,96 ;   9,128008 ;   26,76
20,01 ; 299,97 ;   7,382968 ;   21,12
22,01 ; 299,94 ;   7,743846 ;   22,48
24,01 ; 299,98 ;   8,454573 ;   24,30
26,02 ; 300,03 ;   7,024599 ;   20,71
28,02 ; 299,96 ;   7,027843 ;   20,56
30,02 ; 300,06 ;   8,776202 ;   25,96
32,02 ; 300,04 ;   6,308803 ;   18,05
34,02 ; 300,01 ;   8,059080 ;   23,65
36,02 ; 300,04 ;   8,416965 ;   24,09
38,02 ; 300,03 ;   7,375808 ;   21,23
40,02 ; 300,05 ;   7,706209 ;   22,97
42,02 ; 300,10 ;   7,386037 ;   21,52
44,03 ; 300,05 ;   7,026554 ;   20,34
46,03 ; 300,01 ;   8,415040 ;   24,62
48,03 ; 300,05 ;   8,419326 ;   24,76
50,03 ; 300,03 ;   7,027993 ;   20,47
52,03 ; 300,08 ;   8,062070 ;   23,65
54,03 ; 300,09 ;   7,023874 ;   20,40
56,03 ; 300,02 ;   7,702870 ;   22,10
58,03 ; 299,99 ;   8,777663 ;   25,76
60,04 ; 300,06 ;   8,059241 ;   23,76
62,04 ; 299,97 ;   6,664946 ;   19,40
64,04 ; 300,01 ;   9,131456 ;   26,94
66,04 ; 300,02 ;   7,026277 ;   20,95
68,04 ; 300,01 ;   7,696460 ;   22,30
70,04 ; 299,98 ;   8,099733 ;   23,02
72,04 ; 300,03 ;   8,059748 ;   23,78
74,04 ; 299,91 ;   7,027671 ;   20,53
76,04 ; 299,95 ;   9,805894 ;   28,14
78,05 ; 299,98 ;   7,386223 ;   21,48
80,05 ; 299,98 ;   7,384614 ;   21,02
82,05 ; 300,03 ;   7,701610 ;   22,75
84,05 ; 300,01 ;   7,025698 ;   20,53
86,05 ; 300,05 ;   8,101804 ;   23,71
88,05 ; 299,96 ;   7,023783 ;   20,46
90,05 ; 300,02 ;   9,093425 ;   26,96
92,05 ; 300,06 ;   7,027446 ;   20,23
94,06 ; 300,04 ;   7,027107 ;   20,44
96,06 ; 300,03 ;   8,056605 ;   23,61
98,06 ; 300,01 ;   7,742424 ;   22,94
100,06 ; 299,98 ;   8,060060 ;   23,71
102,06 ; 299,97 ;   8,062019 ;   23,78
104,06 ; 300,04 ;   8,054980 ;   23,48
106,06 ; 299,98 ;   6,671536 ;   19,47
108,06 ; 300,03 ;   8,772505 ;   25,16
110,07 ; 299,91 ;   7,024916 ;   20,53
112,07 ; 299,98 ;   9,844130 ;   28,14
114,07 ; 299,97 ;   6,667817 ;   19,63
116,07 ; 299,99 ;   8,095495 ;   23,48
118,07 ; 299,99 ;   7,387622 ;   21,69
120,07 ; 299,97 ;   7,733689 ;   22,72
122,07 ; 300,04 ;   8,098983 ;   23,83
124,07 ; 300,09 ;   6,707459 ;   19,47
126,07 ; 300,05 ;   7,026155 ;   20,36
128,08 ; 299,95 ;   8,056581 ;   23,91
130,08 ; 299,92 ;   9,491774 ;   27,69
132,08 ; 300,01 ;   8,058459 ;   23,97
134,08 ; 299,98 ;   6,353016 ;   18,87
136,08 ; 300,03 ;   8,060572 ;   23,78
138,08 ; 299,95 ;   7,028050 ;   20,53
