Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   3.00 I: 118.00 D:  29.50 Tensão:9.482 V Temperatura ambiente:     23.61ºC
2,00 ; 299,97 ;   7,759538 ;   22,61
4,00 ; 299,99 ;   8,786182 ;   25,93
6,00 ; 299,98 ;   7,399841 ;   21,72
8,00 ; 299,97 ;   8,072073 ;   23,12
10,01 ; 299,97 ;   8,107441 ;   23,52
12,01 ; 300,01 ;   7,753121 ;   22,83
14,01 ; 299,98 ;   7,040552 ;   20,98
16,01 ; 300,04 ;   8,070233 ;   23,82
18,01 ; 300,05 ;   7,038629 ;   20,20
20,01 ; 299,96 ;   7,398915 ;   21,87
22,01 ; 300,06 ;   9,142665 ;   26,99
24,01 ; 300,05 ;   6,356383 ;   18,05
26,02 ; 299,97 ;   7,714664 ;   22,91
28,02 ; 300,08 ;   9,145230 ;   26,62
30,02 ; 300,04 ;   5,997169 ;   17,65
32,02 ; 300,01 ;   8,430960 ;   24,33
34,02 ; 299,99 ;   8,432268 ;   24,08
36,02 ; 300,01 ;   8,076822 ;   23,43
38,02 ; 300,02 ;   7,714046 ;   22,01
40,02 ; 299,96 ;   7,752357 ;   22,33
42,02 ; 300,04 ;   8,782949 ;   25,26
44,03 ; 299,96 ;   6,682877 ;   19,15
46,03 ; 299,99 ;   9,111655 ;   26,29
48,03 ; 300,01 ;   7,389445 ;   21,36
50,03 ; 299,97 ;   7,757227 ;   22,01
52,03 ; 300,02 ;   8,430963 ;   24,54
54,03 ; 300,02 ;   7,036183 ;   20,60
56,03 ; 299,98 ;   7,748943 ;   22,67
58,03 ; 300,03 ;   8,434934 ;   24,15
60,04 ; 300,01 ;   7,038234 ;   20,55
62,04 ; 300,02 ;   8,109913 ;   23,73
64,04 ; 300,05 ;   7,757442 ;   22,33
66,04 ; 300,12 ;   7,038646 ;   20,82
68,04 ; 299,98 ;   6,677714 ;   19,60
70,04 ; 300,04 ;   9,864063 ;   28,63
72,04 ; 299,98 ;   7,042204 ;   20,17
74,04 ; 300,03 ;   8,789184 ;   25,17
76,04 ; 300,02 ;   7,040405 ;   20,54
78,05 ; 300,03 ;   8,078036 ;   23,35
80,05 ; 300,05 ;   7,391539 ;   21,92
82,05 ; 299,99 ;   7,354926 ;   21,50
84,05 ; 300,01 ;   8,790188 ;   25,49
86,05 ; 299,99 ;   7,394985 ;   21,99
88,05 ; 300,03 ;   8,072106 ;   23,42
90,05 ; 299,99 ;   7,039702 ;   20,88
92,05 ; 300,03 ;   8,433420 ;   24,45
94,06 ; 300,01 ;   7,037421 ;   20,88
96,06 ; 299,99 ;   8,073123 ;   23,71
98,06 ; 299,98 ;   8,069481 ;   23,41
100,06 ; 300,04 ;   8,075600 ;   23,09
102,06 ; 300,01 ;   7,038440 ;   20,16
104,06 ; 299,97 ;   8,469381 ;   24,06
106,06 ; 300,04 ;   8,432077 ;   24,52
108,06 ; 299,97 ;   6,684577 ;   19,47
110,06 ; 299,99 ;   8,789172 ;   25,90
112,07 ; 299,95 ;   7,393967 ;   21,69
114,07 ; 299,97 ;   8,427840 ;   24,94
116,07 ; 299,95 ;   7,361748 ;   21,76
118,07 ; 300,02 ;   8,109472 ;   23,91
120,07 ; 300,04 ;   6,715577 ;   19,55
122,07 ; 300,06 ;   7,358845 ;   21,55
124,07 ; 300,08 ;   7,396499 ;   21,48
126,07 ; 299,99 ;   7,393713 ;   21,77
128,08 ; 299,98 ;   9,146176 ;   26,52
130,08 ; 299,92 ;   8,070176 ;   23,09
132,08 ; 299,95 ;   8,788455 ;   25,70
134,08 ; 300,01 ;   7,362760 ;   21,83
136,08 ; 299,97 ;   6,717241 ;   19,92
138,08 ; 299,96 ;   8,432940 ;   24,53
140,08 ; 299,97 ;   8,070961 ;   23,17
142,08 ; 299,95 ;   7,751144 ;   22,46
144,08 ; 299,99 ;   8,112441 ;   23,91
146,09 ; 300,03 ;   7,037993 ;   20,66
148,09 ; 299,94 ;   7,036843 ;   20,89
150,09 ; 300,03 ;   9,461498 ;   27,05
152,09 ; 299,92 ;   6,323956 ;   18,47
154,09 ; 300,03 ;   9,505383 ;   27,79
156,09 ; 299,99 ;   6,007094 ;   17,78
158,09 ; 300,02 ;   8,433927 ;   24,47
160,09 ; 300,03 ;   7,396634 ;   21,63
162,10 ; 300,02 ;   7,390083 ;   21,93
164,10 ; 300,01 ;   8,077608 ;   23,36
166,10 ; 300,01 ;   8,076305 ;   23,03
168,10 ; 300,03 ;   7,713607 ;   22,69
170,10 ; 299,94 ;   7,396914 ;   21,58
172,10 ; 299,95 ;   9,502215 ;   27,05
174,10 ; 299,96 ;   7,755260 ;   22,53
176,10 ; 299,91 ;   7,722593 ;   22,14
178,11 ; 299,96 ;   8,788950 ;   25,05
180,11 ; 299,99 ;   7,040297 ;   20,77
182,11 ; 300,06 ;   7,354788 ;   21,37
184,11 ; 299,99 ;   6,715184 ;   19,42
186,11 ; 300,01 ;   8,785566 ;   25,86
188,11 ; 300,04 ;   7,753944 ;   22,01
190,11 ; 300,01 ;   7,390044 ;   21,22
192,11 ; 300,01 ;   8,434687 ;   24,08
194,11 ; 300,03 ;   7,718906 ;   22,70
196,12 ; 300,10 ;   7,397952 ;   21,59
198,12 ; 300,06 ;   6,677723 ;   19,30
200,12 ; 300,03 ;   8,431517 ;   24,25
202,12 ; 300,06 ;   8,109373 ;   24,00
204,12 ; 300,12 ;   7,399061 ;   21,13
206,12 ; 299,95 ;   6,680831 ;   19,93
208,12 ; 300,01 ;   10,538509 ;   30,47
210,12 ; 299,97 ;   6,678166 ;   19,91
212,13 ; 300,02 ;   8,432936 ;   24,52
214,13 ; 299,96 ;   7,037442 ;   20,58
216,13 ; 299,92 ;   8,789578 ;   25,24
218,13 ; 300,06 ;   8,428074 ;   24,67
220,13 ; 299,98 ;   5,639807 ;   16,30
222,13 ; 299,99 ;   9,138764 ;   26,21
224,13 ; 299,97 ;   7,751652 ;   22,38
226,13 ; 299,92 ;   8,071458 ;   23,84
228,13 ; 299,98 ;   8,783478 ;   25,02
230,14 ; 300,01 ;   6,680911 ;   19,99
232,14 ; 299,96 ;   7,393775 ;   21,65
234,14 ; 300,01 ;   8,429815 ;   24,90
236,14 ; 300,03 ;   7,041556 ;   20,62
238,14 ; 300,08 ;   7,394947 ;   21,58
240,14 ; 300,04 ;   7,038831 ;   20,40
242,14 ; 300,10 ;   8,430863 ;   24,32
244,14 ; 300,08 ;   6,683105 ;   19,63
246,14 ; 300,01 ;   8,071190 ;   23,50
248,15 ; 299,98 ;   8,788327 ;   25,78
250,15 ; 299,92 ;   8,075398 ;   23,78
252,15 ; 300,05 ;   8,780016 ;   25,70
254,15 ; 299,96 ;   5,641024 ;   16,66
256,15 ; 299,95 ;   9,138228 ;   26,96
258,15 ; 299,97 ;   8,108679 ;   23,56
260,15 ; 300,10 ;   7,359684 ;   21,76
262,15 ; 299,99 ;   5,647769 ;   16,52
264,16 ; 299,99 ;   9,500753 ;   27,56
266,16 ; 299,98 ;   7,711722 ;   22,72
268,16 ; 300,03 ;   8,109167 ;   23,09
270,16 ; 300,06 ;   7,036145 ;   20,53
272,16 ; 299,98 ;   7,394818 ;   21,13
274,16 ; 299,95 ;   9,147393 ;   26,20
276,16 ; 299,99 ;   8,467778 ;   24,59
278,16 ; 300,02 ;   7,036953 ;   20,65
280,17 ; 300,01 ;   7,388351 ;   21,62
282,17 ; 299,96 ;   8,076812 ;   23,02
284,17 ; 299,90 ;   8,432512 ;   24,89
286,17 ; 299,96 ;   8,785637 ;   25,78
288,17 ; 299,99 ;   7,038364 ;   20,06
290,17 ; 299,96 ;   7,396672 ;   21,35
292,17 ; 299,98 ;   8,432077 ;   24,21
294,17 ; 299,92 ;   7,392015 ;   21,72
296,17 ; 299,98 ;   8,784588 ;   25,71
298,18 ; 299,98 ;   6,679583 ;   20,00
300,18 ; 300,01 ;   7,753800 ;   22,76
302,18 ; 300,01 ;   7,391867 ;   21,66
304,18 ; 300,05 ;   7,713396 ;   22,69
306,18 ; 300,04 ;   7,035051 ;   20,48
308,18 ; 300,03 ;   8,107002 ;   23,29
310,18 ; 300,01 ;   7,753278 ;   22,96
312,18 ; 299,94 ;   8,074514 ;   23,72
314,19 ; 300,03 ;   9,144180 ;   26,01
316,19 ; 299,98 ;   6,363610 ;   18,47
318,19 ; 299,97 ;   8,425590 ;   24,83
320,19 ; 299,96 ;   8,071065 ;   23,50
