Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:   3.00 I: 118.00 D:  29.50 Tensão:9.504 V Temperatura ambiente:     23.70ºC
2,00 ; 300,12 ;   8,124356 ;   23,37
4,00 ; 300,12 ;   8,126518 ;   23,74
6,00 ; 300,06 ;   8,096527 ;   23,39
8,01 ; 300,03 ;   8,806237 ;   25,96
10,01 ; 300,08 ;   8,808515 ;   25,02
12,01 ; 300,08 ;   7,409231 ;   21,42
14,01 ; 300,03 ;   8,093710 ;   23,49
16,01 ; 300,08 ;   8,810260 ;   25,70
18,01 ; 300,06 ;   7,412789 ;   21,41
20,01 ; 300,01 ;   8,451626 ;   24,22
22,01 ; 300,12 ;   9,163627 ;   26,11
24,01 ; 300,05 ;   6,380611 ;   18,52
26,02 ; 300,08 ;   9,164196 ;   26,31
28,02 ; 300,12 ;   7,772090 ;   22,43
30,02 ; 300,09 ;   7,372998 ;   21,62
32,02 ; 300,08 ;   8,455754 ;   24,82
34,02 ; 300,05 ;   8,125909 ;   23,80
36,02 ; 300,08 ;   8,486766 ;   24,56
38,02 ; 300,08 ;   7,780950 ;   22,41
40,02 ; 300,09 ;   8,095720 ;   23,44
42,02 ; 300,13 ;   8,092224 ;   23,07
44,03 ; 300,06 ;   7,415234 ;   21,56
46,03 ; 300,02 ;   9,161979 ;   26,24
48,03 ; 300,13 ;   8,810965 ;   25,69
50,03 ; 300,06 ;   6,341532 ;   18,44
52,03 ; 300,06 ;   9,169569 ;   26,23
54,03 ; 299,99 ;   8,093248 ;   23,46
56,03 ; 300,12 ;   9,162134 ;   26,78
58,03 ; 300,09 ;   6,015579 ;   17,76
60,04 ; 300,06 ;   8,446720 ;   24,76
62,04 ; 300,05 ;   8,449530 ;   24,49
64,04 ; 300,09 ;   8,085475 ;   23,82
66,04 ; 300,08 ;   7,417806 ;   21,99
68,04 ; 300,08 ;   8,093828 ;   23,74
70,04 ; 300,06 ;   8,086949 ;   23,39
72,04 ; 299,97 ;   8,486259 ;   24,12
74,04 ; 300,05 ;   9,529153 ;   27,86
76,04 ; 299,99 ;   6,731985 ;   19,65
78,05 ; 300,04 ;   9,134355 ;   26,41
80,05 ; 300,05 ;   7,409968 ;   21,43
82,05 ; 300,09 ;   7,762526 ;   22,76
84,05 ; 300,08 ;   7,413731 ;   21,97
86,05 ; 300,03 ;   8,129978 ;   23,72
88,05 ; 300,04 ;   8,809223 ;   25,58
90,05 ; 300,08 ;   8,124518 ;   23,14
92,05 ; 300,03 ;   7,376758 ;   21,63
94,06 ; 300,01 ;   8,808547 ;   25,57
96,06 ; 299,98 ;   8,447982 ;   24,61
