Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:  12.00 I: 119.90 D:  29.90 Tensão:5.236 V
2,03 ; 300,16 ;   9,377777 ;   94,27
4,07 ; 300,18 ;   8,661481 ;   87,15
6,10 ; 300,18 ;   8,589872 ;   86,93
8,13 ; 300,26 ;   8,885553 ;   89,65
10,17 ; 300,28 ;   7,392292 ;   74,87
12,20 ; 300,20 ;   8,373151 ;   84,19
14,23 ; 300,24 ;   10,291478 ;  103,00
16,27 ; 300,18 ;   8,097986 ;   81,81
18,30 ; 300,22 ;   9,995146 ;  100,44
20,33 ; 300,23 ;   8,216048 ;   82,01
22,37 ; 300,23 ;   8,499668 ;   85,91
24,40 ; 300,22 ;   8,802583 ;   88,62
26,43 ; 300,22 ;   9,107487 ;   91,52
28,47 ; 300,20 ;   8,729810 ;   88,72
30,50 ; 300,27 ;   9,255750 ;   93,09
32,53 ; 300,31 ;   7,478663 ;   75,66
34,57 ; 300,23 ;   7,858050 ;   79,16
36,60 ; 300,17 ;   10,153408 ;  102,11
38,63 ; 300,27 ;   9,977345 ;  100,08
40,67 ; 300,23 ;   7,091642 ;   71,32
42,70 ; 300,29 ;   9,259543 ;   93,70
44,73 ; 300,22 ;   7,685158 ;   77,82
46,77 ; 300,14 ;   9,957954 ;  100,68
48,80 ; 300,23 ;   10,188407 ;  102,96
50,83 ; 300,20 ;   7,101555 ;   71,46
52,87 ; 300,18 ;   9,263353 ;   93,86
54,90 ; 300,15 ;   9,193324 ;   92,72
56,93 ; 300,28 ;   9,391207 ;   94,45
58,97 ; 300,30 ;   6,293539 ;   63,84
61,00 ; 300,20 ;   8,172414 ;   82,80
63,03 ; 300,20 ;   10,578039 ;  106,05
65,07 ; 300,17 ;   8,785554 ;   88,07
67,10 ; 300,26 ;   9,293453 ;   93,93
69,13 ; 300,23 ;   7,198039 ;   72,15
71,17 ; 300,17 ;   9,068906 ;   91,70
73,20 ; 300,18 ;   9,871562 ;   99,30
75,23 ; 300,24 ;   8,589282 ;   86,77
77,27 ; 300,27 ;   7,585616 ;   76,32
79,30 ; 300,27 ;   8,188239 ;   82,88
81,33 ; 300,22 ;   8,588736 ;   86,96
83,37 ; 300,22 ;   9,475752 ;   95,75
85,40 ; 300,16 ;   8,693155 ;   87,43
87,43 ; 300,28 ;   9,686494 ;   97,71
89,47 ; 300,10 ;   6,499420 ;   65,91
91,50 ; 300,23 ;   11,959428 ;  120,42
93,53 ; 300,16 ;   6,279814 ;   63,65
95,57 ; 300,20 ;   9,986205 ;  100,31
97,60 ; 300,15 ;   8,097272 ;   81,97
99,63 ; 300,16 ;   9,596241 ;   96,29
101,67 ; 300,16 ;   8,501429 ;   85,03
103,70 ; 300,16 ;   8,695309 ;   87,76
105,73 ; 300,16 ;   8,707006 ;   87,73
107,77 ; 300,17 ;   8,708428 ;   87,69
109,80 ; 300,17 ;   8,603661 ;   86,18
111,83 ; 300,20 ;   8,708192 ;   87,53
113,87 ; 300,17 ;   8,310709 ;   83,07
115,90 ; 300,17 ;   9,101145 ;   91,59
117,93 ; 300,22 ;   8,718071 ;   87,42
119,97 ; 300,24 ;   7,812246 ;   78,54
122,00 ; 300,20 ;   8,209407 ;   82,34
124,03 ; 300,22 ;   9,312946 ;   93,80
126,07 ; 300,17 ;   8,308672 ;   83,92
128,10 ; 300,17 ;   9,515912 ;   95,48
130,13 ; 300,27 ;   8,708826 ;   87,17
132,17 ; 300,18 ;   6,916570 ;   69,45
134,20 ; 300,31 ;   10,211308 ;  102,16
136,23 ; 300,27 ;   6,111413 ;   61,90
138,27 ; 300,29 ;   9,413021 ;   94,10
140,30 ; 300,27 ;   8,116274 ;   81,36
142,33 ; 300,27 ;   8,911328 ;   89,86
144,37 ; 300,26 ;   8,511633 ;   85,67
146,40 ; 300,20 ;   8,723408 ;   87,09
148,43 ; 300,24 ;   9,718058 ;   97,45
150,47 ; 300,17 ;   7,716298 ;   77,54
152,50 ; 300,16 ;   9,922590 ;   99,03
154,53 ; 300,15 ;   8,823625 ;   88,06
156,57 ; 300,20 ;   8,926547 ;   89,59
158,60 ; 300,17 ;   7,719924 ;   77,96
160,63 ; 300,20 ;   9,027113 ;   90,62
162,67 ; 300,20 ;   8,221428 ;   82,02
164,70 ; 300,16 ;   8,427120 ;   84,64
166,73 ; 300,18 ;   9,325461 ;   93,35
168,77 ; 300,20 ;   8,323882 ;   83,48
170,80 ; 300,16 ;   8,120624 ;   81,77
172,83 ; 300,22 ;   9,327544 ;   93,24
174,87 ; 300,12 ;   7,525814 ;   75,99
176,90 ; 300,20 ;   10,424543 ;  104,76
178,93 ; 300,23 ;   7,019378 ;   70,60
180,97 ; 300,26 ;   7,924201 ;   79,83
183,00 ; 300,27 ;   8,019981 ;   80,88
185,03 ; 300,26 ;   8,328092 ;   83,49
187,07 ; 300,24 ;   8,622125 ;   86,28
189,10 ; 300,28 ;   8,727991 ;   87,80
191,13 ; 300,20 ;   7,719553 ;   77,62
193,17 ; 300,27 ;   9,925093 ;   99,20
195,20 ; 300,16 ;   7,313786 ;   73,58
197,23 ; 300,26 ;   10,323266 ;  103,71
199,27 ; 300,20 ;   6,815136 ;   68,07
201,30 ; 300,20 ;   9,622823 ;   96,35
203,33 ; 300,24 ;   8,505197 ;   85,29
205,37 ; 300,17 ;   7,569334 ;   76,40
207,40 ; 300,14 ;   9,673441 ;   97,90
209,43 ; 300,17 ;   9,082125 ;   91,34
211,47 ; 300,14 ;   7,889913 ;   79,91
213,50 ; 300,17 ;   9,097097 ;   91,28
215,53 ; 300,18 ;   7,897490 ;   79,85
217,57 ; 300,17 ;   8,295652 ;   83,85
219,60 ; 300,17 ;   8,592911 ;   86,67
221,63 ; 300,08 ;   8,504262 ;   85,25
223,67 ; 300,15 ;   10,200698 ;  102,91
225,70 ; 300,13 ;   7,301764 ;   73,08
227,73 ; 300,17 ;   8,882301 ;   89,88
229,77 ; 300,18 ;   7,580324 ;   76,87
231,80 ; 300,16 ;   8,290998 ;   83,64
233,83 ; 300,13 ;   8,681667 ;   87,93
235,87 ; 300,09 ;   9,190747 ;   92,50
237,90 ; 300,15 ;   9,196422 ;   92,95
239,93 ; 300,20 ;   7,403736 ;   74,25
241,97 ; 300,14 ;   7,596442 ;   76,41
244,00 ; 300,17 ;   9,398495 ;   94,96
246,03 ; 300,13 ;   7,898338 ;   79,38
248,07 ; 300,12 ;   9,274122 ;   93,70
250,10 ; 300,08 ;   8,588855 ;   86,88
252,13 ; 300,08 ;   9,189523 ;   92,86
254,17 ; 300,09 ;   8,494450 ;   85,94
256,20 ; 300,08 ;   8,398193 ;   84,45
258,23 ; 300,13 ;   8,702085 ;   87,29
260,27 ; 300,05 ;   7,692279 ;   77,05
262,30 ; 300,08 ;   9,790029 ;   98,56
264,33 ; 300,06 ;   8,099272 ;   81,72
266,37 ; 300,14 ;   8,795721 ;   88,79
268,40 ; 300,08 ;   7,098633 ;   71,28
270,43 ; 300,10 ;   9,575480 ;   96,83
272,47 ; 300,06 ;   8,094677 ;   81,36
274,50 ; 300,10 ;   9,181365 ;   92,84
276,53 ; 300,08 ;   7,807827 ;   78,57
278,57 ; 300,10 ;   8,910225 ;   89,86
280,60 ; 300,10 ;   8,106336 ;   81,29
282,63 ; 300,13 ;   8,496861 ;   85,41
284,67 ; 300,15 ;   8,008330 ;   80,96
286,70 ; 300,16 ;   8,003047 ;   80,65
288,73 ; 300,08 ;   8,103706 ;   81,81
290,77 ; 300,09 ;   10,001755 ;  100,74
292,80 ; 300,09 ;   8,405214 ;   84,09
294,83 ; 300,09 ;   8,506110 ;   85,45
296,87 ; 300,09 ;   8,509132 ;   85,44
298,90 ; 300,12 ;   8,517085 ;   85,42
300,93 ; 300,06 ;   7,909713 ;   79,51
302,97 ; 300,14 ;   9,516516 ;   95,31
305,00 ; 300,15 ;   7,015667 ;   70,90
307,03 ; 300,08 ;   8,310824 ;   83,20
309,07 ; 300,14 ;   9,709591 ;   97,81
311,10 ; 300,13 ;   7,315446 ;   73,59
313,13 ; 300,06 ;   8,718660 ;   87,54
315,17 ; 300,09 ;   9,626974 ;   96,55
317,20 ; 300,05 ;   8,120600 ;   81,09
319,23 ; 300,09 ;   9,124001 ;   91,10
321,27 ; 300,08 ;   7,921912 ;   79,68
323,30 ; 300,03 ;   8,627062 ;   86,65
325,33 ; 300,05 ;   9,428057 ;   94,10
327,37 ; 300,13 ;   8,120533 ;   81,40
329,40 ; 300,10 ;   7,220906 ;   72,26
331,43 ; 300,09 ;   8,925996 ;   89,07
333,47 ; 300,15 ;   8,733246 ;   87,86
335,50 ; 300,10 ;   7,323844 ;   73,29
337,53 ; 300,10 ;   9,330332 ;   93,13
339,57 ; 300,14 ;   8,430586 ;   84,84
341,60 ; 300,14 ;   7,731579 ;   77,45
343,63 ; 300,16 ;   8,420059 ;   84,31
345,67 ; 300,14 ;   7,929056 ;   79,86
347,70 ; 300,15 ;   8,820419 ;   88,39
349,73 ; 300,06 ;   8,227374 ;   82,75
351,77 ; 300,20 ;   10,032562 ;  100,31
353,80 ; 300,08 ;   6,025599 ;   60,07
355,83 ; 300,15 ;   10,516427 ;  105,59
357,87 ; 300,16 ;   7,123835 ;   71,63
359,90 ; 300,12 ;   8,126076 ;   81,05
361,93 ; 300,12 ;   9,227366 ;   92,62
363,97 ; 300,16 ;   8,429860 ;   84,32
